interval,mean_rating,se_rating
-15,3.1216846403103014,0.13909625827384714
-14.9,3.1464830688775516,0.1335614706880774
-14.8,3.179891216733594,0.1263477713624272
-14.7,3.221995838203682,0.1202058781881758
-14.6,3.2702914039105413,0.11661030582998001
-14.5,3.318880877768919,0.11475054244957074
-14.4,3.3610973586592543,0.11310407179227362
-14.3,3.393351559153468,0.11112546388732988
-14.2,3.4163720695118176,0.10915979834872902
-14.1,3.433485467620886,0.1081498441881396
-14,3.4473668212758803,0.1091321490979391
-13.9,3.456646095341965,0.11204772747898442
-13.8,3.4549040107114926,0.11549948984332634
-13.7,3.4345989550542275,0.11776032342476374
-13.6,3.394169332117182,0.11768713691741953
-13.5,3.3417587406449476,0.11539424179209545
-13.4,3.2921027679997814,0.11219108964166033
-13.3,3.2606833603710856,0.10933393288583734
-13.2,3.259437491233161,0.10741718873807675
-13.1,3.293223634193104,0.10710641723815952
-13,3.3561428298556892,0.10871828583838336
-12.9,3.431656959281689,0.11058721711589298
-12.8,3.4999316194372447,0.11001620002302193
-12.7,3.547633869044774,0.10621646228917671
-12.6,3.5727905103760125,0.10118940638701147
-12.5,3.5832676095520903,0.09784932924428025
-12.4,3.59143525100099,0.0974275460857236
-12.3,3.6077066126566875,0.09883983267858437
-12.2,3.635453762170834,0.10043915982488757
-12.1,3.669815280145139,0.10174829358511088
-12,3.7018749325831752,0.10324824419320763
-11.9,3.725493783982403,0.10472781135442194
-11.8,3.7405734599424125,0.10489128327290077
-11.7,3.750614059031921,0.10281057400726228
-11.6,3.758265315194455,0.0989163624551863
-11.5,3.762609371892515,0.09462846475053187
-11.4,3.75953875157295,0.09122803511333094
-11.3,3.744843501447557,0.08912147035751983
-11.2,3.717772688113717,0.08829837374397068
-11.1,3.6825521218288233,0.08895659552103105
-11,3.647230065781158,0.09129162407894995
-10.899999999999999,3.6206112933949353,0.09482091418047235
-10.8,3.6089701332572455,0.09819615104201229
-10.7,3.6145370621609345,0.0998540689555018
-10.6,3.635664217804327,0.09892739419309104
-10.5,3.6667880230260916,0.09594284881697333
-10.399999999999999,3.69829730048114,0.09277964603035888
-10.3,3.719173452129797,0.0909883331576431
-10.2,3.72281879628214,0.08983068827656096
-10.1,3.7109383396615048,0.08753901237058216
-10,3.6913080115776755,0.08427326408653073
