bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-29273_ses-1_acq-rc8chan_run-1_T1w	0.5581771833932685	1.8372067042084341	0.6748474165807647	-1.0	3.366633189709411	3.32927	3.5641493780071203	3.2064801911211127	0.2751403256913229	0.37877019065641515	0.346089483652262	0.8657917678356171	0.19348260164260855	0.0	0.002010336907817867	8.245383716289219	8.164145922561152	8.327504652565446	256	200	256	2.1756850703045703	3.494037442042894	4.011029513111112	6.363366026985872	54.39699295369857	75.48970450717353	86.68364353335978	130.16423313920728	1.0	1.0000029802322388	0.9999999403953552	84.36240146274213	0.0	0.8525919835361246	0.0	5581189.0	0.0	0.0	4.721096789644117	-0.3336267317821422	158.84068840242693	375.2890315876461	392.0	428237.20739096386	74.0	652.0	180.17292468463492	-0.5989832990054662	106.37041106044998	552.5020588924604	544.0	589530.0453762659	308.0	820.0	155.6936774831129	1.1503760053230199	113.55139919649781	905.8321033797017	938.0	538664.7472130231	625.0	1097.0	147.40612520956577	0.23288182982019534	0.5469252241684481	0.5395865838820797	0.44392798005620265
sub-29274_ses-1_acq-rc8chan_run-1_T1w	0.5966955201851665	1.7201891946782473	0.7091667969775947	-1.0	3.5422441762214465	3.42141	3.85672252866434	3.3486	0.2741069939504676	0.37865255536606923	0.3472404506834632	0.9207240641117096	0.25132141411304465	0.0	0.0009179016087154199	8.271108336681543	8.181886063539116	8.349334649547695	256	200	256	2.3323034850018356	3.561280476335261	3.973305876060284	6.0263336668437555	38.829683412960804	52.121017588546415	59.52618948637269	87.62786745761083	1.0	0.9999993443489075	1.0	424.4956382842661	0.0	1.1372584840864626	0.0	5446432.0	0.0	0.0	6.900668871035959	-0.40916196691506057	154.73034575693478	391.9595196791904	409.0	424986.447702877	86.0	663.0	175.36290685925906	-0.4757932671871785	105.82709014083007	555.5656593552917	549.0	587078.067944965	313.0	823.0	154.1579036186744	0.4041838222466341	117.33703440842223	892.2022551026089	923.0	538375.4843606001	603.0	1099.0	153.16097544837612	0.23303585922105405	0.5392820566962049	0.5355990220717789	0.42480328166355336
sub-29275_ses-1_acq-rc8chan_run-1_T1w	0.48089155737101397	2.2221967723875657	0.694213191041846	-1.0	3.3440084686436915	3.26085	3.5818554059310737	3.18932	0.27253016454481743	0.3863526517167191	0.34111718373846356	0.727505087852478	0.17537999749183653	0.0	0.0013627250512202834	8.68235848661288	8.625794639157732	8.784197307088663	256	200	256	2.229932602455482	4.189990412192873	4.20862873517946	6.205963190890024	108.60932472529913	142.65525294229704	171.63649762288205	263.64491520104997	1.0	0.9999929070472717	1.0	380.82030750988787	0.0	0.29028678515426515	0.0	5490870.0	0.0	0.0	2.32836960398755	0.4434891759611057	190.08830365895108	360.2106362876025	386.0	403491.53730117244	66.0	619.0	173.09918750453878	2.326039750976814	86.1538871555803	514.9735858699461	507.0	572010.1686429189	323.0	723.0	121.00255775060914	2.5299039950700246	120.62948251395571	897.9941902812333	937.0	505037.2941151793	607.0	1078.0	150.98366579433358	0.23252794245139505	0.5335503005501331	0.5234620717193083	0.5630829144499271
sub-29276_ses-1_acq-rc8chan_run-1_T1w	0.5481094536317571	1.8475894948496805	0.677500103061005	-1.0	3.2288384130779346	3.158629623462007	3.3434156157717974	3.18447	0.26970861655010975	0.38489485873496526	0.345396524714925	0.7973447442054749	0.17622707784175873	0.0	0.0008109810482399151	8.604280384497542	8.525205992551175	8.685646249547528	256	200	256	2.21129895738145	3.876750625497667	3.981179861702747	5.855490002229123	51.45524410875801	69.20283450855295	79.97055722113838	119.25359304610417	1.0000001192092896	1.000001311302185	1.0	104.76581879557601	0.0	0.8491161206261624	0.0	5020934.0	0.0	0.0	5.13106047348558	-0.5408659993109395	189.99255184886084	384.8140554676744	403.0	402617.24684456206	82.0	659.0	182.24559740288447	2.4054973110144227	95.96082234379256	546.312539258779	542.0	574565.6565618363	321.0	782.0	139.80768450113715	1.7462844235856734	118.89808347985625	895.6545926946332	934.0	515603.096516444	587.0	1097.0	159.5082723919864	0.23764345762879976	0.5439830917067321	0.5403367633865906	0.3983198475409742
sub-29277_ses-1_acq-rc8chan_run-1_T1w	0.491241595530512	1.9630443244116422	0.6630267542370832	-1.0	3.2493800618004833	3.21177	3.42585	3.110520185401451	0.2744461828791814	0.38355640034062816	0.34199741678019047	0.8293282985687256	0.197012835741043	0.0	0.0010041283226317598	8.896584086748932	8.823013097321743	8.973511503290096	256	200	256	1.8632320664025257	3.619620181044386	3.9254433229289956	6.293477721340076	16.68713609124045	25.387266873852997	29.063824873062668	45.11707165409456	1.0	1.0	0.9999999403953552	4340.383973045123	0.0	1.0921706893118068	0.0	5613802.0	0.0	6.0	13.780248158982099	1.88871702103462	176.25127287405493	342.72829464788896	351.0	397129.93889783556	52.0	630.0	188.38209389374236	5.9444263001868975	96.24521156008554	538.9758487190466	534.0	555014.9331033091	295.0	785.0	147.5291583708567	3.6582307141920927	107.62005058507697	906.7757509006403	949.0	494878.1280333024	609.0	1087.0	150.79087957357828	0.23641950293438616	0.5503512759436473	0.5437871803601342	0.48040657170279455
sub-29278_ses-1_acq-rc8chan_run-1_T1w	0.48163642151483055	1.9826961995003876	0.6824414142557862	-1.0	3.1805866567953722	3.17825	3.3653799703861167	2.99813	0.27593677304978736	0.3826596156257309	0.34140361132448177	0.7759435772895813	0.12659548223018646	0.0	0.0008065275393426393	8.721440493305044	8.648387454177788	8.802685734402754	256	200	256	2.1289065100295925	3.969825070270407	4.039547860600341	6.019912001501023	23.866463408483174	32.82405635871079	38.24360460485307	58.040294047365244	1.0	1.0000029802322388	1.0	147.08796894677428	0.0	1.7769217900327345	0.0	5672589.0	0.0	7.0	10.678082262888433	-0.28707906613197487	184.78504185347484	368.91335680595233	389.0	406882.56870743626	69.0	639.0	182.7226889213642	-0.14208706742167987	88.57839669734749	541.0303419923414	535.0	564250.7362304518	323.0	771.0	134.7665240784347	2.811200720494841	109.37417254524789	900.1506742588712	946.0	503416.6950870174	583.0	1084.0	157.14499816345628	0.22178898981195047	0.5303395155823892	0.5218023619326567	0.4810964761297961
sub-29279_ses-1_acq-rc8chan_run-1_T1w	0.48760778189011256	2.0766722126259523	0.705623492937621	-1.0	3.2881964042410843	3.2567801941192265	3.518769018604028	3.08904	0.27311287996132133	0.3801305919939839	0.34675652804469476	0.8593426942825317	0.22663217186927798	0.0	0.0015349017779401	8.8374217481939	8.773119985237686	8.947563963581132	256	200	256	2.483389197970296	3.8486806451031303	4.4066513272562515	6.88788413869533	147.7593941857953	187.27644146804286	221.29546478058646	328.85055868792114	0.9999999403953552	0.9999974370002747	1.0	1861.772914983523	0.0	0.22191057676697748	0.0	5359010.0	0.0	0.0	1.906536322460652	-0.35890315301507725	150.1604209317939	408.2382056382183	430.0	396695.9119135529	90.0	664.0	173.1502490122185	-0.42940743305005613	100.53020324619217	556.1756847854116	545.0	552138.9246038054	347.0	799.0	141.60684055664555	3.0935926810945586	100.3642028925342	926.3609948324396	957.0	503663.1634661415	662.0	1100.0	138.9394813689622	0.24342704785006544	0.5426523192687054	0.5305648739132267	0.473871220495541
sub-29280_ses-1_acq-rc8chan_run-1_T1w	0.47276577786758905	2.133958501945208	0.682880409801959	-1.0	3.7064680916673924	3.5996295708907162	3.9460947041114616	3.57368	0.2810897664411175	0.3817516467051442	0.3371585868537383	0.8134552240371704	0.2520478367805481	0.0	0.0011017680242724117	7.568254984182834	7.506947607239856	7.676705006809764	256	200	256	2.0461563114175605	3.2576037437800807	4.244942124358853	7.431066317878918	8.56495324946932	12.43842929768438	14.675903039821028	23.024326572309384	1.0000001192092896	0.9999988079071045	1.0	2206.3608825027222	0.0	1.3309579117148729	0.0	5650646.0	0.0	0.0	27.230569929199635	-0.8516072647605988	155.63767952459585	339.9767266011411	356.0	475728.9697674542	57.0	612.0	173.98456992298154	-0.6036148223122653	108.33571104562935	522.5426460190872	517.0	646093.6657119853	256.0	784.0	158.70549046678656	-0.5617327667225189	99.68123121610985	922.4703514936668	957.0	570622.364531294	669.0	1082.0	128.7835581737485	0.23445951325824851	0.5415340298390551	0.5282358273339544	0.42820300867869016
sub-29281_ses-1_acq-rc8chan_run-1_T1w	0.5757033584389458	1.7819415942432193	0.7277564291465428	-1.0	3.4018922008717922	3.370689598182488	3.572237004432888	3.26275	0.26900063470336927	0.3838168212511807	0.3471825440454499	0.8360925912857056	0.17947969436645506	0.0	0.0012322107689300243	8.493270607183712	8.404603739736352	8.553959344909766	256	200	256	2.1343896286331088	3.9434292647257574	4.053859722160184	6.083760273121686	100.84073091634937	139.2800194339677	157.33483676800054	231.88375995368455	1.0000001192092896	1.0000064373016357	1.0	555.5772734553145	0.0	0.24989248097044833	0.0	5696666.0	0.0	0.0	2.6246845217688524	-0.6268600968854483	193.98842333797825	384.0559375666466	404.0	407162.85770534794	74.0	674.0	189.2810471265466	-0.6252259904650095	98.87537758833658	565.8714377956824	558.0	580950.1302788416	344.0	811.0	141.50108504376502	-0.036692965347827844	114.71056839251234	890.847687143149	929.0	525500.0120532714	594.0	1087.0	152.70146658866253	0.23410640334404834	0.5391950536876111	0.533148547011556	0.4425616160395846
sub-29282_ses-1_acq-rc8chan_run-1_T1w	0.7493777471779908	1.1895912744042487	0.7044837404377629	-1.0	3.6316332772093562	3.57445	3.708629831628069	3.61182	0.27134567802634907	0.36757463877347357	0.36107968320017725	0.9655178487300873	0.29003117978572845	0.0	0.0012069057840142312	7.381263294699019	7.253031404675838	7.409069684896676	256	200	256	2.3692401714952727	3.227611252885422	3.70214302104517	5.5095776387548145	8.878010423264817	12.74006270288134	13.548581777679109	19.02767220689117	1.0	1.0000027418136597	1.0	1776.0554686903233	0.0	2.3365063961578536	0.0	4896846.0	0.0	8.0	27.82001946661071	-0.30017272301887177	113.39158759127206	372.1348821295106	377.0	470477.0453822225	104.0	630.0	159.12257603866675	-0.0623834478499985	97.80741985785231	545.5877223572373	541.0	637325.1686389074	274.0	831.0	167.61608916999126	1.274660342562945	102.27643863867122	800.0375452161537	808.0	626063.7859987294	547.0	1031.0	146.65359264829124	0.23006758363234805	0.535394512829831	0.5484516938308772	0.33394706033095284
