"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitch1","target_pitch2","target_pitch3","num_target_pitches","target_interval1","target_interval2","sung_pitch1","sung_pitch2","sung_pitch3","num_sung_pitches","sung_interval1","sung_interval2","in2ref_1","in2ref_2","in2ref_3","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","gender","age","mt","confirm_sung_intervals","pitch_RMSE","interval_RMSE","int_class"
95,1345,2,"custom_trial",976,180,"low",0,61.9933963961266,63.3886432391641,60.9600207457739,59.1374959077755,3,-2.42862249339014,-1.8225248379984,61.9172380452903,59.3622303524311,56.8798716323949,3,-2.5550076928592,-2.4823587200362,-0.0761583508362449,-2.63116604369544,-5.11352476373165,TRUE,"3,3,-1.47140519387374,-1.59779039334279,-2.25762427538059,-1.77560662086571,2.25762427538059,1.80875968132906,-0.126385199469055,-0.659833882037802,-0.393109540753429,0.659833882037802,0.475054718179869,100",2.25762427538059,0.659833882037802,100,1.80875968132906,0.475054718179869,TRUE,"singing_block1",10,0,NA,NA,50.1227957967703,"low","low",7,3.428571,1,"male",35,0,"-2.5550076928592,-2.4823587200362","1.80875968132906","0.475054718179869","first3"
61,541,1,"custom_trial",447,200,"low",0,61.9951916178578,59.1265372632441,60.2084874441891,70.6588454320974,3,1.08195018094507,10.4503579879082,58.9235375102648,58.3670280256705,67.7184624635231,3,-0.556509484594301,9.35143443785263,-3.071654107593,-3.6281635921873,5.72327084566533,TRUE,"3,3,-0.202999752979295,-1.84145941851867,-2.94038296857428,-1.66161404669075,2.94038296857428,2.00649227024364,-1.63845966553937,-1.09892355005562,-1.36869160779749,1.63845966553937,1.39502384289055,50",2.94038296857428,1.63845966553937,50,2.00649227024364,1.39502384289055,TRUE,"singing_block1",11,1,NA,NA,48.253742883993,"low","low",10,6,3.857143,"male",37,7,"-0.556509484594301,9.35143443785263","2.00649227024364","1.39502384289055","first3"
41,470,1,"custom_trial",209,86,"high",0,61.1307869279041,53.8005953808407,66.3067706482713,62.6454618967092,3,12.5061752674306,-3.66130875156209,52.8358428139496,65.5595737887495,61.1615850306865,3,12.7237309747999,-4.39798875806306,-8.29494411395444,4.42878686084546,0.0307981027823914,TRUE,"3,3,-0.964752566891057,-0.747196859521722,-1.4838768660227,-1.06527543081183,1.4838768660227,1.10919508589478,0.217555707369335,-0.736680006500976,-0.25956214956582,0.736680006500976,0.543151874611167,100",1.4838768660227,0.736680006500976,100,1.10919508589478,0.543151874611167,FALSE,"singing_block1",10,6,NA,NA,59.8567349537005,"high","high",9,4.857143,1.857143,"female",50,0,"12.7237309747999,-4.39798875806306","1.10919508589478","0.543151874611167","first3"
65,614,2,"custom_trial",539,174,"low",0,60.3562947248385,61.0854273215136,56.9926111249638,65.040725485276,3,-4.09281619654978,8.04811436031223,56.4583140389008,56.700855248265,63.2073495990398,3,0.242541209364205,6.50649435077482,-3.89798068593771,-3.65543947657351,2.85105487420132,TRUE,"3,3,-4.62711328261283,-0.291755876698836,-1.83337588623625,-2.25074834851597,4.62711328261283,2.87845826568975,4.33535740591399,-1.54162000953741,1.39686869818829,4.33535740591399,3.25360692853481,50",4.62711328261283,4.33535740591399,50,2.87845826568975,3.25360692853481,TRUE,"singing_block1",12,2,NA,NA,47.5736166971683,"low","low",10,4.714286,3.142857,"male",47,1,"0.242541209364205,6.50649435077482","2.87845826568975","3.25360692853481","first3"
61,538,1,"custom_trial",76,42,"low",0,58.9997906170312,61.7825529119317,61.7514147741449,59.1864846390099,3,-0.0311381377868827,-2.56493013513499,60.8170432563726,61.289767635456,58.8088656765111,3,0.472724379083452,-2.48090195894488,1.81725263934139,2.28997701842484,-0.190924940520041,TRUE,"3,3,-0.965509655559174,-0.461647138688839,-0.37761896249873,-0.601591918915581,0.965509655559174,0.655215754917468,0.503862516870335,0.0840281761901096,0.293945346530222,0.503862516870335,0.361205045853975,100",0.965509655559174,0.503862516870335,100,0.655215754917468,0.361205045853975,TRUE,"singing_block1",12,2,NA,NA,48.253742883993,"low","low",10,6,3.857143,"male",37,7,"0.472724379083452,-2.48090195894488","0.655215754917468","0.361205045853975","first3"
71,722,2,"custom_trial",622,7,"low",0,59.3938575420294,58.1513303271217,52.3557278436884,58.2435054585684,3,-5.79560248343329,5.88777761488001,66.9941483180458,61.6398681902047,66.9801858772792,3,-5.35428012784106,5.3403176870745,7.60029077601639,2.24601064817533,7.58632833524982,TRUE,"3,3,8.84281799092409,9.28414034651632,8.7366804187108,8.9545462520504,9.28414034651632,8.95768341952143,0.441322355592227,-0.547459927805512,-0.0530687861066426,0.547459927805512,0.497231230967187,100",9.28414034651632,0.547459927805512,100,8.95768341952143,0.497231230967187,TRUE,"singing_block1",12,2,NA,NA,53.0845893573757,"low","low",9,NA,NA,"male",30,0,"-5.35428012784107,5.3403176870745","8.95768341952144","0.497231230967187","first3"
41,453,1,"custom_trial",2,5,"high",0,62.1599045160503,53.9631319447027,71.6324218449477,68.4083167872722,3,17.669289900245,-3.22410505767556,54.9949505157743,69.40616647704,65.9581429750335,3,14.4112159612657,-3.44802350200649,-7.16495400027602,7.24626196098968,3.79823845898319,TRUE,"3,3,1.03181857107155,-2.22625536790775,-2.45017381223869,-1.21487020302496,2.45017381223869,2.00201683617017,-3.25807393897931,-0.223918444330934,-1.74099619165512,3.25807393897931,2.30924070438399,100",2.45017381223869,3.25807393897931,100,2.00201683617017,2.30924070438399,TRUE,"singing_block1",11,1,NA,NA,59.8567349537005,"high","high",9,4.857143,1.857143,"female",50,0,"14.4112159612657,-3.44802350200649","2.00201683617017","2.30924070438399","first3"
41,408,1,"custom_trial",351,152,"high",0,62.0112588903247,66.7406954850939,52.703195329255,60.9561271383327,3,-14.0375001558389,8.25293180907771,66.5006392812613,57.2197383864672,60.9407987217614,3,-9.28090089479413,3.72106033529419,4.4893803909366,-4.79152050385753,-1.07046016856334,TRUE,"3,3,-0.24005620383258,4.51654305721217,-0.015328416571343,1.42038614560275,4.51654305721217,2.61132298072609,4.75659926104476,-4.53187147378352,0.112363893630619,4.75659926104476,4.64559444985592,100",4.51654305721217,4.75659926104476,100,2.61132298072609,4.64559444985592,TRUE,"singing_block1",13,3,NA,NA,59.8567349537005,"high","high",9,4.857143,1.857143,"female",50,0,"-9.28090089479413,3.72106033529419","2.61132298072609","4.64559444985592","first3"
41,502,1,"custom_trial",307,130,"high",0,62.9051225135794,58.9437664452181,59.1704187295466,61.9434700867156,3,0.226652284328566,2.77305135716896,60.5485933932306,60.5834036058671,62.7910980733156,3,0.0348102126364651,2.20769446744855,-2.35652912034876,-2.3217189077123,-0.114024440263741,TRUE,"3,3,1.60482694801255,1.41298487632045,0.847627986600045,1.28847993697768,1.60482694801255,1.32796448213613,-0.191842071692101,-0.565356889720405,-0.378599480706253,0.565356889720405,0.422156246682107,100",1.60482694801255,0.565356889720405,100,1.32796448213613,0.422156246682107,FALSE,"singing_block1",11,2,NA,NA,59.8567349537005,"high","high",9,4.857143,1.857143,"female",50,0,"0.0348102126364651,2.20769446744855","1.32796448213613","0.422156246682107","first3"
41,460,1,"custom_trial",269,111,"high",0,61.6480681051989,56.4865084637533,57.6740887307629,52.1714924096157,3,1.18758026700961,-5.50259632114718,59.3165970517813,59.256231119133,53.1901905378224,3,-0.0603659326482244,-6.06604058131063,-2.33147105341767,-2.3918369860659,-8.45787756737653,TRUE,"3,3,2.83008858802796,1.58214238837013,1.01869812820668,1.81030970153492,2.83008858802796,1.96216902343431,-1.24794619965783,-0.56344426016345,-0.905695229910641,1.24794619965783,0.968204304770322,50",2.83008858802796,1.24794619965783,50,1.96216902343431,0.968204304770322,TRUE,"singing_block1",11,1,NA,NA,59.8567349537005,"high","high",9,4.857143,1.857143,"female",50,0,"-0.0603659326482244,-6.06604058131063","1.96216902343431","0.968204304770322","first3"
