"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitch1","target_pitch2","num_target_pitches","target_interval1","sung_pitch1","sung_pitch2","num_sung_pitches","sung_interval1","in2ref_1","in2ref_2","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","age","gender","mt","confirm_sung_intervals","pitch_RMSE","interval_RMSE","int_class"
"12b1",162,1,"custom_trial",407,"180b1","low",0,60.9012434322914,60.9012434322914,60.2888689552564,2,-0.612374477034969,65.9127520065846,60.0781902930399,2,-5.83456171354468,5.0115085742932,-0.823053139251478,TRUE,"2,2,5.0115085742932,-0.210678662216509,2.40041495603835,5.0115085742932,3.54680163590577,-5.22218723650971,-5.22218723650971,5.22218723650971,5.22218723650971,100",5.0115085742932,5.22218723650971,100,3.54680163590577,5.22218723650971,TRUE,"singing_block1",10,0,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,-5.83456171354467,3.54680163590576,5.22218723650971,"first3"
"12b1",129,1,"custom_trial",395,"174b1","low",0,62.3553433372961,62.3553433372961,53.9180510929618,2,-8.43729224433428,64.5017360163248,59.4981855760768,2,-5.00355044024809,2.14639267902874,-2.85715776121935,TRUE,"2,2,2.14639267902874,5.58013448311493,3.86326358107184,5.58013448311493,4.22758219211859,3.43374180408619,3.43374180408619,3.43374180408619,3.43374180408619,100",5.58013448311493,3.43374180408619,100,4.22758219211859,3.43374180408619,TRUE,"singing_block1",10,0,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,-5.00355044024809,4.22758219211859,3.43374180408619,"first3"
"16b1",254,1,"custom_trial",277,"115b1","low",0,63.1274423163392,63.1274423163392,61.2691237377722,2,-1.85831857856697,63.0547580965022,61.6245817981806,2,-1.43017629832154,-0.0726842198370505,-1.50286051815859,TRUE,"2,2,-0.0726842198370505,0.355458060408381,0.141386920285665,0.355458060408381,0.256547684186204,0.428142280245432,0.428142280245432,0.428142280245432,0.428142280245432,100",0.355458060408381,0.428142280245432,100,0.256547684186204,0.428142280245432,TRUE,"singing_block1",10,0,NA,NA,52.485258636321,"low","low",9,1.857143,1,27,"male",0,-1.43017629832154,0.256547684186204,0.428142280245432,"first3"
"18b1",350,1,"custom_trial",193,"73b1","low",0,62.6672753424238,62.6672753424238,75.1181324947231,2,12.4508571522993,62.6362295303407,71.2458487923421,2,8.6096192620014,-0.0310458120830219,8.57857344991838,TRUE,"2,2,-0.0310458120830219,-3.87228370238094,-1.95166475723198,3.87228370238094,2.73820606549004,-3.84123789029792,-3.84123789029792,3.84123789029792,3.84123789029792,100",3.87228370238094,3.84123789029792,100,2.73820606549004,3.84123789029792,TRUE,"singing_block1",13,3,NA,NA,49.7643672526376,"low","low",9,5.142857,2.285714,69,"male",1.5,8.6096192620014,2.73820606549004,3.84123789029792,"first3"
"12b1",123,1,"custom_trial",321,"137b1","low",0,59.222458898527,59.222458898527,62.0573544363959,2,2.83489553786889,61.2068906410538,67.1954271069917,2,5.98853646593788,1.98443174252679,7.97296820846467,TRUE,"2,2,1.98443174252679,5.13807267059578,3.56125220656129,5.13807267059578,3.89472464425094,3.15364092806899,3.15364092806899,3.15364092806899,3.15364092806899,100",5.13807267059578,3.15364092806899,100,3.89472464425094,3.15364092806899,TRUE,"singing_block1",11,1,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,5.98853646593788,3.89472464425094,3.15364092806899,"first3"
"12b1",122,1,"custom_trial",203,"78b1","low",0,59.9854731446714,59.9854731446714,62.4936803287509,2,2.50820718407945,61.1425074283201,66.9763535582644,2,5.83384612994429,1.15703428364869,6.99088041359298,TRUE,"2,2,1.15703428364869,4.48267322951354,2.81985375658111,4.48267322951354,3.27361326489063,3.32563894586485,3.32563894586485,3.32563894586485,3.32563894586485,100",4.48267322951354,3.32563894586485,100,3.27361326489063,3.32563894586485,TRUE,"singing_block1",10,0,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,5.83384612994429,3.27361326489063,3.32563894586485,"first3"
"12b1",125,1,"custom_trial",219,"86b1","low",0,63.3054018279661,63.3054018279661,59.8161206757434,2,-3.48928115222271,65.510582944953,60.1874961329223,2,-5.3230868120307,2.20518111698683,-3.11790569504387,TRUE,"2,2,2.20518111698683,0.371375457178843,1.28827828708284,2.20518111698683,1.58125638163298,-1.83380565980799,-1.83380565980799,1.83380565980799,1.83380565980799,100",2.20518111698683,1.83380565980799,100,1.58125638163298,1.83380565980799,TRUE,"singing_block1",11,1,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,-5.3230868120307,1.58125638163298,1.83380565980799,"first3"
"13b1",214,1,"custom_trial",257,"105b1","low",0,62.1130016977359,62.1130016977359,56.5377203184654,2,-5.57528137927049,62.0547178341279,56.3651738172843,2,-5.68954401684366,-0.0582838636079401,-5.7478278804516,TRUE,"2,2,-0.0582838636079401,-0.172546501181102,-0.115415182394521,0.172546501181102,0.128781411366138,-0.114262637573162,-0.114262637573162,0.114262637573162,0.114262637573162,100",0.172546501181102,0.114262637573162,100,0.128781411366138,0.114262637573162,TRUE,"singing_block1",10,0,NA,NA,48.2369766029165,"low","low",10,5,3.857143,57,"male",1,-5.68954401684366,0.128781411366138,0.114262637573162,"first3"
"16b1",222,1,"custom_trial",28,"18b1","low",0,59.8260098857065,59.8260098857065,63.4938068855901,2,3.66779699988354,63.2470872369877,64.7986222997378,2,1.55153506275009,3.42107735128117,4.97261241403126,TRUE,"2,2,3.42107735128117,1.30481541414773,2.36294638271445,3.42107735128117,2.58904552957711,-2.11626193713344,-2.11626193713344,2.11626193713344,2.11626193713344,100",3.42107735128117,2.11626193713344,100,2.58904552957711,2.11626193713344,TRUE,"singing_block1",10,0,NA,NA,52.485258636321,"low","low",9,1.857143,1,27,"male",0,1.55153506275009,2.58904552957711,2.11626193713344,"first3"
"13b1",161,1,"custom_trial",339,"146b1","low",0,59.8185025376021,59.8185025376021,62.8709904205251,2,3.05248788292298,60.2303460474364,63.2226436298665,2,2.99229758243006,0.411843509834256,3.40414109226432,TRUE,"2,2,0.411843509834256,0.351653209341336,0.381748359587796,0.411843509834256,0.382932798433785,-0.0601903004929198,-0.0601903004929198,0.0601903004929198,0.0601903004929198,100",0.411843509834256,0.0601903004929198,100,0.382932798433785,0.0601903004929198,TRUE,"singing_block1",10,0,NA,NA,48.2369766029165,"low","low",10,5,3.857143,57,"male",1,2.99229758243006,0.382932798433785,0.0601903004929198,"first3"
"12b1",195,1,"custom_trial",24,"16b1","low",0,61.5184692255271,61.5184692255271,68.8940857398583,2,7.37561651433121,60.4234508733142,69.4511860813013,2,9.02773520798711,-1.09501835221288,7.93271685577423,TRUE,"2,2,-1.09501835221288,0.557100341443025,-0.268959005384929,1.09501835221288,0.868742189063865,1.65211869365591,1.65211869365591,1.65211869365591,1.65211869365591,100",1.09501835221288,1.65211869365591,100,0.868742189063865,1.65211869365591,TRUE,"singing_block1",12,2,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,9.02773520798712,0.868742189063867,1.65211869365591,"first3"
"13b1",164,1,"custom_trial",40,"24b1","low",0,62.6234228883059,62.6234228883059,61.9086118598073,2,-0.714811028498616,62.5577314369036,61.0933178373457,2,-1.46441359955791,-0.0656914514023015,-1.53010505096022,TRUE,"2,2,-0.0656914514023015,-0.8152940224616,-0.440492736931951,0.8152940224616,0.578368269292566,-0.749602571059299,-0.749602571059299,0.749602571059299,0.749602571059299,100",0.8152940224616,0.749602571059299,100,0.578368269292566,0.749602571059299,TRUE,"singing_block1",13,3,NA,NA,48.2369766029165,"low","low",10,5,3.857143,57,"male",1,-1.46441359955791,0.578368269292566,0.749602571059299,"first3"
"16b1",312,1,"custom_trial",251,"102b1","low",0,60.45208333252,60.45208333252,73.9925194063241,2,13.5404360738041,60.5014000816131,69.5460851090133,2,9.04468502740017,0.0493167490931512,9.09400177649332,TRUE,"2,2,0.0493167490931512,-4.44643429731079,-2.19855877410882,4.44643429731079,3.14429722688893,-4.49575104640395,-4.49575104640395,4.49575104640395,4.49575104640395,100",4.44643429731079,4.49575104640395,100,3.14429722688893,4.49575104640395,TRUE,"singing_block1",11,1,NA,NA,52.485258636321,"low","low",9,1.857143,1,27,"male",0,9.04468502740018,3.14429722688893,4.49575104640395,"first3"
"16b1",218,1,"custom_trial",8,"8b1","low",0,59.3910378580687,59.3910378580687,59.2309463799151,2,-0.160091478153561,64.0803492052606,64.4497160311938,2,0.369366825933163,4.68931134719193,5.0586781731251,TRUE,"2,2,4.68931134719193,5.21876965127866,4.95404049923529,5.21876965127866,4.96110862529789,0.529458304086724,0.529458304086724,0.529458304086724,0.529458304086724,100",5.21876965127866,0.529458304086724,100,4.96110862529789,0.529458304086724,TRUE,"singing_block1",11,1,NA,NA,52.485258636321,"low","low",9,1.857143,1,27,"male",0,0.369366825933156,4.96110862529788,0.529458304086724,"first3"
"12b1",137,1,"custom_trial",401,"177b1","low",0,60.1046312659141,60.1046312659141,62.8076132577842,2,2.7029819918701,60.8021121619442,65.7889762326169,2,4.9868640706727,0.697480896030022,5.68434496670272,TRUE,"2,2,0.697480896030022,2.98136297483262,1.83942193543132,2.98136297483262,2.16506406233507,2.2838820788026,2.2838820788026,2.2838820788026,2.2838820788026,100",2.98136297483262,2.2838820788026,100,2.16506406233507,2.2838820788026,TRUE,"singing_block1",10,0,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,4.9868640706727,2.16506406233507,2.2838820788026,"first3"
"18b1",353,1,"custom_trial",331,"142b1","low",0,62.4077421866799,62.4077421866799,64.7938724379952,2,2.38613025131532,61.9585829462687,65.1851109423922,2,3.22652799612347,-0.449159240411134,2.77736875571233,TRUE,"2,2,-0.449159240411134,0.391238504397009,-0.0289603680070627,0.449159240411134,0.421195673392733,0.840397744808143,0.840397744808143,0.840397744808143,0.840397744808143,100",0.449159240411134,0.840397744808143,100,0.421195673392733,0.840397744808143,TRUE,"singing_block1",11,1,NA,NA,49.7643672526376,"low","low",9,5.142857,2.285714,69,"male",1.5,3.22652799612347,0.421195673392733,0.840397744808143,"first3"
"12b1",124,1,"custom_trial",451,"202b1","low",0,61.1178538479893,61.1178538479893,73.3501333281928,2,12.2322794802034,61.2499774788935,73.4588460458207,2,12.2088685669271,0.132123630904232,12.3409921978314,TRUE,"2,2,0.132123630904232,0.108712717627924,0.120418174266078,0.132123630904232,0.120985761181567,-0.0234109132763081,-0.0234109132763081,0.0234109132763081,0.0234109132763081,100",0.132123630904232,0.0234109132763081,100,0.120985761181567,0.0234109132763081,TRUE,"singing_block1",15,5,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,12.2088685669271,0.120985761181567,0.0234109132763081,"first3"
"12b1",126,1,"custom_trial",2,"5b1","low",0,63.2025434676138,63.2025434676138,72.7339021100419,2,9.53135864242815,61.0782887913826,71.0512401567615,2,9.97295136537884,-2.12425467623114,7.8486966891477,TRUE,"2,2,-2.12425467623114,-1.68266195328045,-1.9034583147558,2.12425467623114,1.91622143533928,0.441592722950688,0.441592722950688,0.441592722950688,0.441592722950688,100",2.12425467623114,0.441592722950688,100,1.91622143533928,0.441592722950688,TRUE,"singing_block1",11,1,NA,NA,50.9848622331475,"low","low",6,2.571429,1,55,"female",0,9.97295136537883,1.91622143533928,0.441592722950688,"first3"
