-15,-13.22,NaN,-11.38,-10.15,-9.14,NaN,NaN,-6.37,NaN,-3.36,NaN,NaN,0.00999999999999801,NaN,2.79,4.54,5.3,6.91,NaN,9.21,10.21,11.13,12.01,NaN,13.95
-15.08,-13.33,-12.56,-11.07,-10.21,-9.15,-8.29,-7.13,NaN,-5.38,-3.08,-1.7,NaN,0.0799999999999983,NaN,2.63,4.6,5.61,6.91,8.1,NaN,9.95,NaN,11.97,12.7,13.95
-15.02,NaN,-12.58,-11.05,NaN,-9.36,-8.24,NaN,NaN,-5.42,-3.41,NaN,NaN,0.0199999999999996,NaN,3.05,4.48,5.68,6.95,7.85,NaN,10.03,11.17,11.98,12.74,13.95
-15.08,-13.33,-12.56,-11.65,NaN,-9.12,NaN,-7.35,NaN,-5,-3.56,NaN,NaN,0.0700000000000003,2.04,3.09,4.12,5.71,6.91,8.1,NaN,10.03,11.28,NaN,12.68,13.95
-15.02,-13.3,-12.64,-11.2,NaN,-9.18,-8.28,-7.21,NaN,-5.34,-3.54,NaN,-0.829999999999998,0.0999999999999979,2.12,3.13,4.49,5.61,6.84,8.14,NaN,9.96,NaN,11.99,12.7,13.95
-15.06,-13.3,-12.65,-11.13,NaN,NaN,-8.19,NaN,-6.57,-5.4,-3.46,NaN,-0.789999999999999,0.0300000000000011,1.69,2.89,4.31,5.91,6.86,8.21,NaN,10.01,NaN,NaN,12.63,13.95
-15.06,-13.25,NaN,NaN,NaN,-9.07,NaN,-7.34,NaN,-5.41,-3.38,NaN,NaN,0.0199999999999996,NaN,2.74,NaN,5.2,7,8.07,NaN,10.3,11.33,11.89,NaN,13.95
-15.06,-13.27,NaN,-11.25,NaN,-9.16,-8.25,-7.4,NaN,-5.44,-3.56,NaN,NaN,0.0899999999999999,1.99,3.03,4.38,5.73,6.95,7.98,NaN,10.2,NaN,11.81,12.62,13.95
-15.12,-13.23,NaN,-11.53,-10.19,NaN,NaN,-7.62,NaN,-5.32,-3.52,NaN,NaN,-0.00999999999999801,2.08,3.22,4.4,5.33,6.87,8,9.21,9.96,11.04,12,12.65,NaN
-15.08,-13.2,NaN,-11.12,NaN,-9.5,-8.22,NaN,-6.33,NaN,-3.58,NaN,-1.15,0.0500000000000007,NaN,3.23,4.49,5.53,6.85,NaN,NaN,9.95,NaN,11.81,12.76,13.95
NaN,NaN,-12.79,NaN,NaN,-9.17,-8.35,-7.46,NaN,NaN,-3.4,-2.13,NaN,0.0999999999999979,1.88,3.08,4.7,5.87,6.84,8.02,9.22,10.13,10.85,12.28,NaN,NaN
-15.12,-12.99,NaN,-11.07,NaN,NaN,-8.27,NaN,-6.22,NaN,-3.63,-1.54,NaN,0,1.91,2.73,4.86,5.67,6.89,7.87,9.17,NaN,11.21,12.11,12.66,NaN
