-11.77,-10.85,NaN,-7.4,NaN,-5.34,-4.61,-3.26,-2.1,-1.05,-0.0500000000000007,NaN,2.78,3.62,NaN,5.66,6.83,NaN,8.3,10.7,NaN,12.55
-11.77,-10.79,NaN,-7.51,-6.4,-5.26,NaN,-3.57,-2,-1,-0.0899999999999999,NaN,NaN,3.87,4.79,5.46,6.43,7.91,8.3,10.7,NaN,12.44
-11.77,-10.31,NaN,-7.51,-6.26,-5.32,-4.67,-3.42,-2.26,NaN,-0.0500000000000007,NaN,2.47,3.91,4.78,5.54,6.75,NaN,8.45,10.25,11.53,NaN
-11.77,-10.74,-8.79,-7.4,-6.52,-5.22,-4.6,-3.62,-2.08,-0.960000000000001,-0.169999999999998,1.22,2.69,3.45,4.76,5.56,6.42,NaN,8.51,10.3,11.5,NaN
-11.77,-10.63,-8.44,-7.5,-6.26,NaN,-4.54,-3.08,-2,-1.01,-0.0199999999999996,NaN,2.75,3.5,NaN,5.65,6.62,7.67,8.58,NaN,11.54,12.55
-11.77,-10.84,NaN,-7.5,NaN,-5.23,NaN,-3.58,-2.41,-1.06,-0.0199999999999996,NaN,2.41,3.9,4.8,5.4,6.92,NaN,8.56,10.32,11.45,NaN
-11.77,-10.23,NaN,-7.36,-6.63,-5.52,-4.57,-3.36,-2.26,NaN,-0.149999999999999,NaN,NaN,3.37,NaN,5.88,NaN,NaN,8.14,10.78,11.47,12.1
-11.77,-10.68,-8.76,-7.54,NaN,NaN,-4.52,-3.68,-2.1,-0.940000000000001,-0.0300000000000011,NaN,2.36,3.97,4.9,5.46,6.79,NaN,8.38,NaN,11.35,NaN
-11.77,-10.76,NaN,-7.55,-6.69,NaN,-4.7,-3.33,-1.96,-0.949999999999999,-0.210000000000001,NaN,NaN,3.47,NaN,5.35,6.29,7.83,NaN,10.76,NaN,12.33
-11.77,-10.74,NaN,-7.44,NaN,NaN,-4.6,-3.68,-2.06,-1.09,-0.0199999999999996,NaN,2.66,3.41,NaN,5.37,6.36,7.74,NaN,10.75,11.43,12.55
-11.77,-10.23,-8.97,-7.51,NaN,-5.31,NaN,-3.47,-2.02,NaN,-0.199999999999999,1.14,2.85,NaN,NaN,5.54,7.09,NaN,8.45,10.7,11.58,12.3
-11.77,-10.81,NaN,NaN,-6.4,-5.2,-4.61,-3.37,-2.19,NaN,-0.109999999999999,NaN,2.39,3.93,NaN,5.56,6.49,7.77,8.47,NaN,NaN,12.12
NaN,-10.41,NaN,-7.46,NaN,-5.27,-4.62,-3.63,-2.07,-1.13,-0.149999999999999,1.13,2.66,3.56,4.75,5.51,NaN,NaN,8.63,NaN,11.58,NaN
NaN,-10.63,-8.45,-7.3,-6.42,-5.46,-4.68,-3.65,-1.72,-1.12,0.120000000000001,1.14,NaN,3.35,4.77,5.55,NaN,7.6,NaN,10.72,11.6,12.55
-11.77,-10.68,NaN,-7.17,NaN,-5.58,-4.77,-3.55,-1.95,-0.98,-0.199999999999999,1.06,NaN,3.38,4.93,5.45,6.68,NaN,8.37,10.79,NaN,12.33
NaN,-10.23,NaN,-7.37,-6.57,-5.18,-4.56,-3.44,-2.2,-1.08,-0.0199999999999996,1.19,3,3.88,4.87,5.56,NaN,7.58,8.47,NaN,11.38,NaN
-11.77,-10.72,NaN,-7.44,-6.31,-5.23,-4.49,-3.57,-2.09,NaN,-0.129999999999999,NaN,NaN,3.42,NaN,5.68,NaN,7.68,NaN,10.76,NaN,12.08
-11.77,-10.74,NaN,-7.37,-6.27,-5.25,NaN,-3.68,-1.92,-0.989999999999998,-0.109999999999999,1.16,2.46,4.17,NaN,5.35,7.13,NaN,8.35,10.75,11.43,12.55
NaN,-10.23,-9.15,-7.53,-6.52,-5.35,NaN,-3.7,-1.86,-0.93,-0.0399999999999991,NaN,2.73,3.47,NaN,5.48,6.43,7.44,8.24,NaN,11.42,NaN
-11.77,-10.84,-8.87,-7.46,-6.52,-5.07,NaN,-3.55,-1.78,-1.04,-0.149999999999999,NaN,2.57,3.44,NaN,5.46,7.02,7.93,NaN,10.79,11.53,12.47
-11.77,-10.25,-9.01,NaN,-6.48,-5.27,NaN,-3.47,-1.77,-1.08,-0.0999999999999979,NaN,2.89,3.41,4.93,5.58,6.74,7.65,8.35,10.69,NaN,12.48
NaN,NaN,NaN,-7.62,-6.45,-5.38,-4.65,-3.53,-1.85,-0.91,-0.0300000000000011,1.24,2.73,3.74,NaN,5.51,6.67,NaN,8.51,10.21,11.5,12.55
-11.77,-10.65,NaN,-7.22,NaN,NaN,-4.54,-3.6,-1.9,-0.870000000000001,-0.149999999999999,1.09,NaN,3.52,NaN,5.54,6.33,7.89,8.87,10.27,11.49,12.07
NaN,-10.81,NaN,NaN,-6.51,-5.25,NaN,-3.48,-1.82,-0.940000000000001,-0.129999999999999,1.15,2.8,3.84,NaN,5.81,6.63,NaN,8.43,10.88,NaN,12.12
-11.77,-10.68,-8.8,-7.37,-6.32,NaN,-4.53,-3.47,-2,NaN,-0.140000000000001,NaN,2.89,3.98,4.75,5.72,6.84,7.88,8.39,10.5,11.57,NaN
NaN,-10.41,-8.83,-7.51,NaN,-5.21,-4.58,-3.56,-1.99,NaN,-0.129999999999999,NaN,2.3,3.55,NaN,5.89,NaN,7.88,NaN,10.78,11.71,12.32
-11.77,-10.81,NaN,-7.39,-6.47,-5.35,-4.93,-3.5,-2.18,-0.91,-0.0399999999999991,NaN,NaN,3.65,NaN,5.62,NaN,7.77,NaN,10.67,11.55,12.55
-11.77,-10.65,NaN,-7.55,-6.37,-5.28,-4.81,-3.22,-2.1,NaN,-0.129999999999999,1.2,2.55,4,NaN,5.45,6.59,7.81,8.57,10.67,11.52,12.47
-11.77,-10.68,NaN,-7.51,-6.63,-5.33,-4.58,-3.51,-2.25,NaN,-0.109999999999999,1.01,2.94,3.97,NaN,5.47,6.57,NaN,8.52,10.28,11.48,12.55
-11.77,-10.72,NaN,-7.45,-6.41,-5.38,-4.72,-3.39,-1.81,NaN,-0.0999999999999979,NaN,2.78,3.4,NaN,5.6,7,7.58,8.44,10.7,11.55,NaN
-11.77,-10.85,-8.81,-7.49,NaN,-5.33,-4.58,-3.74,-1.88,NaN,-0.0599999999999987,NaN,NaN,3.57,4.89,5.67,6.53,NaN,8.49,10.82,11.38,12.28
NaN,NaN,-8.85,-7.34,NaN,-5.46,NaN,-3.83,-2.31,-1.14,-0.210000000000001,NaN,NaN,3.86,NaN,5.34,6.44,7.75,8.41,10.73,11.45,12.5
-11.77,-10.85,NaN,-7.62,-6.43,-5.27,-4.66,-3.38,-1.87,-0.940000000000001,0,1.73,2.93,3.92,NaN,5.61,6.59,NaN,8.17,10.68,NaN,12.44
NaN,-10.28,-8.99,-7.49,NaN,NaN,-4.6,-3.52,-2.1,-1.06,-0.0899999999999999,NaN,2.7,3.82,NaN,5.57,6.68,7.64,NaN,10.97,NaN,NaN
-11.77,-10.84,NaN,-7.42,-6.34,NaN,-4.68,-3.24,-1.72,NaN,-0.0199999999999996,NaN,2.68,3.72,4.74,5.55,6.6,7.97,NaN,NaN,11.48,12.07
NaN,-10.63,NaN,-7.46,NaN,-5.34,-4.65,-3.53,-2.41,-0.98,-0.0899999999999999,NaN,2.39,3.55,4.73,5.62,6.3,7.52,8.34,10.77,NaN,12.55
NaN,-10.81,NaN,-7.33,-6.37,-5.4,-4.53,-3.46,-2.33,NaN,-0.0799999999999983,NaN,2.78,4,NaN,5.8,6.94,7.68,8.66,10.65,NaN,12.35
-11.77,NaN,NaN,-7.6,NaN,-5.27,NaN,-3.65,-2.06,-1.06,-0.0599999999999987,NaN,2.59,3.55,4.83,5.6,6.45,NaN,8.46,10.26,11.55,12.47
NaN,NaN,NaN,-7.42,NaN,-5.49,-4.52,-3.47,-2.21,-0.98,-0.0899999999999999,NaN,2.56,4.04,4.73,NaN,6.51,NaN,8.25,10.64,11.5,NaN
NaN,-10.63,-8.38,-7.42,NaN,-5.27,-4.54,-3.52,-2,-1.15,-0.259999999999998,NaN,NaN,3.67,NaN,5.52,6.79,NaN,8.51,10.61,NaN,12.35
-11.77,-10.7,-8.74,NaN,-6.53,NaN,-4.57,-3.61,-1.98,-1.07,-0.169999999999998,NaN,2.8,3.83,NaN,5.65,NaN,7.41,8.32,NaN,11.49,NaN
NaN,-10.71,-8.77,-7.45,-6.48,NaN,-4.63,-3.33,-1.87,-1.03,-0.109999999999999,NaN,NaN,3.48,NaN,5.31,6.76,7.76,8.56,10.75,11.51,NaN
-11.77,-10.33,-9.03,NaN,-6.47,-5.14,-4.57,-3.38,-1.84,-0.849999999999998,-0.239999999999998,0.969999999999999,2.37,3.83,NaN,5.45,7.06,NaN,8.94,10.93,NaN,12.13
-11.77,-10.59,-9.03,-7.38,-6.49,NaN,-4.56,-3.72,NaN,-0.98,-0.129999999999999,NaN,2.68,3.98,NaN,5.56,6.4,7.78,8.45,10.67,NaN,12.35
-11.77,-10.72,-8.82,-7.64,-6.63,-5.3,-4.52,-3.77,-2.07,-1.03,-0.0500000000000007,NaN,NaN,3.97,4.78,NaN,6.94,7.73,NaN,10.67,11.47,12.5
NaN,-10.26,-8.86,-7.59,NaN,-5.21,-4.59,-3.71,-2.04,NaN,-0.16,NaN,2.92,4.03,NaN,5.46,6.54,7.67,NaN,10.54,11.48,12.47
-11.77,-10.34,NaN,-7.35,-6.4,-5.28,-4.82,-3.71,-2.26,NaN,-0.0199999999999996,NaN,2.5,3.55,4.79,5.49,NaN,7.44,8.3,10.68,11.41,12.55
-11.77,-10.36,NaN,-7.47,-6.57,-5.31,-4.51,-3.88,-1.65,NaN,-0.0700000000000003,NaN,2.74,3.56,NaN,5.43,6.5,7.82,8.34,10.92,11.52,NaN
-11.77,-10.81,-9.19,-7.41,-6.58,-5.24,NaN,-3.67,-2.24,-0.949999999999999,-0.120000000000001,NaN,2.89,3.99,NaN,5.57,NaN,NaN,8.09,10.61,11.5,12.55
-11.77,-10.72,-8.46,-7.41,-6.64,-5.36,NaN,-3.68,-1.89,-1.07,-0.120000000000001,1.13,NaN,3.41,4.89,5.64,6.96,7.82,NaN,10.69,11.61,12.55
NaN,-10.52,-8.89,-7.29,NaN,-5.3,-4.53,-3.55,-1.99,-1.09,-0.0799999999999983,NaN,2.9,NaN,4.78,5.68,NaN,7.38,8.49,10.78,NaN,12.14
-11.77,-10.31,-8.78,-7.51,-6.83,-5.22,NaN,-3.54,-2.02,-0.93,-0.210000000000001,1.22,NaN,3.84,NaN,5.65,6.51,7.49,8.22,10.37,11.51,NaN
-11.77,-10.72,-8.9,-7.31,-6.37,NaN,-4.64,-3.57,NaN,-0.93,0.0199999999999996,NaN,2.73,3.95,NaN,5.39,6.87,NaN,8.38,10.77,11.56,NaN
NaN,-10.81,-8.38,-7.43,-6.35,NaN,-4.7,-3.43,-2.04,-0.969999999999999,-0.219999999999999,1.66,NaN,4.02,NaN,5.48,NaN,7.41,NaN,10.71,11.58,NaN
-11.77,-10.7,-8.79,-7.41,-6.39,NaN,-4.5,-3.55,-2.01,-0.989999999999998,-0.0799999999999983,1.06,2.89,3.92,NaN,5.58,6.59,NaN,8.41,NaN,NaN,12.14
-11.77,-10.85,NaN,-6.98,-6.22,-5.16,NaN,-3.64,-1.81,-0.919999999999998,0.0500000000000007,NaN,2.77,3.97,NaN,5.5,6.72,NaN,8.43,10.79,11.47,NaN
-11.77,NaN,NaN,-7.54,NaN,-5.33,-4.6,-3.27,-2.24,NaN,-0.0899999999999999,NaN,2.87,3.95,NaN,5.65,6.69,7.92,NaN,10.22,11.65,NaN
NaN,-10.76,NaN,-7.52,NaN,NaN,-4.65,-3.39,NaN,NaN,-0.190000000000001,NaN,2.53,3.4,NaN,5.44,NaN,7.68,8.55,10.69,11.61,NaN
-11.77,-10.68,-9.11,-7.5,NaN,-5.28,NaN,-3.79,-1.92,NaN,-0.0300000000000011,NaN,2.39,3.86,4.75,5.52,6.54,7.68,8.31,10.67,NaN,12.55
NaN,NaN,NaN,-7.47,-6.57,-5.32,-4.48,-3.55,-2.24,-0.91,-0.149999999999999,NaN,3.02,3.94,4.75,NaN,6.61,7.7,8.54,10.78,NaN,12.52
NaN,-10.43,-8.81,-7.46,-6.56,-5.47,NaN,-3.79,-1.97,-0.949999999999999,-0.0300000000000011,NaN,NaN,3.89,NaN,5.44,6.67,7.79,NaN,10.75,NaN,12.55
-11.77,-10.7,NaN,-7.55,-6.45,-5.03,-4.62,-3.55,-2.09,-1.05,-0.0899999999999999,0.969999999999999,2.82,3.88,NaN,5.5,6.75,7.85,NaN,NaN,NaN,12.16
-11.77,-10.23,-8.87,-7.15,-6.35,-5.24,-4.6,-3.49,-2.05,-1.11,-0.210000000000001,NaN,NaN,3.64,NaN,5.53,6.85,NaN,NaN,10.61,11.44,NaN
-11.77,-10.52,-8.98,-7.46,NaN,-5.19,NaN,-3.86,-2.05,-1.01,0.0599999999999987,1.48,2.86,NaN,NaN,5.51,6.97,7.73,8.5,10.83,11.35,NaN
NaN,-10.84,-8.76,-7.5,-6.45,NaN,-4.63,-3.72,-1.98,-1.07,-0.0700000000000003,NaN,2.52,3.81,NaN,5.46,6.6,7.68,8.44,10.79,NaN,12.55
-11.77,-10.84,-8.92,-7.38,-6.4,-5.38,-4.69,-3.47,-2.03,NaN,-0.129999999999999,NaN,2.46,3.95,NaN,5.83,6.93,7.49,NaN,10.76,NaN,12.35
-11.77,-10.23,-9.04,-7.54,-6.14,-5.26,-4.56,-3.75,-1.96,NaN,0.00999999999999801,NaN,NaN,3.9,NaN,5.77,7.06,7.94,NaN,10.67,11.51,12.55
NaN,-10.63,NaN,-7.21,NaN,-5.19,-4.64,-3.57,-2.02,-1.04,0.169999999999998,1.34,2.84,3.98,NaN,5.35,6.65,7.66,8.58,NaN,11.48,12.11
NaN,-10.74,NaN,-7.55,-6.53,NaN,-4.43,-3.67,-1.92,-0.870000000000001,-0.0300000000000011,1.27,2.92,3.85,4.9,5.52,6.7,NaN,8.53,10.48,NaN,12.09
-11.77,-10.41,-8.64,-7.62,-6.42,-5.3,NaN,-3.42,-2.02,-1.08,-0.309999999999999,NaN,NaN,3.94,NaN,5.77,6.89,NaN,8.49,10.6,11.52,12.55
-11.77,-10.81,-8.92,-7.49,-6.47,NaN,-4.61,-3.39,-2.07,-0.989999999999998,0.0399999999999991,NaN,NaN,3.44,NaN,5.58,6.51,7.48,NaN,10.65,NaN,12.21
-11.77,-10.36,-9.06,-7.55,NaN,-5.38,-4.67,-3.4,-2.17,-0.870000000000001,-0.120000000000001,1.67,2.96,4.04,4.76,5.48,6.97,NaN,8.19,10.76,11.57,NaN
NaN,-10.23,NaN,-7.49,-6.27,NaN,-4.67,-3.61,-1.88,-0.93,-0.140000000000001,NaN,3.07,3.94,4.87,5.46,7.06,7.47,8.54,10.23,11.52,12.19
NaN,-10.68,-8.8,-7.44,NaN,NaN,-4.53,-3.67,NaN,-0.93,-0.0300000000000011,NaN,2.89,3.9,NaN,5.5,NaN,7.84,8.83,10.83,11.64,NaN
NaN,-10.65,-8.95,-7.52,-6.45,-5.33,-4.61,-3.73,-1.95,NaN,-0.0999999999999979,1.34,NaN,3.57,4.69,6,NaN,7.77,8.5,10.59,NaN,12.48
-11.77,-10.64,NaN,-7.54,-6.83,-5.09,NaN,-3.51,-2.08,NaN,-0.0999999999999979,NaN,2.42,3.99,NaN,5.54,6.92,7.87,8.85,10.27,11.53,12.13
