iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
32,25,24,21,26,17,19,24,21,21,23
28,28,24,21,23,20,17,22,20,20,17
31,29,23,25,21,20,19,20,17,18,19
29,29,22,22,21,15,19,18,20,15,17
35,26,22,21,22,17,19,19,22,18,20
29,29,24,21,24,18,20,22,25,16,17
31,29,22,23,19,19,19,19,18,19,19
31,28,22,19,24,17,20,19,21,16,17
31,25,27,25,18,13,22,21,18,17,19
30,25,22,20,20,21,20,19,20,16,19
34,25,22,22,22,18,23,20,19,17,20
28,25,23,21,21,18,21,19,20,20,20
30,29,25,22,20,20,19,18,22,18,19
30,29,23,25,23,18,20,21,23,17,16
33,27,23,20,20,19,20,21,20,17,20
35,27,24,23,15,21,20,21,19,18,22
29,25,24,21,21,21,19,19,18,17,17
28,28,24,23,21,18,21,22,20,14,21
36,26,20,23,20,18,18,19,20,21,17
29,25,22,23,18,20,22,23,22,19,19
31,28,24,21,21,20,24,19,21,18,22
27,26,22,23,20,16,19,21,21,19,18
31,28,20,26,20,20,20,19,18,18,20
30,27,24,23,20,18,20,20,20,20,21
30,27,24,21,20,18,21,20,20,18,15
31,25,25,23,22,19,18,18,17,15,19
30,29,22,22,23,19,18,16,23,16,16
33,28,23,20,19,21,20,22,20,19,20
31,26,24,25,23,18,21,19,23,19,21
33,25,23,22,20,19,19,17,16,18,20
32,25,22,20,21,16,23,18,16,18,18
34,25,25,26,18,16,18,16,18,17,19
36,26,24,21,24,18,18,17,17,19,20
33,27,22,19,19,20,17,17,17,20,19
28,27,23,22,20,21,18,21,19,19,18
29,26,25,21,20,18,19,21,19,16,18
28,25,22,23,20,21,21,22,14,19,22
30,26,21,22,18,20,18,18,19,17,19
32,31,24,22,23,20,20,17,18,16,19
33,26,25,24,22,18,19,20,20,20,19
26,29,24,22,19,20,17,20,19,18,19
30,25,22,22,21,20,19,19,19,19,21
26,29,23,25,20,19,16,22,19,18,16
25,26,23,19,20,22,17,22,17,19,19
29,24,18,23,19,19,21,19,17,16,16
33,26,21,21,21,22,19,22,18,18,20
32,28,22,20,20,19,17,20,17,17,20
32,26,22,22,19,18,19,18,22,20,17
29,24,24,25,20,20,20,17,24,15,15
31,27,24,20,21,20,20,19,20,21,16
31,30,23,23,19,19,23,18,19,18,22
33,31,22,22,23,15,21,22,21,20,18
31,27,23,20,18,17,18,18,20,19,15
33,25,22,21,22,20,20,20,21,16,17
30,25,22,22,20,16,20,20,19,17,20
31,30,22,20,19,19,18,16,20,18,21
29,24,24,23,22,21,18,21,20,18,16
29,27,26,23,22,17,18,18,17,20,20
32,30,26,21,22,17,19,18,19,19,17
32,27,24,22,23,19,20,18,17,16,18
33,31,22,22,21,18,19,18,23,18,20
