iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
33,23,27,24,22,17,15,13,13,13,10
31,26,24,22,20,18,17,12,14,12,12
32,26,23,22,17,17,14,11,14,11,13
29,24,26,22,21,19,13,11,18,10,12
31,24,19,20,19,18,16,14,12,13,10
33,22,23,22,20,20,14,13,14,13,11
31,22,23,19,20,18,13,13,12,13,11
29,23,22,24,18,22,15,12,14,12,15
31,24,19,22,22,17,13,11,11,11,14
31,22,25,22,21,18,15,16,13,11,9
29,29,25,17,20,16,18,15,10,12,15
33,25,25,24,21,17,15,13,10,17,11
33,29,25,22,17,22,11,14,11,10,13
33,23,23,18,18,19,14,14,11,13,12
31,27,22,19,20,18,14,13,12,13,11
29,28,21,19,18,16,12,13,11,12,11
27,20,21,21,19,19,14,15,12,11,16
34,27,24,21,22,18,15,13,16,13,12
27,23,23,22,21,19,16,14,13,9,15
32,28,22,20,16,19,17,12,14,13,16
29,23,23,22,22,20,16,11,13,15,13
28,23,21,22,21,15,14,15,12,11,12
26,24,22,22,20,20,14,14,16,15,14
27,23,23,21,17,14,10,13,12,10,12
30,23,25,20,23,13,15,14,12,12,14
31,25,22,19,16,19,15,13,15,15,12
27,24,18,19,19,17,13,14,16,14,15
35,27,22,22,20,17,14,13,12,14,12
32,27,22,20,21,20,13,14,12,12,12
31,22,22,22,20,19,17,15,14,15,13
35,24,22,21,20,19,15,14,14,13,14
30,25,22,20,21,21,14,14,11,13,12
28,26,23,21,23,20,14,13,11,15,15
31,25,23,19,24,17,15,17,10,12,13
26,27,24,21,25,22,14,15,12,15,13
34,25,26,24,21,18,15,14,13,11,14
29,25,27,21,21,19,15,11,12,9,14
30,26,21,23,21,19,14,13,13,11,14
33,27,21,22,20,20,11,11,10,12,11
31,26,23,20,19,18,12,13,17,13,13
33,22,22,19,21,16,16,11,12,13,9
31,26,21,18,15,15,12,13,12,15,14
29,26,24,19,21,20,16,12,12,14,13
35,23,17,20,18,18,15,14,14,11,10
32,26,19,16,17,17,14,12,11,15,13
32,22,21,16,19,21,15,13,14,11,17
25,22,25,21,20,19,16,14,15,10,13
32,22,22,21,20,18,14,14,13,13,11
35,26,24,23,17,19,14,12,13,14,11
30,23,20,24,19,16,14,13,16,13,13
32,23,22,21,18,19,13,16,13,10,11
34,20,28,23,17,17,14,16,15,14,16
30,27,26,22,20,18,12,13,14,11,13
31,23,26,24,19,23,15,15,15,14,14
31,25,21,18,17,17,14,12,15,13,11
31,26,24,20,21,17,15,12,13,13,11
35,28,25,20,19,17,12,15,13,12,12
30,25,23,23,17,17,13,15,15,13,15
32,24,24,18,19,18,15,12,12,14,11
34,22,20,21,19,20,12,14,15,17,12
33,23,25,19,20,17,14,12,12,15,13
31,24,21,21,20,20,15,15,12,10,10
35,23,26,19,17,20,12,15,15,12,11
29,25,23,20,20,20,14,15,13,14,13
30,26,21,25,23,17,18,11,14,12,16
30,25,23,18,17,19,15,11,15,9,13
31,24,22,19,18,20,16,14,14,13,13
36,25,23,20,21,17,17,12,13,12,14
32,25,23,22,20,20,15,13,14,10,11
32,23,22,20,15,17,16,14,14,13,15
27,24,23,19,21,17,15,13,14,15,14
33,29,23,22,21,22,15,17,15,15,15
31,27,27,21,17,17,15,14,12,11,14
32,23,24,21,19,19,13,13,14,12,13
27,26,22,25,19,19,12,13,16,16,11
30,23,23,21,20,22,13,15,12,10,11
30,24,25,24,20,19,13,14,15,11,11
30,23,21,20,18,19,14,15,11,11,12
33,23,23,21,22,17,17,14,16,14,13
28,24,23,23,19,19,14,15,11,16,13
29,23,25,22,19,20,14,14,14,11,12
28,25,27,19,20,18,14,13,13,12,12
33,23,24,23,20,20,14,13,15,13,13
31,27,23,22,19,17,13,14,11,12,13
30,24,25,21,20,19,14,15,13,13,11
33,22,24,22,21,19,16,13,14,9,14
28,23,20,23,23,18,12,16,18,9,9
31,24,26,21,19,17,17,17,13,14,13
32,25,21,20,19,19,16,13,16,16,15
30,30,23,21,21,17,14,11,14,11,12
28,27,23,22,18,18,17,11,16,14,11
33,21,22,22,18,16,15,12,16,11,14
30,22,21,25,20,22,14,16,16,15,11
28,25,26,17,20,17,11,16,14,13,12
33,25,22,21,21,21,13,13,13,13,12
25,24,24,22,21,18,16,15,13,12,12
32,26,25,19,19,19,14,14,12,13,15
29,24,24,18,19,20,13,13,13,12,13
29,26,21,17,22,20,15,13,16,13,14
32,26,25,24,17,20,17,14,13,10,14
30,25,26,17,19,20,14,19,14,11,15
29,27,25,20,20,22,13,14,10,14,13
31,25,22,18,19,21,13,13,12,12,15
32,26,22,23,22,19,14,15,12,12,10
30,25,24,21,18,20,15,11,15,14,14
29,24,26,19,18,17,12,15,11,12,15
31,27,21,19,16,16,14,12,16,17,11
32,22,23,22,21,17,13,14,14,11,14
33,23,25,20,19,17,13,18,14,11,15
32,25,24,20,19,18,13,16,14,13,11
31,28,25,22,21,18,14,14,14,11,12
30,27,21,18,20,20,14,14,12,13,13
25,26,23,17,20,19,12,15,13,12,13
32,25,23,25,21,20,14,15,11,13,11
32,23,19,16,19,17,11,12,13,14,12
30,25,22,22,18,20,14,11,11,13,12
32,26,24,17,18,19,15,12,15,14,11
31,26,23,23,21,18,13,12,12,9,16
30,23,25,23,16,18,15,15,15,14,8
32,23,23,23,21,19,15,11,13,15,16
31,24,25,21,22,19,15,15,12,13,13
32,25,21,20,19,17,13,15,13,13,13
29,24,26,22,21,18,14,15,15,12,13
36,23,20,24,19,21,17,11,12,12,10
32,26,24,21,18,21,15,13,13,14,12
37,25,23,22,22,22,18,13,13,10,13
35,23,21,22,22,17,14,13,12,13,15
28,27,24,21,20,18,11,17,12,12,10
28,28,23,24,20,20,15,13,13,12,11
31,28,22,22,21,18,16,17,12,12,13
27,24,26,19,17,22,14,15,15,12,13
31,23,23,19,16,20,16,14,15,15,12
32,24,26,21,17,18,14,14,14,13,13
30,23,23,20,19,19,16,15,15,11,12
28,24,20,22,19,19,11,15,15,12,15
29,25,23,22,19,19,16,12,12,12,13
27,25,23,24,18,16,13,13,15,13,14
27,25,21,21,20,18,12,17,13,12,14
29,24,25,21,19,16,14,14,14,12,15
30,24,24,20,23,18,14,14,16,16,12
31,26,23,21,22,21,16,13,16,11,12
31,25,26,20,20,20,13,11,14,13,12
32,26,23,25,19,16,14,14,11,15,11
