NaN,-14.85,-13.86,-11.82,-10.42,-9.39,NaN,-7.08,NaN,-4.46,NaN,-3.08,NaN,-0.98,0.329999999999998,NaN,2.9,4.28,5.67,NaN,7.41,8.21,9.63,10.41,12.13,NaN,14.93
NaN,NaN,-13.84,NaN,-10.81,-9.53,NaN,-7.11,NaN,-4.88,-3.65,-3.08,-1.9,-1.05,0.300000000000001,NaN,NaN,4.12,NaN,NaN,7.25,8.22,9.34,NaN,11.78,13.18,14.71
-15.94,NaN,-13.69,-11.78,NaN,-9.55,-8.3,-7.19,-5.41,NaN,-4.07,-2.98,NaN,-0.809999999999999,0.25,NaN,3.04,4.39,NaN,NaN,NaN,8.05,9.56,10.61,12.34,13.13,14.76
-15.94,-14.85,-13.9,-11.87,-10.71,-9.64,NaN,-7.06,NaN,-4.59,-3.93,NaN,NaN,-1.01,0.190000000000001,NaN,2.71,4.26,5.65,NaN,7.5,8.33,9.14,10.67,NaN,12.98,14.85
-15.94,-14.85,-13.57,-11.68,-10.5,NaN,NaN,-7.34,NaN,-4.76,-3.93,NaN,NaN,-1.07,0.329999999999998,NaN,NaN,4.21,5.79,NaN,7.25,NaN,9.49,10.87,12.19,13.15,14.84
-15.94,-14.85,-13.91,-11.81,-10.78,NaN,NaN,-7.27,NaN,-4.93,NaN,-3,-2.14,-1.07,0.259999999999998,NaN,3.3,4.28,NaN,6.56,7.5,8.31,9.6,10.26,NaN,NaN,14.92
-15.94,NaN,NaN,-11.76,-10.51,NaN,-8.09,-7.25,-5.59,NaN,-4.04,-2.76,-1.84,-1.08,0.219999999999999,NaN,NaN,3.91,5.62,NaN,7.32,NaN,9.64,10.74,11.53,13.16,14.93
NaN,NaN,-13.84,-11.42,-10.34,NaN,-8.19,-7,-5.41,-4.55,NaN,-2.99,NaN,-0.960000000000001,-0.0199999999999996,NaN,3.28,4.24,5.71,NaN,7.53,8.35,9.53,10.86,11.81,NaN,14.82
-15.94,NaN,-13.48,-11.97,-10.94,NaN,NaN,-7.45,NaN,NaN,-4.14,-3.29,-1.8,-0.969999999999999,0.25,NaN,2.81,3.81,NaN,NaN,7.5,8.42,9.53,10.36,11.76,NaN,14.84
NaN,-14.85,-13.8,-11.71,-10.27,NaN,NaN,-6.95,-5.32,NaN,NaN,NaN,-2.19,-1.22,0.370000000000001,NaN,NaN,4.16,NaN,NaN,7.47,8.04,9.51,10.29,12.05,13.21,14.82
NaN,-14.85,-13.89,-11.41,-10.73,NaN,NaN,-7.25,-5.34,NaN,-4.05,-3.34,NaN,-1.12,0.309999999999999,NaN,3.17,4.17,NaN,NaN,7.46,8.25,9.36,10.55,12.25,NaN,NaN
-15.94,-14.85,-13.89,-11.66,NaN,NaN,-8.32,-7,-5.46,NaN,-4.27,-3.02,-1.86,-1.14,-0.0300000000000011,NaN,3.59,4.46,NaN,NaN,7.6,8.17,9.53,10.49,11.94,NaN,14.82
-15.94,-14.85,-13.99,-11.49,-10.59,-9.45,NaN,-7.19,-5.63,-4.82,NaN,-3.11,-1.81,-1.05,0.329999999999998,1.99,NaN,3.95,NaN,6.47,7.29,8.35,9.52,10.57,11.83,NaN,14.81
-15.94,-14.85,-13.89,-11.84,-10.92,-9.38,NaN,-6.96,-5.42,NaN,-4.26,NaN,-2.09,-1.24,0.18,NaN,3.02,4.38,5.68,NaN,7.5,8.07,9.46,10.72,11.7,13.15,14.93
-15.94,-14.85,-13.8,-11.8,-10.73,NaN,-8.28,-6.99,NaN,NaN,-4.1,-3.28,-1.53,-0.829999999999998,0.34,NaN,NaN,4.08,5.78,NaN,7.5,NaN,NaN,10.84,11.92,NaN,14.86
NaN,NaN,-13.36,-12.04,-10.93,NaN,NaN,-7.2,-5.4,-4.84,-3.9,-3.22,NaN,-1.11,0.25,NaN,NaN,4.12,5.78,NaN,7.29,8.35,9.36,10.68,12.01,13.21,14.92
NaN,-14.85,-13.91,-11.92,NaN,NaN,NaN,-7.07,NaN,NaN,-4.1,-2.99,-1.97,NaN,0.289999999999999,NaN,2.89,4.02,NaN,NaN,7.54,8.46,9.61,10.43,NaN,NaN,14.85
-15.94,-14.85,-13.73,-11.81,-10.73,-9.73,NaN,-6.99,-5.71,-4.58,NaN,-3.02,NaN,-1.09,0.349999999999998,NaN,NaN,4.22,5.54,NaN,7.34,8.33,9.42,10.48,11.99,NaN,14.93
NaN,NaN,-13.83,-11.91,-10.3,NaN,NaN,-7,-5.26,NaN,-3.69,-2.98,-1.98,-1.13,0.32,2.08,NaN,4.38,NaN,NaN,7.48,8.18,9.2,10.58,12.33,NaN,14.81
NaN,NaN,-13.5,NaN,-10.79,NaN,NaN,-7.55,-5.35,-4.81,NaN,-3.04,-1.74,-1.04,0.239999999999998,NaN,2.88,4.13,5.74,NaN,7.21,NaN,9.49,10.71,12.14,12.93,NaN
-15.94,-14.85,-13.65,-11.95,NaN,NaN,-8.19,-7.08,-5.4,-4.67,NaN,NaN,NaN,-1.05,0.23,NaN,NaN,4.18,NaN,NaN,7.49,8.35,9.53,NaN,11.97,NaN,14.82
NaN,NaN,NaN,NaN,-10.78,NaN,NaN,-7,-5.38,NaN,NaN,-3.04,-2.13,-1.03,0.280000000000001,1.85,3.1,4.3,5.68,NaN,7.35,8.39,9.54,10.71,11.91,NaN,NaN
-15.94,NaN,-13.5,-11.72,-10.99,NaN,NaN,-7.08,-5.52,-4.48,NaN,-3,-1.98,-0.98,0.309999999999999,NaN,3.32,3.98,NaN,NaN,7.56,NaN,9.64,NaN,11.79,12.9,14.77
NaN,-14.85,-13.7,-11.44,NaN,NaN,NaN,-7.43,NaN,-4.73,NaN,NaN,-2.15,NaN,0.239999999999998,NaN,3.42,4.39,NaN,NaN,7.45,NaN,9.61,10.24,11.68,NaN,14.81
NaN,-14.85,-13.99,NaN,-10.28,NaN,NaN,-7.25,-5.45,-4.63,NaN,-2.95,-1.64,-0.989999999999998,0.329999999999998,NaN,NaN,3.95,5.72,NaN,7.38,8.19,9.37,10.69,11.93,13.21,NaN
-15.94,NaN,-13.34,-11.73,-10.49,NaN,-8.16,-6.98,NaN,NaN,-4.14,-3.05,-1.8,-0.98,0.0999999999999979,NaN,3.11,4.07,NaN,NaN,7.47,8.39,9.28,10.44,11.49,NaN,NaN
NaN,-14.85,-13.75,NaN,-11.06,NaN,NaN,-6.96,NaN,-4.5,NaN,-3.49,NaN,-1.16,0.34,NaN,NaN,4.12,NaN,NaN,7.54,8.17,9.68,NaN,12.1,13.25,14.77
-15.94,NaN,-13.84,-11.81,NaN,-9.62,NaN,-7.23,NaN,-4.78,NaN,-3.05,-1.81,-1.29,0.25,NaN,3.36,4.25,5.79,NaN,7.3,8.29,9.66,NaN,11.79,NaN,14.88
-15.94,-14.85,-13.94,-11.89,-10.38,NaN,NaN,-7.32,-5.65,-4.58,NaN,NaN,-1.74,-1.09,0.219999999999999,NaN,3.05,4.44,NaN,NaN,7.35,8.21,9.48,10.19,11.85,NaN,14.71
NaN,NaN,-13.78,-11.68,NaN,NaN,-8.01,-6.92,NaN,-4.7,-4.06,NaN,-2.11,-0.699999999999999,0.329999999999998,NaN,NaN,4.15,5.72,NaN,7.32,8.4,9.31,10.59,11.93,13.2,14.75
-15.94,NaN,NaN,-11.71,-10.97,-9.48,NaN,-7.03,-5.41,-4.7,NaN,-3.04,-1.81,-1.1,0.25,NaN,NaN,3.96,NaN,NaN,7.42,8.29,9.65,10.38,NaN,13.19,14.82
NaN,-14.85,-13.91,-11.88,-10.41,-9.63,NaN,-7.15,-5.32,-4.48,NaN,NaN,-1.74,-1.05,0.210000000000001,NaN,NaN,3.99,5.66,NaN,7.41,8.27,9.57,NaN,12.3,NaN,14.82
-15.94,-14.85,-13.99,-11.98,NaN,-9.6,NaN,-7,-5.55,-4.79,NaN,-3.17,-2.02,-0.949999999999999,0.379999999999999,NaN,NaN,4.19,5.57,NaN,7.43,NaN,9.55,10.45,12.09,NaN,14.93
NaN,-14.85,-13.73,NaN,NaN,-9.57,NaN,-7.02,NaN,-4.68,-3.88,NaN,-2.24,-1.1,0.140000000000001,1.88,NaN,4.12,NaN,NaN,7.38,8.26,9.48,10.14,12.03,13.09,14.92
