-19.8,-13.91,-12.5,NaN,-9.82,-8.53,NaN,-6.41,-5.04,NaN,-3.1,NaN,0.309999999999999,2.54,4.11,5.19,6.62,NaN
NaN,-13.5,-12.59,-10.66,-9.66,-8.86,-7.75,-6.77,-5.56,-4.51,-3.14,-1.95,0.0199999999999996,2.75,3.74,4.88,6.64,7.26
-19.8,-13.53,-12.66,-10.57,NaN,NaN,-7.79,-6.7,-5.62,NaN,-3.14,-1.74,0.280000000000001,2.74,4.19,5.16,NaN,NaN
-19.8,-13.72,-12.48,-10.54,-9.53,NaN,-7.9,-6.69,-5.54,-4.52,-2.97,-1.87,0.399999999999999,2.07,NaN,NaN,NaN,7.27
-19.8,NaN,NaN,-10.68,-9.56,-8.45,NaN,-6.36,-5.25,-4.47,-3.31,NaN,0.23,2.56,NaN,4.99,NaN,7.28
NaN,-13.91,-12.7,-10.53,-9.48,NaN,-7.79,-6.66,-5.6,-4.5,-3.33,-1.78,0.329999999999998,2.73,4.1,5.18,6.64,7.26
NaN,NaN,-12.73,-10.65,-9.43,-8.81,-7.76,-6.59,-5.34,-4.43,-3.2,-1.86,0.309999999999999,NaN,3.81,4.85,6.7,7.27
-19.8,-13.5,-12.55,-10.65,-9.64,NaN,-7.77,NaN,-5.78,-4.48,-3.22,-1.9,0.0799999999999983,2.8,4.16,4.98,NaN,NaN
-19.8,-13.83,-12.39,-10.59,-9.39,NaN,-7.77,-6.7,-5.59,-4.63,-3.19,-1.95,0.280000000000001,2.64,4.12,5.23,6.62,NaN
NaN,-13.91,-12.51,-10.73,NaN,-8.93,-7.87,-6.43,NaN,-4.69,-3.33,-1.87,0.199999999999999,NaN,NaN,4.89,6.64,7.26
-19.8,-13.72,-12.6,-10.83,-9.68,-8.79,-7.76,-6.82,-5.56,-4.41,-3.41,-1.96,0.0899999999999999,2.65,4.25,NaN,6.64,7.26
NaN,-13.57,-12.67,-10.6,-9.67,-8.69,-7.68,-6.79,-5.46,-4.37,-2.98,-1.83,0.169999999999998,2.41,NaN,5.09,6.64,7.26
-19.8,NaN,-12.9,-10.84,-9.31,NaN,-7.79,-6.55,-5.54,-4.39,-3.37,-1.85,0.199999999999999,2.18,4.19,4.88,NaN,7.28
-19.8,-13.72,-12.36,-10.55,-9.91,-8.8,-8.03,-6.58,-5.47,NaN,-3.08,NaN,0.27,2.6,4.26,NaN,6.62,NaN
-19.8,-13.71,-12.41,NaN,-9.56,-8.7,-7.94,-6.72,-5.03,NaN,-3.39,-1.79,0.32,2.75,4.14,5.2,6.62,NaN
-19.8,-13.72,-12.71,NaN,-9.46,NaN,-7.95,-6.53,-5.48,-4.48,-3.22,-1.75,0.219999999999999,2.17,4.25,NaN,6.64,7.26
-19.8,-13.61,-12.67,-10.89,-9.83,-8.92,-7.7,-6.45,-5.64,-4.5,-3.38,-2,NaN,2.69,4.34,5.07,6.64,7.26
NaN,-13.9,-12.51,-10.63,-9.56,-8.7,-7.79,-6.45,-5,NaN,-3.13,NaN,0.210000000000001,2.42,NaN,4.67,6.64,7.26
NaN,-13.54,-12.41,NaN,-9.62,NaN,-7.75,-6.45,-5.53,-4.57,-3.27,-1.84,0.199999999999999,2.38,NaN,4.84,NaN,7.28
NaN,NaN,-12.66,-10.68,-9.59,NaN,-7.58,-6.71,-5.43,-4.47,-3.05,-1.81,0.379999999999999,2.09,4.25,5.17,NaN,7.28
-19.8,-13.86,-12.46,-10.63,-9.29,NaN,-7.58,-6.65,-5.22,-4.52,-3.41,NaN,0.300000000000001,2.8,NaN,5.14,6.62,NaN
-19.8,-13.54,-12.32,-10.64,-9.57,-8.6,-7.75,NaN,-5.22,-4.63,-3.18,-1.75,0.289999999999999,2.66,NaN,4.88,NaN,NaN
NaN,-13.86,-12.53,-10.6,-9.54,NaN,-7.77,-6.74,-5.63,-4.45,-3.22,-1.75,0.379999999999999,2.39,NaN,4.92,6.62,NaN
NaN,-13.9,-12.6,-11.09,-9.66,-8.71,-7.89,-6.45,-5.48,-4.99,-3.3,NaN,0.349999999999998,2.77,4.08,5.27,6.62,NaN
-19.8,-13.91,-12.53,NaN,-9.47,-8.8,-7.93,-6.54,-5.17,-4.49,-3.3,-1.9,0.300000000000001,2.61,4.16,5.2,6.62,NaN
-19.8,NaN,-12.57,-11.14,-9.32,NaN,-7.72,-6.7,-5.49,-4.5,-2.93,NaN,0.210000000000001,2.25,4.13,4.75,NaN,7.28
-19.8,-13.83,-12.58,NaN,-9.71,-8.46,-7.79,-6.56,-5.14,NaN,-3.14,-1.94,0.190000000000001,2.55,4.17,5.07,6.64,7.26
NaN,-13.67,-12.97,-10.73,-9.58,NaN,-7.71,-6.39,-5.5,NaN,-3.42,-1.73,0.259999999999998,2.76,NaN,5.06,6.62,NaN
-19.8,-13.8,-12.45,-10.67,-9.68,NaN,-7.69,NaN,-5.74,-4.6,-3.14,-1.97,0.169999999999998,2.6,4.1,4.88,6.62,NaN
-19.8,-13.91,-12.83,-10.56,-9.54,NaN,-7.93,-6.59,-5.05,NaN,-3.14,-1.44,0.219999999999999,2.11,NaN,5.03,6.63,7.19
NaN,-13.9,-12.53,NaN,-9.43,NaN,-7.75,-6.37,-5.37,-4.47,-3.14,-1.98,0.0399999999999991,2.47,4.39,NaN,6.64,7.26
