-13.32,-12.55,-11.72,NaN,-8.25,-7.12,-5.83,-4.9,NaN,NaN,-0.109999999999999,0.91,2.45,4.76,NaN,6.71,7.85,8.79,10.26,11.39,12.91,NaN
-13.34,NaN,-11.74,-10.41,NaN,-6.98,-5.78,-4.85,NaN,NaN,-0.25,0.780000000000001,NaN,4.66,5.97,6.71,8.08,NaN,9.8,NaN,13.04,13.87
-13.32,-12.56,-11.8,-10.54,NaN,-6.48,-5.73,-4.73,NaN,NaN,NaN,1.22,3.04,4.9,5.89,6.72,8.18,NaN,10.03,11.4,13,13.87
NaN,-12.48,-11.75,-10.73,NaN,-6.66,-6.01,-4.48,NaN,NaN,-0.149999999999999,1.16,NaN,4.73,5.85,NaN,8.11,NaN,NaN,11.23,NaN,NaN
-13.33,NaN,-11.79,NaN,-7.94,NaN,-5.46,-4.88,NaN,NaN,-0.0500000000000007,1.29,NaN,4.57,NaN,6.76,8.03,NaN,NaN,11.71,13.02,13.87
-13.34,NaN,-11.79,-10.57,-8.34,-6.57,-5.85,-4.69,NaN,NaN,-0.0500000000000007,1.17,NaN,4.77,5.98,6.76,7.92,NaN,NaN,NaN,12.96,13.87
NaN,-12.49,-11.75,-10.4,-8.4,NaN,-6.21,NaN,NaN,NaN,0.00999999999999801,1.33,NaN,4.67,5.97,6.79,8.25,8.72,NaN,11.35,13.05,13.87
-13.32,-12.51,-11.81,NaN,NaN,-7.08,-5.8,-4.79,NaN,NaN,0.0300000000000011,1.32,NaN,4.68,5.97,6.65,8.04,NaN,9.98,NaN,13.21,13.87
-13.33,-12.47,-11.83,NaN,-8.48,-6.98,-5.89,-5.02,NaN,-2.62,-0.0300000000000011,NaN,2.54,4.78,5.83,6.71,7.73,8.72,NaN,NaN,12.86,NaN
-13.31,NaN,-11.76,-10.51,-8.5,NaN,-5.86,-4.86,NaN,NaN,-0.52,1.27,3.09,4.8,5.83,6.71,8,NaN,NaN,NaN,13.05,13.87
NaN,-12.5,-11.73,-10.56,-8.29,NaN,-6.22,-4.44,NaN,NaN,-0.259999999999998,1.3,3.01,4.79,6.01,6.61,7.84,NaN,NaN,11.43,12.94,13.87
-13.34,NaN,-11.67,-10.54,NaN,-6.5,-5.71,-4.9,NaN,NaN,-0.00999999999999801,1.24,2.54,4.85,5.95,6.71,NaN,8.87,NaN,NaN,12.88,NaN
-13.34,NaN,-11.9,NaN,NaN,NaN,-5.94,-4.79,NaN,-2.38,0.0700000000000003,1.2,NaN,4.71,5.8,6.75,7.87,NaN,NaN,11.39,NaN,NaN
-13.28,-12.44,-11.87,NaN,-8.25,-6.5,-5.72,-4.68,NaN,NaN,0.0599999999999987,1.32,NaN,4.76,NaN,6.69,7.98,NaN,NaN,11.58,NaN,NaN
-13.34,NaN,-11.83,-10.53,-8.53,-7,-5.86,-4.76,NaN,NaN,-0.0399999999999991,1.37,3.02,4.88,5.93,6.79,8.08,8.73,NaN,11.26,12.91,NaN
-13.33,-12.42,-11.79,-10.51,NaN,NaN,NaN,-4.98,NaN,NaN,-0.18,1.42,NaN,4.73,NaN,6.63,8.01,NaN,NaN,11.32,12.93,13.87
-13.31,-12.41,NaN,NaN,NaN,-7.03,-5.85,-4.9,NaN,NaN,-0.239999999999998,NaN,NaN,4.79,NaN,6.47,7.84,8.75,9.54,11.3,12.94,13.87
NaN,NaN,-11.92,-10.59,-8.03,-6.89,-5.86,NaN,NaN,NaN,-0.0199999999999996,1.28,2.84,4.82,5.84,6.62,7.94,NaN,9.62,11.81,12.88,NaN
-13.33,-12.37,-11.7,-10.58,-8.58,-6.43,-5.7,-4.95,NaN,NaN,-0.149999999999999,1.3,NaN,4.81,NaN,6.71,8.02,NaN,NaN,NaN,13.21,13.87
-13.34,-12.31,NaN,-10.58,NaN,-6.7,-5.85,-4.9,NaN,NaN,0.0700000000000003,NaN,NaN,4.91,5.92,6.58,NaN,8.97,NaN,NaN,NaN,NaN
-13.32,NaN,-11.8,-10.4,-8.62,-6.9,-5.9,NaN,NaN,NaN,-0.0799999999999983,NaN,2.83,4.82,5.83,6.74,8.02,NaN,10.31,11.67,12.97,13.87
-13.34,NaN,-11.79,NaN,-8.01,NaN,-5.8,-4.84,NaN,NaN,-0.0899999999999999,0.719999999999999,2.56,4.75,5.93,6.62,8.08,NaN,9.79,11.08,13.03,13.87
NaN,NaN,-11.75,-10.5,NaN,-6.69,-5.65,NaN,NaN,NaN,0.149999999999999,1.21,2.51,4.87,NaN,6.51,7.99,NaN,NaN,NaN,13.1,13.87
-13.31,-12.56,-11.75,-10.61,-8.39,-6.88,-6.17,-4.9,-3.98,NaN,-0.169999999999998,1.2,2.56,4.74,NaN,6.74,NaN,NaN,10.18,NaN,13.04,13.87
-13.32,-12.51,-11.78,-10.52,-8.28,-6.39,NaN,-4.88,NaN,NaN,0.129999999999999,1.23,NaN,4.75,5.93,6.77,8.06,NaN,NaN,11.39,13.01,13.87
NaN,-12.51,-11.73,-10.38,NaN,NaN,-5.79,-4.57,NaN,NaN,-0.0799999999999983,1.17,NaN,4.7,5.79,6.74,7.93,NaN,NaN,11,NaN,NaN
-13.34,NaN,-11.77,-10.49,NaN,-7.17,-5.96,-5.08,NaN,NaN,-0.0999999999999979,0.780000000000001,NaN,4.76,6.02,NaN,7.98,NaN,NaN,11.27,12.91,13.87
