-15.94,NaN,-13.84,-11.9,-10.78,NaN,-6.97,-5.62,NaN,NaN,-1.86,-0.949999999999999,0.25,NaN,4.57,NaN,6.7,8.12,9.29,10.41,NaN,13.17,14.69
-15.94,NaN,NaN,NaN,NaN,-8.19,-6.98,-5.98,NaN,NaN,NaN,-0.93,0.16,NaN,4.04,5.59,6.8,7.99,NaN,10.54,11.65,NaN,NaN
-15.94,-14.85,-13.98,-11.96,-10.5,NaN,-6.87,-5.48,-4.81,NaN,-2.05,-0.960000000000001,0.0500000000000007,NaN,4.16,5.8,6.74,8.19,NaN,10.62,11.5,NaN,14.8
-15.94,-14.85,-13.92,-11.79,NaN,NaN,-6.8,-6.22,-4.62,NaN,NaN,-0.919999999999998,NaN,NaN,4.2,NaN,6.64,NaN,9.4,NaN,NaN,13.11,14.92
-15.94,-14.85,-13.7,-11.75,-10.7,-8.08,-6.75,-5.73,-4.72,NaN,NaN,NaN,0.120000000000001,NaN,4.12,5.93,6.49,8.27,9.4,10.45,11.89,13.12,14.82
-15.94,-14.85,-13.8,-11.81,-10.37,NaN,-6.91,-6.1,-4.9,NaN,NaN,-1.42,-0.0599999999999987,NaN,4.28,5.82,NaN,7.9,9.39,NaN,11.69,13.06,14.9
-15.94,-14.85,-13.77,-11.78,-10.06,NaN,-6.98,-5.98,-4.79,NaN,-1.95,-1.14,0.190000000000001,NaN,4.17,5.79,6.68,8.03,9.89,NaN,11.53,NaN,14.82
NaN,NaN,-13.48,-11.88,NaN,-8.11,-6.93,-6.2,-4.85,-3.24,-2.2,-0.989999999999998,NaN,NaN,4.28,5.7,6.66,NaN,9.64,10.43,11.54,13.07,14.85
-15.94,NaN,-13.52,-11.72,-10.6,NaN,-6.54,NaN,-4.56,NaN,NaN,-0.859999999999999,NaN,NaN,4.12,5.76,NaN,7.99,9.61,NaN,11.79,NaN,14.79
-15.94,-14.85,-13.88,-11.89,-10.71,-8.24,-7.13,-5.95,-4.95,NaN,-1.82,-1.02,NaN,NaN,4.12,NaN,NaN,7.84,9.66,NaN,11.36,NaN,NaN
-15.94,NaN,-13.65,-11.84,-10.34,NaN,-6.89,-5.51,-4.81,NaN,NaN,-1.05,0.0999999999999979,NaN,4.68,NaN,NaN,NaN,NaN,10.33,11.72,NaN,14.85
-15.94,-14.85,-13.54,-11.77,-10.5,NaN,-7.08,NaN,-4.81,NaN,NaN,-0.919999999999998,0.239999999999998,NaN,4.12,NaN,6.53,8.19,9.66,NaN,NaN,13.28,14.77
