iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
32,33,26,23,24,22,24,18,19,16,21
29,28,27,24,24,23,23,18,24,19,21
31,31,24,26,22,22,18,19,20,18,18
28,30,26,25,21,21,22,20,24,18,24
29,30,24,20,19,20,22,23,19,21,23
32,27,26,21,23,21,20,19,21,17,19
29,30,25,23,24,23,18,18,20,22,18
33,29,24,23,23,23,21,17,21,18,23
28,30,24,21,24,23,21,20,19,19,19
31,26,25,21,22,24,20,20,18,19,20
26,28,25,30,19,23,23,22,21,17,22
30,28,26,24,24,24,21,17,18,19,21
33,28,24,21,23,20,24,20,22,19,21
27,26,23,23,22,25,22,20,23,20,23
29,28,28,20,21,22,19,18,21,15,24
31,29,26,24,21,23,22,17,20,20,19
33,28,24,22,21,23,24,19,19,19,22
31,29,21,25,21,22,20,18,22,20,20
28,28,26,24,24,24,20,21,20,19,20
33,29,28,24,20,19,22,20,20,17,19
30,28,24,24,22,22,22,17,22,19,20
30,31,28,26,20,20,20,23,20,20,21
29,30,24,26,23,21,21,20,23,18,20
30,30,21,20,21,24,18,19,22,20,19
27,29,26,24,21,20,21,18,22,16,20
29,31,26,23,23,26,23,18,20,22,19
27,29,26,22,21,23,22,22,23,20,18
28,25,27,22,22,23,22,18,22,19,22
31,31,25,23,25,24,21,18,18,19,22
32,29,25,27,20,22,23,18,20,17,22
31,31,25,22,26,22,22,19,21,17,23
32,28,26,24,21,23,24,19,24,21,21
30,30,27,26,23,24,23,22,22,19,23
32,31,26,19,21,21,21,20,22,19,21
30,29,28,23,20,23,20,16,21,18,19
30,29,26,23,21,22,20,20,21,22,19
30,26,29,25,22,18,20,19,21,21,21
30,30,28,20,20,19,22,20,18,18,21
29,29,23,25,25,19,21,20,19,17,23
31,30,21,24,21,23,23,20,23,15,23
26,32,25,21,22,20,23,16,19,19,19
34,29,27,19,23,24,24,17,19,22,20
34,29,24,29,23,24,21,19,20,23,22
31,26,23,22,22,22,24,16,20,17,18
27,28,25,21,22,19,21,19,18,16,23
32,27,24,26,20,19,22,21,19,15,22
28,28,27,25,20,21,24,22,22,18,23
28,31,27,23,22,21,19,19,20,21,22
30,30,24,24,22,21,23,20,22,16,20
30,31,27,27,23,19,21,19,20,24,19
