NaN,-13.7,-12.11,-10.1,-8.58,-7.29,NaN,-4.74,-3.15,-2.47,-1.11,NaN,1.69,2.92,3.92,5.93,7.31,8.23,10.12,10.82,12.11,NaN,13.93
NaN,-13.61,-12.32,-10.15,-8.49,-7.32,NaN,-4.64,-3.21,NaN,-1.2,0.0799999999999983,1.32,2.92,3.77,5.93,6.89,7.85,9.79,10.86,12.36,NaN,14.01
NaN,NaN,-12.11,-10.06,-8.49,-7.28,NaN,NaN,-3.66,NaN,-1.48,0.140000000000001,1.68,NaN,3.53,5.67,6.92,7.97,NaN,10.59,12.09,12.92,13.86
NaN,-13.68,-12.01,-10.09,-8.65,-7.45,-6.26,-5.05,-3.18,NaN,-1.5,0.120000000000001,1.66,2.97,3.8,5.77,6.81,8.03,NaN,10.74,12.03,NaN,NaN
NaN,-13.65,-12.02,-10.29,-8.48,-7.4,-6.55,-4.55,-3.16,NaN,-1.45,0.140000000000001,1.65,2.77,3.82,5.69,6.64,8.25,9.59,10.79,11.9,13.08,14.06
NaN,-13.76,-12.4,-10.11,NaN,-7.32,-6.24,-5.1,-3.17,-2.57,-1.09,0.16,1.8,2.97,3.7,5.95,7.4,NaN,9.9,10.65,12.39,NaN,NaN
NaN,-13.8,-12.03,-10.01,-8.83,-7.3,-6.15,-4.42,-3.17,-2.55,-1.45,0.0199999999999996,1.67,NaN,3.79,5.88,7.19,8.09,9.73,10.68,12.23,NaN,14
NaN,-13.68,-12.19,-9.89,-8.6,-7.32,-6.63,-4.74,-3.25,NaN,-1.34,0.0599999999999987,1.88,2.81,4.04,5.75,6.98,8.06,9.67,10.63,12.15,NaN,13.76
NaN,NaN,-12.08,-10.16,-8.67,-7.32,-6.19,-4.92,-3.22,-2.44,-1.26,NaN,1.82,NaN,3.85,NaN,6.86,8.26,NaN,10.55,12.3,NaN,13.87
NaN,NaN,-12.04,-10.36,-8.68,-7.29,-6.22,-4.62,-3.35,-2.45,-1.33,NaN,1.82,NaN,3.61,5.8,7.36,8.24,NaN,10.71,12.04,NaN,13.92
NaN,-13.35,-12.05,-10.07,-8.76,-7.27,-6.21,-4.98,-3.24,-2.52,-1.35,0.129999999999999,1.57,2.87,3.9,5.68,7.25,NaN,NaN,10.89,12.11,13.44,NaN
NaN,NaN,-12.11,-9.95,NaN,-7.14,NaN,-4.46,-3.2,NaN,-1.32,0.440000000000001,1.67,2.77,NaN,5.81,7.01,8.02,NaN,10.62,12.18,NaN,NaN
NaN,-13.63,-11.95,-10.08,-8.5,-7.44,-5.95,-4.81,-3.24,NaN,-0.870000000000001,0.259999999999998,1.23,2.89,NaN,5.79,7,8.32,10.25,NaN,12.21,NaN,14.02
NaN,NaN,-12.14,-10.14,-8.7,-7.26,-6.48,-5.1,-3.16,NaN,-1.41,NaN,1.74,NaN,3.69,5.73,7.31,8.26,9.86,10.77,12.24,NaN,NaN
NaN,-13.85,-12.33,-10.09,NaN,-7.23,NaN,-4.58,-3.25,-2.44,-1.49,0.140000000000001,1.64,2.86,3.97,NaN,7.28,8.3,NaN,10.66,12.08,13.1,13.97
