NaN,-13.78,-12.07,-10.18,-8.59,-7.29,NaN,-4.49,-3.2,-2.51,NaN,0.16,1.6,NaN,3.83,6.11,6.81,8.61,9.77,NaN,12.36,13,13.88
NaN,-13.87,-12.29,-10.17,-8.56,-7.33,-6.61,-4.48,-3.16,NaN,NaN,0.18,1.64,NaN,3.8,5.71,7.08,8.18,10.04,NaN,12.16,NaN,NaN
NaN,-13.86,-12.1,-10.01,NaN,-7.46,NaN,-4.89,-3.13,NaN,-1.32,0.0700000000000003,1.66,NaN,3.93,NaN,6.96,8,NaN,10.74,12.22,NaN,13.92
NaN,-13.63,-12.1,-10.04,-8.6,-7.37,-5.87,-4.9,NaN,-2.49,-1.41,NaN,1.87,2.77,3.86,5.99,6.67,7.91,NaN,10.73,12.04,13.16,NaN
NaN,-13.79,-12.09,-10.09,-8.62,NaN,-6.19,-4.41,-3.32,-2.49,NaN,0.109999999999999,1.65,2.92,3.81,5.89,6.58,8.25,NaN,10.71,12.32,NaN,NaN
NaN,NaN,-11.9,-10.04,-8.81,-7.28,-6.17,-4.72,-3.17,NaN,-1.42,NaN,1.69,NaN,3.88,5.8,6.77,8.3,9.83,10.74,12.2,13.29,13.78
NaN,NaN,-12.11,-10.56,-8.48,-7.35,NaN,-4.28,-3.31,-2.56,NaN,0.18,1.68,NaN,3.87,5.77,7.15,8.24,9.9,10.71,12.18,NaN,13.86
NaN,-13.71,-12.11,-10.19,-8.72,-7.29,-6.17,-4.44,-3.31,-2.46,-1.06,0.0700000000000003,1.62,2.99,3.95,NaN,7.28,8.12,9.46,10.68,12.22,13.21,13.89
NaN,NaN,-12.51,NaN,-8.8,-7.32,NaN,-5.03,-3.16,NaN,-0.919999999999998,0.0999999999999979,1.69,2.93,3.91,5.63,NaN,8.09,NaN,10.8,12.12,NaN,14.07
NaN,-13.75,-12.1,-10.14,-8.62,-7.41,-6.53,-4.49,-3.21,-2.46,-1.4,0.0899999999999999,1.77,2.88,3.92,5.67,6.75,8.62,9.53,10.59,12.13,NaN,13.87
NaN,-13.8,-12.44,-9.88,-8.68,-7.23,-6.12,-4.59,-3.17,-2.53,-1.32,0.120000000000001,1.67,2.94,3.92,5.76,NaN,8.03,NaN,10.78,12.04,NaN,14.1
NaN,-13.55,-12.14,-10.11,-8.63,-7.35,-6.38,-4.42,-3.1,-2.66,-1.37,NaN,1.81,NaN,3.93,5.84,7.42,NaN,NaN,10.73,12.22,NaN,14.01
NaN,-13.76,-11.85,-10.54,-8.5,-7.35,-6.62,-4.54,-3.13,NaN,-0.879999999999999,0.109999999999999,1.78,NaN,3.7,5.66,7,8.12,NaN,10.65,12.56,NaN,13.67
NaN,-13.61,-12.11,-10.11,-8.28,-7.37,-6.66,-4.43,-3.13,-2.43,-1.32,NaN,1.71,NaN,3.68,5.74,7.07,8.04,9.58,10.72,12.2,NaN,14.06
NaN,-13.75,-12.5,-10.16,-8.73,-7.14,-6.24,-5.03,-3.29,-2.42,-1.52,NaN,1.57,2.96,3.52,5.64,7.02,NaN,NaN,10.4,12.28,NaN,NaN
