-19.06,-17.78,-15.93,-14.82,-13.77,-12.24,NaN,-9.26,NaN,-7.36,-6.1,-5.05,-4.18,-1.87,-0.800000000000001,-0.00999999999999801,0.789999999999999,2.01,3.36,4.95,5.77,6.9,NaN,8.86,NaN,11.17,12.02,13.73,15.36,NaN,17.3,18.81
-19.09,-17.27,-15.89,NaN,-14.19,-11.95,NaN,-9.27,NaN,-7.07,NaN,-5.03,-4.17,-1.91,-0.849999999999998,NaN,0.739999999999998,1.85,2.84,4.59,5.88,6.66,8.24,NaN,NaN,NaN,12.3,13.63,15.45,16.78,NaN,NaN
-18.99,-17.23,-16.42,-14.76,-13.61,-11.73,NaN,-8.98,NaN,-6.93,NaN,-5.31,-4.13,NaN,-0.989999999999998,0.199999999999999,0.829999999999998,1.94,2.89,4.72,5.9,NaN,7.79,NaN,9.83,10.99,12.52,13.56,15.21,NaN,17.59,18.81
-19.05,NaN,-16.05,NaN,-14.13,-11.89,NaN,-9.09,NaN,-7.35,-6.23,-4.93,-4.1,-2.08,-0.989999999999998,0.0999999999999979,1.09,2.09,3.37,4.53,NaN,6.85,NaN,8.89,10.22,11.18,12.55,13.79,15.3,16.16,NaN,18.81
-18.64,-17.25,-15.9,-14.9,-14.08,-12.01,NaN,-9.66,-8.03,-7.02,NaN,-5.07,-4.08,NaN,-0.98,-0.140000000000001,NaN,1.96,3.19,4.82,5.85,6.86,7.73,8.77,NaN,11.37,12.38,13.66,15.36,NaN,17.58,18.81
-19,-17.27,-16.27,-14.85,-14.12,-12.02,NaN,-9.37,-8.05,-7.27,NaN,-4.95,-4.17,NaN,-1.06,-0.0799999999999983,1.25,2,2.77,4.97,NaN,6.84,NaN,8.95,NaN,11.07,12.1,13.89,15.12,16.46,17.59,NaN
-19.11,-17.23,NaN,-15.01,-13.63,-12,NaN,-9.45,-7.97,-6.98,NaN,-5.08,-4,-1.95,-1.04,NaN,0.859999999999999,2.23,2.62,4.87,NaN,6.73,8,8.55,NaN,11.21,12.34,13.7,15.08,16.45,17.59,18.8
-19.11,NaN,NaN,-14.78,-14.07,-11.94,NaN,-9.39,NaN,-7.17,-6.19,-4.95,-3.74,-1.8,-0.969999999999999,0.440000000000001,1.28,2.26,NaN,4.38,NaN,6.75,7.88,NaN,9.89,11.05,12.35,13.75,14.94,16.45,NaN,18.81
-19.06,-17.23,-16.42,-14.95,-13.67,-11.99,NaN,-8.98,-7.73,NaN,-6.15,-5.17,-4.19,NaN,-1.08,0.219999999999999,1.15,2.05,3.12,5.08,NaN,6.76,NaN,9.09,10.03,10.9,12.17,13.67,14.95,16.3,17.45,18.81
-19.06,-17.24,-16.48,-14.95,-13.72,-12.06,NaN,-8.77,NaN,-7.14,NaN,-4.99,-4.06,-1.72,-0.879999999999999,0.0700000000000003,NaN,1.92,2.94,4.55,NaN,6.94,NaN,8.38,9.59,11.06,12.24,13.72,15.05,16.22,NaN,NaN
-18.83,-17.78,-15.88,NaN,-13.87,-12.05,NaN,-9.4,NaN,-7.51,-6.08,-4.97,-3.87,-2.08,-1,0.18,NaN,1.82,2.94,4.83,5.91,6.89,NaN,NaN,9.65,10.83,11.97,13.68,15.21,16.76,NaN,NaN
-19.04,-17.78,-15.93,-14.78,NaN,-12.01,NaN,-9.49,-8.01,-6.95,NaN,-5.07,-4.12,NaN,-0.940000000000001,0.0999999999999979,0.969999999999999,2.16,NaN,4.55,5.36,7.11,NaN,8.77,10.26,11.09,12.44,13.7,15.24,NaN,17.54,NaN
-19.07,-17.27,-15.89,-14.78,-13.59,-12.25,NaN,-9.27,NaN,-6.94,-6.2,-4.94,-4.06,-1.64,-0.989999999999998,-0.0899999999999999,1.27,1.96,3.1,4.74,5.94,6.57,7.87,NaN,10.17,11.06,12.22,13.98,15.4,16.12,17.01,NaN
-18.82,NaN,-16.05,-15,NaN,-11.98,NaN,-9.44,NaN,-7.05,-6.04,-4.98,-4.03,-1.95,-1.04,0.210000000000001,1.29,NaN,NaN,4.64,5.95,6.88,7.84,NaN,NaN,11.18,12.05,13.84,15.14,16.38,17.44,18.81
-19.11,-17.23,NaN,-14.69,-14.14,-11.99,NaN,-9.12,-7.96,NaN,NaN,-4.87,-4.18,-2.25,-0.949999999999999,NaN,0.98,2.07,3.37,4.68,NaN,6.76,NaN,8.45,9.84,11.19,12.25,13.76,14.84,16.63,17.58,18.81
-19.11,-17.23,NaN,-14.89,NaN,-12.08,NaN,-9.05,NaN,-7.55,-6.1,-5.09,-4.05,NaN,-1,0,1.21,2.06,3.02,4.56,5.95,6.73,7.94,NaN,10.24,11.07,12.11,13.63,15.4,16.78,NaN,NaN
NaN,-17.23,NaN,NaN,-14.12,-12.15,NaN,-9.29,NaN,-7.02,-6.12,-4.89,NaN,-2.1,-0.989999999999998,0.120000000000001,0.890000000000001,NaN,2.9,4.61,5.83,6.87,NaN,8.82,NaN,10.9,12.17,13.59,NaN,16.11,NaN,18.81
-19.09,-17.27,-15.89,-14.7,-14.14,-11.91,-10.77,-9.41,NaN,-7.43,-6.18,-4.96,-4.15,NaN,-0.98,-0.149999999999999,0.870000000000001,1.92,NaN,4.57,5.88,6.94,7.88,NaN,9.29,11.16,12.32,13.75,NaN,16.78,NaN,18.81
-18.72,NaN,-15.95,-14.82,-13.58,-12.19,NaN,-9.07,-8.12,-6.96,-6.14,-5.02,-4.14,-1.67,-0.899999999999999,-0.0399999999999991,NaN,NaN,3.01,4.53,NaN,6.86,NaN,8.51,9.64,10.99,12.29,13.99,15.15,16.3,17.52,18.8
-19.11,-17.23,NaN,NaN,-14.15,-12.26,-10.41,-9.22,-8.03,-7.05,NaN,-4.98,NaN,-1.84,-0.969999999999999,0.0999999999999979,0.98,2.17,NaN,4.55,5.9,NaN,7.77,NaN,NaN,10.93,12.52,13.89,NaN,16.46,17.59,18.81
-19.06,NaN,-16.16,NaN,-14.11,-11.71,-10.16,-9.5,NaN,-7.52,-6.16,-4.88,-4.1,NaN,-0.989999999999998,0.0300000000000011,0.899999999999999,2.22,2.55,4.74,5.76,6.92,NaN,8.53,9.76,11.25,12.36,13.74,14.97,16.3,17.52,18.8
-19.07,-17.27,-15.88,-15.02,-13.65,-11.61,NaN,-8.91,NaN,-7.34,-6.14,-4.99,-3.84,NaN,-0.93,0.0599999999999987,NaN,2.23,NaN,4.92,NaN,6.9,7.81,8.89,NaN,11.13,12.37,13.74,15.08,16.29,17.45,18.81
-19,-17.37,-15.97,-14.72,-14.1,-11.78,NaN,-9.1,NaN,-7.58,-6.16,-5.07,-4.1,NaN,-1.06,-0.0300000000000011,NaN,2.02,NaN,4.48,5.87,6.91,NaN,8.86,9.99,11.15,12.26,13.71,15.07,16.51,17.58,18.8
-19.07,NaN,-16.19,-14.94,-14.08,NaN,NaN,-9.45,-8,-7.05,NaN,-4.95,-4.11,NaN,-1.12,0.0300000000000011,NaN,2.05,NaN,4.75,NaN,6.86,NaN,8.96,NaN,10.59,12.35,13.57,14.76,16.13,17.05,NaN
-18.99,NaN,-16.23,-14.8,-13.88,NaN,-10.32,-9.16,-8.06,-6.91,NaN,-5.24,-4.09,-2.08,-1.14,NaN,NaN,2.05,3.03,4.64,5.83,6.96,NaN,8.96,NaN,11.12,12.34,14,15.17,16.38,NaN,18.81
-19.06,NaN,-16.23,-14.97,-14.12,-12.03,NaN,-9.06,NaN,-7.45,-6.15,-4.92,-4.16,NaN,-1,-0.129999999999999,1.23,NaN,3.16,4.89,NaN,6.9,NaN,8.75,9.93,10.6,12.48,13.74,14.84,NaN,17.3,18.81
-18.82,NaN,-16.05,-14.99,-13.91,-12.01,NaN,-9.47,-8.09,-7.19,-6.11,-4.99,-4.1,NaN,-1.02,0.0999999999999979,0.859999999999999,1.92,2.95,4.75,NaN,6.81,8.08,NaN,9.98,NaN,11.93,13.64,15.22,NaN,17.26,18.81
-18.82,-17.27,-16.27,-14.97,-14,-12.23,-10.43,-8.96,-8.18,-7.48,NaN,-5.16,-4.03,-2.14,-1.06,NaN,0.759999999999998,NaN,2.93,4.7,5.51,6.78,8.24,NaN,NaN,11.13,12.14,13.75,15.32,16.12,17.05,18.81
-19.08,-17.23,-16.59,-14.75,NaN,-12.19,-10.19,-9.15,-7.96,-7.11,-6.13,-5.07,-4.04,-2.03,-1.04,0.0999999999999979,1.3,NaN,2.93,4.6,5.73,6.89,NaN,8.54,9.77,10.76,12.57,13.9,15.58,16.91,NaN,18.81
-19.09,-17.24,-16.58,-14.81,-14.13,-12.04,NaN,NaN,-7.77,-6.93,NaN,-5.01,-4.17,-1.97,-0.780000000000001,0.16,1.05,2.39,NaN,4.72,NaN,6.8,8.09,NaN,10.12,11.07,12.58,13.63,NaN,16.46,17.59,18.8
