-19.8,NaN,NaN,-11.71,-10.76,NaN,-7.87,-6.61,-5.41,-4.39,-3.01,-0.969999999999999,0.0799999999999983,1.8,2.33,3.15,NaN,5.3,NaN,7.34,9.65,10.98,12.24,14.18,17.37,18.95
NaN,NaN,NaN,-11.86,NaN,-8.66,-7.8,-6.32,-5.26,-4.56,-2.95,NaN,0.0500000000000007,NaN,2.24,3.34,3.82,5.17,6.63,NaN,10.1,NaN,12.33,14.18,NaN,18.97
NaN,-13.72,-12.51,-11.23,NaN,NaN,-7.69,NaN,-5.65,-4.55,-2.89,NaN,0.0300000000000011,1.61,NaN,3.34,NaN,5.12,6.42,NaN,9.96,11.35,12.22,NaN,17.37,18.97
NaN,-13.91,-12.6,-11.66,NaN,-9.03,NaN,NaN,-5.55,NaN,-3.16,NaN,0.129999999999999,1.6,2.43,3.2,3.94,5.25,NaN,7.57,9.86,11.03,11.91,NaN,17.37,NaN
-19.8,NaN,-12.55,-11.42,-10.62,-8.73,-7.78,-6.67,-5.61,-4.48,-3.14,NaN,0.169999999999998,1.76,2.42,3.26,NaN,5.11,6.57,7.37,NaN,NaN,12.02,NaN,NaN,18.48
-19.8,-13.9,-12.51,-11.36,-10.61,NaN,-7.67,NaN,-5.67,-4.33,-3.11,NaN,0.109999999999999,1.65,2.52,NaN,3.97,5.38,NaN,NaN,NaN,NaN,12.24,14.18,17.37,18.41
-19.8,-13.8,-12.51,-11.36,NaN,-8.71,-7.66,-6.48,-5.48,-4.6,-3.26,NaN,0.0399999999999991,1.72,NaN,3.15,NaN,5.28,NaN,7.39,9.59,NaN,12.3,14.18,17.37,18.43
NaN,NaN,-12.34,-11.52,-10.58,-8.89,-7.83,-6.69,-5.6,-4.59,-3.15,-0.960000000000001,0.0799999999999983,1.59,NaN,3.31,NaN,5.24,6.24,7.73,9.65,11.33,12.22,14.18,17.37,NaN
-19.8,-13.66,-12.56,-11.56,-10.73,-8.91,-7.76,-6.76,-5.44,-4.53,-3.04,NaN,0.0899999999999999,NaN,2.16,3.31,4.08,5.26,6.2,7.77,9.29,NaN,12.33,14.18,17.37,18.41
NaN,NaN,-12.38,NaN,-10.58,-8.76,-7.7,-6.73,-5.46,-4.83,-3.27,NaN,0.0300000000000011,1.48,2.5,NaN,4.01,5.25,5.91,NaN,10.15,NaN,12.57,14.18,NaN,18.97
-19.8,-13.68,-12.45,-11.55,NaN,-8.82,-7.72,-6.68,-5.5,-4.43,-3.03,NaN,0.27,1.5,2.27,NaN,3.74,5.25,6.5,NaN,10.06,11.43,12.16,14.18,17.37,18.48
-19.8,-13.91,-12.52,-11.45,NaN,NaN,-7.8,NaN,-5.52,-4.4,-2.98,NaN,0.0399999999999991,1.72,2.28,NaN,4,5.14,6.44,7.39,9.87,NaN,12.29,14.18,17.37,18.48
NaN,-13.86,-12.59,NaN,NaN,-8.68,-7.6,-6.22,-5.46,-4.48,-2.96,NaN,0.140000000000001,1.67,NaN,3.25,3.94,5.29,6.43,7.37,9.69,NaN,12.22,14.18,17.37,NaN
-19.8,NaN,-12.38,-11.53,-10.69,-9.22,-8.01,-6.56,-5.55,-4.42,-3.06,NaN,0.0199999999999996,1.66,2.39,3.32,4.16,5.23,6.34,7.3,9.74,11.42,12.09,14.18,17.37,18.48
-19.8,-13.66,-12.47,-11.5,-10.56,-8.99,-7.76,-6.47,-5.08,NaN,-3.23,NaN,0.0500000000000007,1.71,2.47,3.32,NaN,5.14,6.47,7.43,9.48,10.94,12.15,14.18,17.37,18.43
-19.8,-13.57,NaN,-11.42,NaN,NaN,-7.79,-6.71,-5.82,-4.47,-3.14,NaN,0.169999999999998,NaN,2.32,3.31,3.99,5.21,6.69,7.89,NaN,11.07,12.24,14.18,17.37,18.42
-19.8,-13.91,-12.49,-11.31,NaN,-8.74,-7.79,-6.74,-5.49,-4.45,-2.74,NaN,-0.0300000000000011,NaN,NaN,3.26,NaN,5.16,6.42,7.37,NaN,11.44,12.36,14.18,17.37,18.41
NaN,-13.66,-12.74,-11.44,-10.56,-8.7,-7.76,-6.32,-5.11,NaN,-3.1,NaN,0.0700000000000003,NaN,2.63,3.32,3.91,5.25,NaN,7.88,9.65,NaN,NaN,NaN,17.37,NaN
-19.8,-13.53,-12.39,-11.64,-10.57,-8.47,-7.67,-6.34,-5.06,NaN,-2.97,NaN,0.0599999999999987,1.78,2.49,NaN,NaN,5.23,6.53,7.36,9.69,11.35,12.2,14.18,NaN,18.41
NaN,-13.9,-12.53,-11.34,NaN,-8.6,-7.77,NaN,-5.62,-4.37,-3.08,NaN,0.0199999999999996,NaN,2.37,3.23,3.85,5.26,NaN,7.17,NaN,NaN,11.92,14.18,17.37,18.97
-19.8,-13.54,-12.25,NaN,-10.73,NaN,-7.79,NaN,-5.67,-4.36,-3.03,NaN,0.0899999999999999,1.69,2.48,3.27,NaN,5.29,6.27,7.3,NaN,10.87,12.35,14.18,NaN,18.48
-19.8,NaN,-12.73,-11.3,-10.66,-8.92,-7.74,-6.61,-5.6,-4.45,-2.8,NaN,-0.00999999999999801,1.67,NaN,3.3,NaN,5.23,NaN,7.39,9.67,11.4,12.31,14.18,NaN,18.41
-19.8,-13.91,-12.27,-11.57,NaN,-8.9,NaN,-6.67,-5.53,-4.56,-3.03,NaN,-0.0199999999999996,1.6,NaN,3.22,4.3,5.24,6.41,7.43,9.72,10.99,12.23,14.18,17.37,18.41
-19.8,-13.83,-12.48,-11.57,-10.58,NaN,-7.84,-6.59,-5.56,-4.56,-3.1,NaN,0.109999999999999,1.68,NaN,3.2,3.95,5.09,6.76,NaN,9.65,NaN,12.3,NaN,17.37,18.41
-19.8,-13.51,-12.79,-11.51,-10.73,NaN,-7.72,-6.31,-5.24,NaN,-2.94,NaN,0.0700000000000003,1.76,2.42,3.24,3.99,5.1,NaN,NaN,9.81,10.99,12.26,14.18,NaN,18.44
-19.8,-13.91,-12.65,-11.39,-10.67,NaN,-7.79,-6.74,-5.66,-4.84,-3.18,NaN,0.0599999999999987,1.68,NaN,3.24,4.03,5.26,NaN,7.77,9.79,11.01,12.23,14.18,17.37,18.43
NaN,-13.91,-12.51,-11.9,-10.64,-8.94,-8.01,-6.31,NaN,-4.58,-3.12,-1.04,0.0500000000000007,NaN,2.48,3.36,3.79,5.27,5.95,7.36,NaN,10.89,11.91,14.18,17.37,NaN
-19.8,-13.65,-12.58,-11.47,-10.62,-8.81,-7.74,-6.61,-5.47,-4.49,-3.04,NaN,0.0700000000000003,1.78,2.38,2.91,3.93,5.16,NaN,7.8,9.94,NaN,12.24,NaN,17.37,18.48
-19.8,-13.53,-12.66,-11.65,-10.71,NaN,-7.82,-6.3,-5.62,-4.52,-3.04,NaN,0.0999999999999979,1.77,NaN,3.3,4.05,5.31,NaN,7.36,NaN,11.02,12.23,NaN,NaN,18.43
-19.8,NaN,-12.52,-11.17,NaN,-9.34,-7.76,-6.53,-5.51,-4.98,-3.32,-1.08,0.0399999999999991,1.71,NaN,3.27,NaN,5.11,6.64,7.79,10.13,10.98,12.1,14.18,NaN,18.41
-19.8,-13.53,-12.42,-11.53,-10.98,NaN,-7.85,-6.13,-5.07,-4.35,-3.13,NaN,0.0700000000000003,1.67,2.68,NaN,4.16,5.18,NaN,7.41,9.54,10.98,12.16,14.18,NaN,18.41
