-11.79,-7.56,-5.95,-5.21,NaN,-3.09,-0.789999999999999,-0.0300000000000011,NaN,2.5,3.53,4.83,7.27,8.19,8.97,10.69
-11.79,-7.57,NaN,-5.18,-4.15,-3.05,-0.93,-0.280000000000001,0.710000000000001,2.43,3.88,4.94,7.11,7.99,8.79,10.69
-11.79,-7.67,-5.96,-4.75,-3.6,-3.18,-0.739999999999998,NaN,NaN,2.26,3.96,NaN,7.07,8.13,NaN,10.69
-11.79,-7.61,-5.94,-4.77,-3.7,NaN,-1.02,-0.18,NaN,2.66,3.82,4.79,6.97,8.23,NaN,10.69
-11.79,NaN,-5.91,-4.66,NaN,-3.08,NaN,-0.140000000000001,NaN,2.58,4,5,6.81,8.13,8.95,10.69
NaN,-7.73,-6.1,NaN,NaN,-2.82,-0.989999999999998,NaN,NaN,2.3,4.04,4.89,7.16,8.07,8.97,10.69
-11.79,-7.73,-6.11,-4.71,NaN,-2.77,-0.919999999999998,-0.25,NaN,2.54,NaN,5.18,7.07,8.16,NaN,10.69
NaN,-7.73,-6.16,-5.09,-3.71,-2.44,-0.57,NaN,NaN,2.49,4.32,NaN,NaN,7.98,8.93,NaN
-11.79,-7.58,-6.24,-5.21,-3.8,NaN,-0.940000000000001,NaN,NaN,2.56,NaN,5.07,NaN,8.14,8.95,10.69
NaN,-7.82,-5.92,-4.84,-3.64,-2.66,-0.719999999999999,NaN,NaN,2.36,NaN,NaN,7.19,7.76,8.91,NaN
-11.79,NaN,-6.52,-5.06,NaN,-3.02,-0.640000000000001,NaN,NaN,2.47,3.77,NaN,6.81,8.12,NaN,10.69
NaN,-7.95,-6.23,-5.15,-3.98,NaN,-0.719999999999999,-0.0199999999999996,NaN,2.57,4.07,5.06,NaN,8.26,8.66,NaN
-11.79,-7.81,-6.17,-5.14,-3.69,-3.01,-0.809999999999999,-0.120000000000001,NaN,2.29,4.02,5.08,7.04,NaN,9.04,NaN
-11.79,-7.45,-5.89,NaN,NaN,-3.11,-0.800000000000001,NaN,NaN,2.51,NaN,NaN,7.06,8.01,8.89,NaN
-11.79,-7.67,-5.97,-5.22,-4.02,-2.88,NaN,-0.300000000000001,NaN,2.56,3.87,NaN,7.05,8.17,9.02,10.69
-11.79,-7.61,-6.17,-5.21,-3.98,-2.97,-1.09,0.0399999999999991,NaN,2.4,3.98,NaN,7.26,8.09,9.01,10.69
-11.79,NaN,-6.2,NaN,-3.74,-2.71,-1.01,-0.349999999999998,0.879999999999999,2.62,4.02,5.03,6.73,8.15,NaN,10.69
NaN,-7.69,-6.36,-5.27,-3.81,-2.93,-0.93,NaN,NaN,2.4,3.78,4.81,6.74,8,8.55,10.69
-11.79,-7.54,-6.17,-5.11,NaN,-2.78,NaN,-0.0899999999999999,NaN,2.59,3.86,5.11,7.06,8.15,8.88,10.69
