-7.78,-6.41,NaN,NaN,-3.76,NaN,-0.870000000000001,0.00999999999999801,NaN,2.08,NaN,NaN,NaN,7,8.09,9.05
-7.57,NaN,-6.26,-4.11,NaN,-2.07,-0.739999999999998,0.0399999999999991,NaN,2.43,3.29,5,5.94,7.23,NaN,8.88
NaN,NaN,-6.05,NaN,-3.63,-1.72,-0.84,0.00999999999999801,1.06,2.29,3.83,NaN,5.62,7.18,8.17,NaN
NaN,-6.65,-5.93,-4.44,-3.38,-2.15,-0.960000000000001,0.0300000000000011,NaN,2.34,3.46,NaN,5.44,6.92,8.11,NaN
-8,-6.36,NaN,-4.46,-3.32,-2.17,-0.759999999999998,-0.0599999999999987,1.04,2.24,3.4,4.56,5.55,6.88,NaN,8.79
-7.92,-6.51,NaN,NaN,-3.79,-2.08,-0.719999999999999,NaN,0.940000000000001,2.29,4.16,4.9,5.66,6.99,8.06,NaN
NaN,NaN,-6.07,NaN,-3.63,-2.31,-0.879999999999999,0.0599999999999987,0.940000000000001,2.26,3.81,4.95,5.6,7.31,NaN,9.02
-8,-6.35,NaN,NaN,-3.75,-2.3,-0.719999999999999,0.0799999999999983,NaN,1.91,3.89,4.86,5.62,7.23,8.02,8.97
-7.8,-6.93,NaN,NaN,-3.77,-2.62,-0.73,0.129999999999999,NaN,2.11,3.68,4.83,5.53,6.87,8.06,8.83
-7.92,NaN,-5.93,-4.45,-3.69,-2.64,NaN,0.0199999999999996,NaN,2.29,NaN,4.98,NaN,7.04,8.11,9.01
-8,-6.64,-5.95,NaN,-3.75,-2.18,-0.84,NaN,0.940000000000001,2.34,NaN,4.7,NaN,7.02,8.1,NaN
NaN,-6.39,NaN,-4.77,-3.88,NaN,-0.609999999999999,0.0500000000000007,NaN,2.35,NaN,NaN,6.07,7.02,8.06,NaN
-7.58,-6.96,-5.95,NaN,-3.74,-2.13,-0.84,0.140000000000001,0.829999999999998,2.5,3.45,NaN,5.59,NaN,8.15,NaN
NaN,NaN,-6.1,NaN,-3.77,-2.52,-0.75,0.0399999999999991,0.899999999999999,2.13,3.99,NaN,5.71,7.25,7.99,9.06
NaN,-6.37,NaN,NaN,-3.74,-1.72,-1.05,0.149999999999999,NaN,2.43,4.06,NaN,5.59,7.14,8.09,8.9
-8,-6.57,NaN,-4.56,NaN,-2.14,-0.710000000000001,0.00999999999999801,NaN,2.38,NaN,4.9,5.64,7.09,NaN,9.06
-7.95,-6.67,-5.93,-4.48,NaN,-1.99,-0.809999999999999,0.0599999999999987,0.879999999999999,2.25,3.71,4.91,5.6,6.91,8.06,9.06
-8,-6.39,NaN,NaN,NaN,NaN,-0.739999999999998,0.120000000000001,1.02,2.38,3.92,4.93,5.62,6.74,8.32,NaN
-8,NaN,-6.24,NaN,-3.87,NaN,-1.02,-0.0399999999999991,NaN,2.42,3.56,5.07,5.64,7.27,8.15,9
-7.76,-6.55,NaN,-4.58,-3.54,-2.63,-0.669999999999998,0.0199999999999996,NaN,2.36,3.87,NaN,5.57,7.24,NaN,8.89
NaN,-6.78,-5.87,NaN,-3.77,-1.72,-0.620000000000001,0.109999999999999,NaN,2.22,4.08,NaN,5.48,6.86,8.04,8.94
-7.76,-6.67,NaN,NaN,-3.8,-2.09,NaN,0.169999999999998,0.93,2.3,NaN,NaN,5.55,6.99,NaN,8.71
-8,-6.67,NaN,NaN,-3.89,-2.08,-0.559999999999999,0.0799999999999983,0.960000000000001,2.27,3.61,5.03,5.49,7.16,8.13,NaN
NaN,NaN,-6.1,-4.52,NaN,NaN,-0.719999999999999,0.18,1.06,2.41,3.5,4.88,NaN,7.29,7.97,9.06
NaN,-6.94,NaN,NaN,-3.91,-2.03,-0.870000000000001,NaN,NaN,2.27,3.35,NaN,5.56,7.15,8.22,NaN
-7.6,-6.82,NaN,NaN,-3.71,NaN,-0.550000000000001,NaN,1.02,2.26,3.64,NaN,5.9,7.23,8.09,9.05
-7.57,-6.6,NaN,-4.49,NaN,-2,-0.969999999999999,0.0599999999999987,NaN,2.3,3.49,4.94,NaN,7.22,8.09,9.05
-8,NaN,-6.04,NaN,-3.6,-2.18,-0.91,0.140000000000001,NaN,1.97,3.46,4.97,NaN,6.91,8.11,9
NaN,-6.55,-5.86,NaN,NaN,NaN,-0.879999999999999,0.0999999999999979,NaN,2.37,3.8,NaN,5.51,7.01,8.35,NaN
NaN,NaN,-6.06,-4.56,-3.89,-1.99,-0.609999999999999,0.0599999999999987,NaN,2.25,NaN,4.45,NaN,6.77,8.1,8.97
-7.57,NaN,-6.05,-4.58,-4.03,NaN,-0.859999999999999,0.0199999999999996,NaN,2.23,NaN,4.69,5.82,6.89,NaN,8.9
-7.92,NaN,-6.03,-4.35,NaN,-2.14,NaN,-0.0300000000000011,NaN,2.29,NaN,NaN,5.6,7.17,8.16,NaN
-8,NaN,-6.21,NaN,NaN,-2.13,-0.759999999999998,NaN,0.82,2.15,4.06,4.86,5.66,6.68,8.15,NaN
NaN,-7.03,-5.9,-4.58,NaN,-2.14,-0.719999999999999,0.0599999999999987,NaN,1.88,3.7,NaN,5.67,7.2,8.09,NaN
-8,-6.5,NaN,-4.43,NaN,-2.11,NaN,0.129999999999999,NaN,2.41,3.77,NaN,5.51,7,8.07,9.02
-8,NaN,-6.27,NaN,-3.82,-2.24,-0.710000000000001,NaN,0.969999999999999,2.45,NaN,NaN,5.61,7.03,8.11,NaN
-8,NaN,-5.97,-4.44,NaN,-2.01,-0.780000000000001,-0.0500000000000007,1.14,2.34,3.86,4.92,NaN,6.88,8.39,NaN
NaN,-6.85,NaN,-4.36,-3.47,-2.06,-0.91,NaN,NaN,1.96,4.17,NaN,5.64,7.2,8.2,NaN
-8,NaN,-5.9,NaN,-3.71,-2.3,-0.940000000000001,NaN,0.890000000000001,2.33,NaN,4.68,5.53,7,8.07,9.06
-7.93,-6.65,-6.06,-4.63,-3.89,-1.79,-0.73,NaN,NaN,2.4,3.7,4.95,5.58,7.14,8.1,NaN
NaN,NaN,-6.02,-4.4,-3.66,-2.34,-0.82,0.300000000000001,0.800000000000001,2.07,NaN,4.51,5.48,6.67,8.13,8.97
NaN,-6.85,NaN,NaN,-3.84,NaN,-0.57,NaN,NaN,2.3,3.96,4.98,NaN,7.33,8.09,9
-7.76,-6.68,NaN,NaN,-3.52,-2.1,-0.789999999999999,0.18,NaN,2.3,3.96,4.8,5.77,7.01,8.12,NaN
-8,NaN,-6.05,-4.57,-3.7,-2.29,-0.829999999999998,0.0199999999999996,NaN,2.35,4.06,4.95,NaN,7.01,8.29,NaN
NaN,-6.64,-5.91,NaN,-3.74,-2.3,-0.68,-0.0199999999999996,0.949999999999999,2.3,4.2,NaN,5.74,7.25,8.2,9.01
NaN,-6.8,-5.79,-4.6,NaN,-2.15,-0.77,0.140000000000001,NaN,2.48,3.65,NaN,5.62,6.86,8.19,9.01
-8,NaN,-5.83,NaN,-3.72,-2.2,-1.02,0.18,NaN,2.23,3.34,5.02,NaN,7.06,8.18,NaN
NaN,-6.87,-6.31,NaN,-3.81,-2.12,NaN,0.169999999999998,NaN,2.51,3.53,5.03,5.57,7.23,8.2,9.05
-7.57,-6.79,NaN,NaN,-3.65,-2.14,-0.829999999999998,0.0899999999999999,NaN,2.36,NaN,4.79,NaN,6.59,8.18,NaN
NaN,NaN,-6.16,NaN,-3.84,-2.22,-0.75,-0.00999999999999801,NaN,2.21,3.75,NaN,5.81,7.11,NaN,NaN
-7.92,NaN,-6.02,NaN,-3.8,-1.98,-0.870000000000001,0.109999999999999,0.879999999999999,2.26,4.06,NaN,5.6,6.94,8.13,8.96
NaN,-6.89,-6.07,-4.53,-3.45,-2.03,NaN,0.18,0.989999999999998,2.25,3.72,4.77,NaN,6.9,8.16,9.03
-7.95,-6.91,-5.92,NaN,-3.51,-2.66,-0.690000000000001,0.0599999999999987,0.960000000000001,2.26,3.47,NaN,5.35,6.94,8.07,NaN
-7.95,NaN,-6.22,-4.34,-3.63,-2.19,NaN,0.169999999999998,0.879999999999999,2.2,NaN,5.02,5.53,7.2,NaN,8.9
-7.56,-6.59,NaN,-4.13,NaN,-1.85,-0.870000000000001,-0.0300000000000011,NaN,2.52,NaN,NaN,5.47,6.89,NaN,8.8
NaN,NaN,-6.07,NaN,-3.81,-2.43,-0.640000000000001,0.00999999999999801,NaN,2.12,3.98,4.96,5.56,NaN,NaN,8.69
NaN,-6.38,NaN,NaN,NaN,-2.63,NaN,0.0999999999999979,0.91,2.35,3.91,4.89,5.92,7.2,8.04,9.01
-8,-6.59,NaN,NaN,-4.05,-2.08,-0.669999999999998,0.120000000000001,NaN,2.31,3.56,NaN,5.5,7.08,8.06,9.06
-7.57,NaN,-5.9,NaN,-3.63,-2.06,-0.870000000000001,0.0300000000000011,NaN,2.32,NaN,NaN,NaN,6.86,8.09,8.97
-7.56,-6.66,NaN,NaN,-3.82,-2.27,-0.66,0.16,NaN,2.27,4.07,NaN,NaN,7.23,8.19,NaN
NaN,-6.36,-5.87,NaN,-3.7,-2.21,-0.789999999999999,0.00999999999999801,0.91,2.27,3.39,NaN,5.59,6.78,8.19,8.9
-7.76,-6.96,-5.81,NaN,-3.55,-2.02,-0.879999999999999,0.199999999999999,1.11,2.33,4.06,NaN,NaN,7.18,8.05,9.06
-7.93,NaN,-5.94,NaN,-3.63,-2.09,-0.949999999999999,0.0500000000000007,NaN,2.66,3.74,NaN,5.49,7.1,7.93,8.9
-7.8,-6.61,NaN,-4.44,NaN,NaN,-0.879999999999999,0.0599999999999987,NaN,2.38,3.78,NaN,5.94,7.07,8.26,NaN
-8,-6.53,NaN,-4.52,-3.87,NaN,NaN,NaN,NaN,2.47,NaN,NaN,5.6,7.23,8.05,9.06
-7.57,NaN,-5.89,-4.59,-3.71,-2.42,-0.759999999999998,0.149999999999999,NaN,2.22,3.86,NaN,5.89,7.24,8.16,NaN
-8,-6.5,NaN,-4.44,NaN,NaN,-0.919999999999998,0.0799999999999983,0.899999999999999,2.44,3.45,4.81,NaN,7.25,7.98,9.06
-7.96,NaN,-6.03,NaN,-3.75,-2.07,NaN,0.23,0.969999999999999,2.18,4.12,NaN,5.55,7.32,8.2,9.02
NaN,-7.06,-6.12,-4.47,-3.94,NaN,-0.890000000000001,0.0500000000000007,1.05,2.41,3.7,NaN,5.59,7,8.14,8.95
NaN,-6.72,-6.19,NaN,-3.9,-2.09,-0.919999999999998,0.109999999999999,0.93,2.47,3.91,4.85,5.79,6.89,7.92,8.9
-7.93,-6.98,-5.85,-4.53,NaN,-2.17,-0.649999999999999,-0.0500000000000007,NaN,2.3,3.78,4.87,5.55,6.7,NaN,8.65
-8,-6.38,NaN,-4.53,NaN,-2.12,-0.890000000000001,0.0999999999999979,0.940000000000001,2.33,4.17,4.98,NaN,7.03,8.05,NaN
-8,NaN,-6.06,-4.13,NaN,-2.09,NaN,0.0899999999999999,1.04,2.33,3.51,NaN,5.36,6.76,8.08,8.97
NaN,-6.44,NaN,-4.44,-3.58,-2.13,-0.870000000000001,0.16,0.890000000000001,2.02,NaN,5.02,NaN,6.77,8.15,NaN
NaN,-6.79,-5.96,NaN,-3.74,-2.21,NaN,0.0899999999999999,1.03,2.48,3.76,NaN,5.52,7.07,8.18,8.97
NaN,-6.74,NaN,NaN,-3.62,-2.54,-0.91,-0.0700000000000003,NaN,2.42,3.67,4.94,5.55,7.14,8.1,8.95
-7.92,-6.72,-6.08,NaN,-3.83,-2.38,-0.75,-0.0300000000000011,NaN,1.99,3.64,4.88,5.61,7.21,8.01,9.01
NaN,-6.85,-6.26,-4.52,-3.82,-2.52,-0.870000000000001,NaN,NaN,2.34,3.3,NaN,5.47,6.56,NaN,8.72
NaN,NaN,-6.22,NaN,-3.97,-2.16,-0.75,0.149999999999999,NaN,2.24,3.34,4.99,5.51,7.21,7.94,8.71
-8,NaN,-6.08,NaN,-3.93,-2.18,-0.669999999999998,0.0799999999999983,NaN,2.24,3.69,NaN,5.71,7.14,8.12,NaN
-7.53,-6.58,NaN,NaN,-3.36,-2.1,-0.66,0.129999999999999,NaN,2.14,4.23,4.99,NaN,7.2,8.11,8.9
-8,NaN,-5.95,NaN,-3.78,-1.75,-0.859999999999999,0.129999999999999,0.800000000000001,2.18,3.82,4.88,5.86,NaN,8.03,NaN
-8,-7.03,-6,NaN,-3.94,-2.26,-0.739999999999998,-0.219999999999999,0.91,2.43,3.66,4.93,NaN,7.36,8.18,9
NaN,-6.7,NaN,NaN,NaN,NaN,-0.620000000000001,-0.0199999999999996,NaN,NaN,NaN,4.57,5.53,7.27,8.08,9.05
-7.96,-6.53,-5.93,NaN,-3.87,-1.82,-0.940000000000001,0.0700000000000003,NaN,2.3,NaN,NaN,5.49,6.91,8.19,NaN
-8,-6.43,-5.86,NaN,-3.71,-2.17,-0.84,0.109999999999999,NaN,2.23,NaN,4.94,NaN,7.09,8.07,9.06
-7.49,-6.94,-5.86,NaN,-3.58,NaN,-0.640000000000001,0.0799999999999983,0.91,2.3,3.7,NaN,5.42,7.21,8.18,8.81
NaN,-6.82,-6.02,NaN,-4,-2.13,-0.829999999999998,0.140000000000001,0.949999999999999,2.28,3.36,NaN,5.58,7.19,8.05,8.98
NaN,-6.94,-5.94,-4.51,-3.57,-2.25,-0.899999999999999,-0.0399999999999991,1.05,2.47,3.45,NaN,5.55,7.02,8.15,NaN
-8,NaN,-5.94,-4.85,-3.33,-2.05,-0.82,0.0700000000000003,0.739999999999998,1.84,3.62,4.49,5.95,7.01,8.11,NaN
NaN,NaN,-6.22,NaN,-3.87,-2.18,-0.77,0,1.04,2.31,3.64,NaN,5.73,6.77,8.08,9.05
-7.66,-6.67,NaN,-4.65,-3.67,-2.47,-0.859999999999999,NaN,NaN,2.54,3.76,NaN,NaN,6.99,8.47,9.05
-7.8,NaN,-6.16,-4.41,-3.95,-2.16,NaN,NaN,NaN,2.49,4.05,NaN,NaN,7.08,8.11,8.78
NaN,-6.76,-5.9,-4.57,NaN,-2.24,-0.849999999999998,0.0899999999999999,1.04,2.28,3.76,5,5.57,6.98,8.27,NaN
-7.6,-6.73,-5.92,-4.46,NaN,-2.08,-0.940000000000001,0.190000000000001,1.09,2.21,4.17,4.9,5.59,7.02,8.22,NaN
NaN,-6.41,-5.98,-4.59,-3.79,NaN,-0.93,0.0199999999999996,NaN,1.99,3.64,NaN,5.6,7.22,8.21,8.94
-8,NaN,-6.03,NaN,-3.65,-2.26,-0.719999999999999,NaN,0.960000000000001,2.27,3.53,NaN,NaN,6.88,8.07,8.97
NaN,NaN,-5.95,NaN,-3.81,-2.13,-0.579999999999998,0.210000000000001,NaN,2.32,3.41,4.9,5.79,NaN,8.12,NaN
-7.93,NaN,-6.13,-4.56,-3.86,-2.19,-0.719999999999999,0.0500000000000007,NaN,2.22,3.66,4.77,NaN,6.9,8.08,NaN
NaN,-6.93,-5.85,NaN,NaN,-2.63,NaN,NaN,0.91,2.21,4.08,NaN,5.6,7.23,NaN,9.02
NaN,-6.53,NaN,NaN,NaN,NaN,NaN,-0.0599999999999987,NaN,2.31,3.84,NaN,5.65,7.08,8.36,9.05
-7.89,-6.7,-6.01,NaN,-3.77,-2.08,-0.75,0.0500000000000007,NaN,1.89,NaN,NaN,NaN,7.19,8.1,9.05
-8,-6.57,NaN,-4.73,-3.63,-2.09,-0.789999999999999,0.0199999999999996,0.960000000000001,2.47,NaN,4.76,NaN,6.76,8.01,8.98
NaN,-6.64,NaN,-4.56,NaN,-1.93,-0.640000000000001,0.0899999999999999,NaN,1.92,3.72,4.9,5.68,7.25,8,8.98
-8,NaN,-5.99,NaN,-3.74,-2.07,-0.829999999999998,-0.0599999999999987,NaN,2.17,3.63,NaN,6.07,7.05,8.03,9.06
