-11.54,-9.09,-7.87,-6.8,NaN,-5.26,-4.39,-3.27,NaN,-1.22,0,NaN,2.34,3.22,5,6.64,7.39,9.75,11.03,NaN,18.97
-11.54,NaN,-8.04,NaN,-6.02,-5.27,-4.31,-3.37,-2.37,NaN,0,1.48,2.28,3.29,5.22,6.67,8.1,9.54,11.03,NaN,NaN
-11.54,NaN,-8.41,-6.73,-6.08,-5.33,-4.28,-3.46,NaN,NaN,-0.0500000000000007,NaN,2.42,3.24,5.27,6.78,NaN,9.65,11.03,12.4,18.97
NaN,NaN,-7.96,NaN,-6.03,-5.37,-4.3,-3.41,-2.51,NaN,-0.0799999999999983,NaN,2.36,3.17,5.19,6.67,7.91,9.71,NaN,12.4,NaN
-11.54,NaN,-7.9,-6.72,NaN,-5.29,-4.4,-3.51,NaN,NaN,-0.0500000000000007,NaN,2.38,NaN,5.2,7.22,NaN,9.45,11.07,12.17,18.97
-11.54,-9.05,-8.11,NaN,-6.02,-5.31,NaN,-3.51,NaN,NaN,-0.18,NaN,2.61,3.8,5.21,6.98,NaN,9.29,11.03,12.4,18.97
NaN,NaN,-8.29,NaN,-6.14,-5.37,-4.24,NaN,NaN,NaN,-0.0199999999999996,NaN,2.27,2.98,5.24,NaN,NaN,9.9,11.43,11.92,18.97
-11.54,NaN,-8.41,NaN,-5.92,-5.18,-4.45,-3.37,NaN,NaN,-0.140000000000001,NaN,2.42,NaN,5.24,6.63,7.9,NaN,NaN,NaN,18.97
-11.54,-9.09,NaN,NaN,-6.05,-5.24,-4.35,NaN,-2.48,-1.18,-0.0399999999999991,NaN,2.24,3.08,5.18,6.92,7.8,9.7,NaN,NaN,18.97
-11.54,-9.05,-7.86,-6.73,NaN,-5.21,-4.35,-3.16,NaN,-1.14,-0.0500000000000007,NaN,NaN,3.15,5.15,6.83,NaN,9.48,11.43,11.92,18.97
-11.54,NaN,-7.87,NaN,-6.14,-5.34,-4.3,NaN,-2.71,NaN,-0.00999999999999801,NaN,NaN,3.22,5.21,6.55,NaN,9.38,NaN,12.4,18.97
NaN,-9.05,-8.3,-6.83,-5.96,-5.36,-4.38,-3.41,NaN,NaN,-0.120000000000001,NaN,2.34,3.32,5.13,6.73,7.89,9.9,11.21,11.92,NaN
-11.54,NaN,-8.46,NaN,-6.07,-5.23,-4.35,-3.26,NaN,NaN,-0.129999999999999,NaN,2.25,3.14,5.14,6.56,8,9.96,11.43,11.92,NaN
NaN,NaN,-7.96,NaN,-6.04,-5.38,-4.32,-3.37,NaN,-1,-0.0399999999999991,1.43,NaN,3.08,5.08,6.41,NaN,9.95,11.03,12.4,18.97
-11.54,-9.08,NaN,-6.78,-6.13,-5.24,-4.23,NaN,NaN,NaN,0,NaN,2.4,NaN,5.18,6.85,7.87,9.84,11.03,NaN,18.97
-11.54,-9.08,-7.82,-6.78,-6.05,-5.11,-4.34,-3.39,-2.36,-1.07,-0.0700000000000003,NaN,NaN,3.12,5.13,6.52,8.01,10,11.03,12.4,18.97
NaN,-9.08,-7.9,-6.75,-6.2,-5.37,-4.28,NaN,-2.71,NaN,-0.0899999999999999,1.52,2.4,3.62,5.22,6.81,7.93,9.85,11.21,12.17,18.97
NaN,NaN,-7.82,NaN,-6.03,-5.44,-4.3,-3.41,NaN,-1,0,NaN,NaN,3.17,NaN,6.62,7.89,10.01,NaN,12.4,18.97
-11.54,-9.09,NaN,NaN,-6.15,NaN,-4.22,NaN,-2.69,NaN,-0.0399999999999991,NaN,2.23,3.45,5.13,6.55,NaN,9.87,11.43,12.33,18.97
NaN,-9.05,-8.12,-6.78,NaN,-5.28,-4.4,-3.45,-2.48,NaN,-0.169999999999998,1.52,NaN,3.12,5.1,7.17,7.82,10.1,11.43,12.17,NaN
NaN,-9.08,-7.9,-6.78,NaN,-5.32,-4.34,-3.4,-2.4,NaN,0.0199999999999996,NaN,NaN,3.11,5.34,6.6,7.83,9.27,NaN,NaN,18.97
NaN,-9.05,-7.9,-6.68,-6.14,-5.36,-4.25,NaN,-2.52,NaN,0,NaN,NaN,3.39,5.37,7.08,7.84,9.94,11.03,NaN,18.97
-11.54,NaN,-7.96,-6.69,NaN,-5.28,-4.37,NaN,-2.6,NaN,-0.0899999999999999,NaN,2.29,3.55,5.24,6.62,7.84,10.09,11.03,12.4,18.97
NaN,-9.09,-7.96,-6.75,-6.13,-5.33,-4.32,NaN,-2.76,NaN,-0.00999999999999801,1.55,2.17,3.48,5.08,6.76,7.93,9.84,NaN,12.4,18.97
-11.54,NaN,-8.39,-6.72,-6.02,-5.29,-4.35,NaN,NaN,NaN,-0.0999999999999979,1.48,NaN,3.39,5.35,6.72,NaN,9.81,NaN,NaN,18.97
NaN,NaN,-7.86,-6.67,-6.03,-5.36,-4.28,-3.41,NaN,NaN,-0.0700000000000003,NaN,2.35,NaN,5.25,6.59,8.07,9.95,11.43,12,18.97
-11.54,NaN,-8.46,-6.78,-5.98,-5.2,-4.39,-3.4,-2.55,NaN,-0.0899999999999999,NaN,2.33,3.33,5.59,7,7.74,9.21,NaN,12.4,NaN
-11.54,NaN,-8.29,NaN,-6.06,-5.23,-4.24,-3.42,-2.53,NaN,0.0300000000000011,NaN,2.25,3.12,5.28,6.79,7.83,9.54,11.43,11.92,18.97
-11.54,-9.08,NaN,-6.82,-6.14,-5.23,-4.33,-3.41,-2.41,NaN,0.0799999999999983,NaN,2.26,3.02,5.21,6.91,7.98,10.03,NaN,NaN,NaN
NaN,NaN,-8.36,-6.73,NaN,-5.33,-4.34,-3.26,NaN,NaN,-0.0799999999999983,NaN,2.4,3.22,5.23,6.69,7.85,9.51,11.32,12,NaN
-11.54,-9.09,-7.79,-6.73,NaN,-5.3,-4.31,-3.37,NaN,NaN,0.0300000000000011,NaN,2.4,3.45,5.02,6.7,7.86,9.72,11.06,12.17,18.97
-11.54,-9.09,-7.79,NaN,-6.05,-5.36,-4.28,-3.39,-2.88,NaN,-0.00999999999999801,1.39,2.35,3.07,5.3,6.81,7.91,9.8,11.32,11.92,18.97
-11.54,-9.09,-7.79,-6.8,NaN,-5.14,-4.25,NaN,-2.69,NaN,0.00999999999999801,NaN,2.32,3,5.17,7,NaN,9.56,11.43,11.92,NaN
NaN,NaN,-7.81,-6.71,NaN,-5.36,-4.2,NaN,-2.51,NaN,0.0199999999999996,NaN,2.4,3.71,5.18,6.75,7.77,9.48,11.03,12.4,18.97
-11.54,-9.09,-7.96,-6.77,-5.93,-5.28,-4.36,-3.39,NaN,NaN,-0.0300000000000011,NaN,2.47,3.62,5.13,6.6,7.8,9.95,11.11,12.17,18.97
-11.54,-9.09,-7.96,-6.78,-6.18,-5.18,-4.31,-3.44,NaN,-1.1,0.0999999999999979,NaN,2.49,3.38,5.21,6.69,NaN,9.53,11.03,12.4,18.97
-11.54,-9.08,-8.2,-6.84,NaN,-5.12,-4.35,-3.34,-2.52,-1.03,0.109999999999999,NaN,2.4,3.67,5.25,6.8,8.04,9.92,11.32,11.92,18.97
NaN,-9.09,-7.79,-6.74,NaN,-5.39,-4.38,-3.45,NaN,-0.859999999999999,0.0899999999999999,NaN,2.33,3.6,5.17,6.62,NaN,9.92,NaN,12.4,18.97
-11.54,-9.09,-8.12,NaN,-6.11,-5.13,-4.34,NaN,-2.63,NaN,-0.00999999999999801,NaN,NaN,3.33,4.79,6.59,7.88,9.38,11.28,11.97,18.97
NaN,-9.09,-7.92,-6.73,NaN,-5.31,-4.33,NaN,NaN,NaN,-0.0399999999999991,NaN,2.32,3.63,5.27,6.68,7.88,9.98,11.03,12.4,18.97
NaN,-9.09,-8.12,-6.79,-6.18,-5.31,-4.21,NaN,NaN,NaN,-0.0300000000000011,NaN,NaN,3.52,5.05,6.55,8.17,9.77,11.43,11.92,NaN
