iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
30,29,23,16,19,18,18,20,19,15,26
27,27,24,17,20,20,14,20,20,15,21
24,25,25,19,16,18,19,20,19,17,20
31,30,24,19,19,21,19,19,21,15,19
31,27,23,18,17,21,21,21,19,18,19
29,27,22,21,17,17,20,18,18,16,20
30,30,27,21,22,19,19,17,18,18,23
28,29,25,17,19,16,21,20,17,14,19
28,28,23,16,20,19,21,20,22,16,20
31,26,22,18,21,17,23,22,20,16,22
31,31,25,19,20,20,20,18,21,17,21
32,30,20,21,20,19,20,20,20,17,18
28,27,25,17,18,18,22,19,19,18,22
27,27,21,19,22,21,19,19,19,20,25
31,25,19,20,21,20,22,16,20,17,18
29,30,26,19,18,21,17,18,14,14,18
28,27,21,21,19,19,19,17,16,16,23
30,30,25,18,21,20,17,22,21,15,18
33,27,23,16,17,17,18,19,17,17,23
30,28,24,14,21,20,22,19,20,16,23
31,28,23,18,20,19,15,23,17,16,16
28,26,24,21,19,18,24,20,17,18,25
31,24,24,18,21,22,18,20,16,16,20
29,32,22,19,22,20,19,18,18,17,22
31,24,24,18,19,16,18,19,18,18,22
28,27,26,19,20,17,17,20,21,17,22
29,25,22,18,18,19,18,17,19,18,19
29,26,21,23,19,21,18,20,19,17,20
29,23,20,18,19,20,18,18,20,17,18
31,23,24,18,18,21,15,22,18,15,24
29,28,25,20,18,18,18,19,22,18,23
26,26,25,18,20,18,18,16,21,15,19
28,23,22,19,22,22,19,19,17,16,21
31,24,22,18,16,18,22,15,17,18,20
28,29,30,19,21,21,17,18,18,15,23
31,27,27,17,22,21,18,21,15,17,23
27,26,24,17,14,21,18,18,17,15,23
31,30,26,22,21,18,19,22,19,16,21
29,28,26,20,22,20,21,16,19,16,23
30,26,22,20,20,20,20,21,20,18,21
28,22,25,17,19,16,19,20,21,16,18
31,27,24,19,21,16,21,19,20,13,22
28,30,20,17,24,19,16,17,22,18,19
28,29,23,16,18,19,18,22,17,15,23
28,26,20,19,17,22,20,19,16,16,23
