-13.07,-12.24,-10.63,-8.12,-7.01,-5.65,NaN,-2.88,NaN,0.16,1.54,3.04,NaN,5.13,NaN,8.26,9.26,10.75,11.59,14.15
-12.97,NaN,-10.58,NaN,-6.55,-5.58,-4.27,-2.66,-1.97,0.25,1.62,3,4,5,6.82,8.52,NaN,10.96,NaN,14.15
-13.06,-12.14,-10.4,-8.26,-6.73,-5.31,-4.77,-2.96,-2.13,0.0999999999999979,1.33,NaN,3.78,5.05,6.86,8.33,9.21,10.83,11.82,13.92
-12.68,-12.38,NaN,NaN,-7.27,-5.7,NaN,-3.34,NaN,0.0999999999999979,1.72,NaN,3.8,4.66,6.8,NaN,9.42,10.87,11.82,14.08
NaN,-12.54,-10.53,NaN,-6.59,-5.67,-4.37,-3.25,-1.83,0.120000000000001,1.39,3.05,3.82,5.1,6.72,8.34,9.34,10.82,11.87,14.15
-12.71,NaN,-10.61,-8.14,-6.55,-5.67,-4.32,-3.2,-1.84,0.0700000000000003,NaN,2.95,3.92,4.75,6.79,8.47,NaN,10.93,NaN,13.99
NaN,-12.37,NaN,NaN,NaN,-5.8,-4.16,-2.53,-1.99,0.0500000000000007,1.37,2.79,3.9,5.25,NaN,8.1,9.38,10.92,11.53,14.06
-12.87,-12.26,-10.64,-8.09,-6.72,-5.72,NaN,-3.07,-1.98,0.0700000000000003,NaN,3.04,3.82,4.86,6.69,NaN,9.65,10.91,11.89,13.92
NaN,-12.23,-10.62,NaN,-6.8,-5.73,-4.27,-2.92,-1.87,0.0700000000000003,1.67,NaN,3.82,4.83,6.86,NaN,9.46,10.87,NaN,NaN
-12.93,-12.23,NaN,NaN,-6.89,-5.78,NaN,-2.89,-1.88,0.0899999999999999,1.6,NaN,3.86,5.03,6.79,NaN,9.33,NaN,11.71,13.92
-12.93,NaN,-10.65,-8.46,-6.82,-5.8,-4.38,-3.44,-1.96,-0.0700000000000003,1.63,3.01,NaN,5.06,6.83,NaN,9.42,10.59,11.67,14.15
-13.13,-12.24,-10.64,NaN,-6.42,NaN,NaN,NaN,-2,0.169999999999998,1.67,3,3.94,4.84,6.76,NaN,9.32,10.82,11.95,13.92
-12.85,NaN,-10.67,-8.28,-6.97,-5.7,-4.64,-3.16,-1.89,0.0599999999999987,1.36,3.1,3.95,4.8,6.8,NaN,9.4,10.88,11.83,NaN
-12.85,NaN,-10.52,-8.15,-6.89,-5.67,-4.34,NaN,-1.82,0.00999999999999801,1.61,NaN,3.89,5.05,6.7,8.28,9.37,10.75,11.76,13.92
