-11.75,-10.08,-8.76,-7.67,-6.62,-5.8,-4.55,NaN,-2.88,-1.56,0.259999999999998,1.72,3.25,4.12,NaN,6.41,7.3,8.45,10.13,12.91,NaN,18.41
-11.68,NaN,-9.07,-7.72,-6.66,-5.62,-4.61,NaN,-2.87,-1.6,0.710000000000001,NaN,3.15,4.08,5.31,NaN,NaN,8.12,9.81,12.91,14.18,18.41
-11.67,-10.05,-9.02,-7.33,-6.85,-5.46,-4.65,-3.86,-2.94,-1.43,0.629999999999999,NaN,3.22,4.09,5.33,NaN,7.51,NaN,NaN,12.91,14.18,NaN
-11.38,-9.98,-9.04,-7.64,-6.85,-5.74,-4.6,NaN,-2.85,-1.58,NaN,1.38,3.34,4.34,5.12,6.24,NaN,8.09,NaN,NaN,14.18,NaN
-11.42,-10.01,-8.98,-7.58,NaN,-6.11,-4.77,-3.77,-2.89,-1.42,NaN,NaN,NaN,3.92,5.13,6.37,7.44,NaN,NaN,12.91,14.18,18.41
-11.36,-9.83,-9.02,-7.76,-6.61,-6.14,-4.54,NaN,-2.94,-1.46,0.509999999999998,NaN,3.5,NaN,5.03,6.37,7.34,NaN,NaN,NaN,14.18,18.41
-11.65,-10.05,-8.99,-7.62,-6.58,-6.12,-4.63,NaN,-2.94,-1.49,0.5,NaN,3.23,NaN,4.98,5.95,7.37,NaN,9.82,NaN,14.18,NaN
-11.59,-9.96,-8.98,-7.37,-6.67,-5.6,-4.64,NaN,-2.66,-1.49,0.530000000000001,NaN,3.34,4.08,NaN,5.9,7.42,8.27,NaN,12.91,NaN,18.41
-11.78,-10.01,-8.82,NaN,-6.99,-5.85,-4.62,NaN,-2.82,-1.55,NaN,1.6,NaN,4.1,5.2,6.26,7.34,NaN,10.23,NaN,NaN,18.41
-11.4,-9.88,-8.96,-7.68,NaN,-6.1,-4.74,NaN,-2.75,-1.52,0.649999999999999,1.53,3.37,4.45,5.33,6.29,7.34,NaN,NaN,12.91,14.18,18.41
-11.75,-10,-9.01,-7.69,-6.62,-5.96,-4.65,NaN,-2.96,-1.22,NaN,NaN,3.66,NaN,5.21,6.36,NaN,7.95,NaN,12.91,NaN,18.41
-11.69,NaN,-8.89,-7.6,-6.79,-6.06,-4.51,NaN,-2.56,-1.56,0.59,1.63,3.39,NaN,5.24,6.35,7.33,NaN,NaN,12.91,14.18,NaN
-11.69,-10.12,-9,NaN,-7.08,-5.93,-4.78,-3.77,-3.01,-1.39,0.690000000000001,NaN,3.34,4.05,5.26,NaN,7.33,8.38,NaN,12.91,NaN,18.41
-11.73,NaN,-8.93,NaN,-6.77,NaN,-4.61,NaN,-3.01,-1.35,0.739999999999998,NaN,3.38,4.24,5.34,NaN,7.51,NaN,10.04,NaN,NaN,18.41
-11.6,-9.89,-9.04,-7.53,-6.76,-5.84,-4.88,-4.08,-2.92,-1.49,NaN,1.39,3.48,NaN,5.32,6.04,7.37,8.5,9.78,NaN,14.18,NaN
-11.68,-10.01,-9.01,NaN,-6.76,-5.81,-4.63,NaN,-2.81,-1.48,NaN,1.58,3.45,4.13,5.22,6.19,7.42,8.31,9.56,12.91,14.18,18.41
-11.79,-10.1,-9.05,-7.65,-6.71,-5.6,-4.55,NaN,-2.82,-1.45,0.559999999999999,NaN,3.25,4.12,NaN,5.87,7.52,7.87,9.63,12.91,14.18,NaN
-11.64,-10.01,-9.05,-7.48,-6.57,-5.78,-4.7,NaN,-2.68,-1.49,0.66,NaN,2.99,4.12,5.21,6.25,7.39,NaN,9.51,NaN,14.18,18.41
-11.65,-9.98,NaN,-8.02,NaN,-6.21,-4.75,NaN,-2.91,-1.21,NaN,1.02,3.55,NaN,5.35,6.18,7.19,NaN,9.8,12.91,14.18,18.41
-11.74,-9.96,-9,-7.82,-6.67,-5.99,-4.73,-3.57,-2.81,-1.36,0.789999999999999,NaN,3.35,4.2,5.2,6.32,NaN,NaN,9.79,12.91,14.18,NaN
-11.73,-10.11,-8.98,-7.64,-6.83,-5.87,-4.62,-3.89,-2.88,-1.54,0.77,NaN,3.57,NaN,NaN,6.16,NaN,7.85,9.75,12.91,14.18,NaN
-11.52,-9.99,-8.82,-7.74,-6.67,NaN,-4.64,NaN,-2.97,-1.29,0.23,1.52,3.49,NaN,5.05,6.44,7.45,NaN,NaN,NaN,14.18,NaN
-11.74,-9.97,-9.17,-7.4,-6.7,-5.46,-4.67,NaN,-2.95,-1.5,0.68,NaN,3.25,4.34,5.26,6.24,7.47,NaN,NaN,NaN,14.18,NaN
-11.26,-10.12,-8.79,-7.58,NaN,-5.97,-4.96,-3.84,-2.83,-1.4,0.16,1.48,3.4,NaN,4.76,6.2,7.33,NaN,NaN,12.91,14.18,18.41
-11.79,NaN,-8.81,NaN,-6.77,-6.09,-4.51,NaN,-2.76,-1.48,0.239999999999998,NaN,3.39,NaN,5.23,NaN,7.37,8.28,9.8,NaN,14.18,18.41
-11.68,-10.04,-8.99,-7.8,-6.72,-5.48,-4.61,NaN,-2.93,-1.21,NaN,1.22,3.25,4.29,5.33,6.22,7.39,NaN,9.72,12.91,14.18,18.41
-11.31,-10.05,-8.96,-7.53,-6.67,-5.55,-4.66,NaN,-2.89,-1.35,0.82,NaN,3.43,4.03,5.15,6.11,7.44,7.99,NaN,12.91,14.18,NaN
