-13.3,-11.86,-10.3,-9.05,-8.11,NaN,-5.3,-4.79,-3.15,-0.989999999999998,0.0500000000000007,NaN,2.08,3.49,4.47,5.79,6.82,8.16,9.4,NaN,11.2,12.74,NaN
NaN,-11.86,NaN,NaN,-8.21,NaN,-5.33,-4.83,-3.57,NaN,0.0700000000000003,1.55,2.49,3.31,4.23,5.67,6.98,8.13,NaN,10.05,NaN,12.65,NaN
-13.3,-11.72,-10.3,-9.06,-8.35,NaN,-5.37,NaN,-3.58,NaN,0.140000000000001,NaN,2.23,3.48,4.17,5.49,6.83,8.05,9.3,NaN,11.2,12.44,13.95
-13.3,-11.86,-10.3,NaN,-8.41,-7.04,-5.33,NaN,-3.57,-1.08,-0.0500000000000007,1.6,2.59,3.52,4.64,5.59,6.8,7.99,9.35,NaN,11.2,12.61,13.95
-13.3,-11.83,-10.3,-9.04,NaN,NaN,-5.36,-4.78,-3.63,NaN,0.109999999999999,NaN,2.09,3.36,4.12,5.28,6.98,8,NaN,10.02,11.2,12.69,NaN
NaN,-11.58,NaN,NaN,-8.35,NaN,-5.39,-4.62,-3.44,NaN,0.0999999999999979,NaN,2.45,3.31,4.54,NaN,6.9,8.06,NaN,NaN,NaN,12.44,NaN
NaN,-11.79,-10.3,-8.97,-8.2,NaN,-5.44,NaN,-3.48,-1.18,0,1.39,2.58,NaN,NaN,NaN,6.96,8.18,9.43,NaN,11.2,12.66,NaN
NaN,-11.86,-10.3,-9.09,-8.18,NaN,NaN,-5.1,-3.28,NaN,-0.00999999999999801,NaN,2.49,3.51,4.18,5.46,6.93,7.98,NaN,NaN,11.2,12.45,13.95
NaN,-11.79,-10.3,-9.09,NaN,-7.17,-5.56,-4.74,-3.41,NaN,0.0399999999999991,NaN,NaN,3.1,4.17,5.27,6.87,8.22,9.35,NaN,NaN,12.78,13.95
-13.3,-11.58,NaN,NaN,-8.44,NaN,-5.43,-4.73,-3.48,-0.780000000000001,0,1.48,2.56,3.83,NaN,5.31,6.88,7.89,9.35,NaN,11.2,12.32,13.95
NaN,-11.86,NaN,NaN,NaN,-7.18,NaN,NaN,-3.58,-0.949999999999999,0.0399999999999991,NaN,2.38,3.43,4.39,5.65,6.97,8.13,NaN,NaN,11.2,12.66,NaN
NaN,-11.86,NaN,NaN,-8.17,NaN,-5.37,NaN,-3.7,-0.91,0.0300000000000011,1.56,NaN,3.18,3.99,5.65,6.79,8.06,9.36,9.97,11.2,12.28,13.95
NaN,-11.86,NaN,-9.19,-8.37,-7.15,-5.36,-4.76,-3.01,NaN,0.0500000000000007,1.38,2.36,3.5,3.86,5.72,6.71,8.01,9.41,NaN,11.2,12.44,13.95
-13.3,-11.58,-10.3,-9.01,-8.14,-6.85,NaN,-4.65,-3.52,NaN,0.0599999999999987,NaN,2.53,3.42,NaN,5.45,6.89,7.88,NaN,10,11.2,12.5,13.95
-13.3,-11.58,NaN,-8.97,NaN,NaN,NaN,NaN,-3.54,-0.940000000000001,0.0899999999999999,1.47,2.25,3.39,4.19,5.58,6.85,NaN,9.37,NaN,11.2,12.68,13.95
-13.3,-11.86,NaN,-8.95,-8.24,NaN,-5.85,NaN,-3,-1.04,0.0199999999999996,1.76,NaN,3.53,4.3,5.51,6.79,8.06,9.11,10.03,NaN,12.66,NaN
NaN,-11.58,NaN,NaN,-8.29,NaN,-5.57,NaN,-3.53,-0.960000000000001,-0.0300000000000011,NaN,2.86,NaN,4.04,5.58,6.72,8.02,NaN,10,NaN,12.78,13.95
NaN,-11.86,NaN,NaN,-8.23,-6.71,-5.38,NaN,-3.62,-0.870000000000001,0.0300000000000011,NaN,2.37,3.43,4.26,5.33,6.99,8.04,NaN,10.03,NaN,12.53,NaN
NaN,-11.72,-10.3,-9.09,-8.26,NaN,NaN,-4.72,-3.64,-0.759999999999998,0.210000000000001,1.46,2.68,3.29,4.19,5.64,NaN,8.3,9.41,NaN,11.2,12.61,13.95
-13.3,-11.79,NaN,-8.95,-8.3,NaN,NaN,-4.85,-3.68,-0.969999999999999,-0.0300000000000011,NaN,2.71,3.44,4.48,5.66,6.89,7.87,NaN,10.05,NaN,12.71,13.95
-13.3,-11.65,NaN,NaN,-8.2,NaN,-5.27,NaN,-3.33,-1.04,0.0500000000000007,NaN,2.46,3.48,NaN,5.44,6.84,7.93,NaN,10.05,NaN,12.61,NaN
-13.3,NaN,NaN,-8.87,-8.34,-6.51,NaN,-4.74,NaN,-0.870000000000001,0.0199999999999996,1.59,2.33,3.38,4.2,5.5,6.75,8.13,NaN,NaN,NaN,12.53,NaN
-13.3,-11.62,NaN,-8.95,-8.1,NaN,-5.46,NaN,-3.59,NaN,0.0300000000000011,NaN,NaN,3.41,NaN,5.76,NaN,7.93,9.4,NaN,11.2,12.52,13.95
NaN,-11.86,NaN,-9.09,-8.1,-7.13,-5.44,-4.64,-3.75,-0.859999999999999,0.0500000000000007,1.49,2.45,3.4,4.2,5.26,6.8,8.16,NaN,10.03,NaN,12.69,NaN
-13.3,-11.58,NaN,NaN,-8.44,NaN,-5.45,-4.34,-3.19,NaN,0.0500000000000007,1.87,NaN,3.4,4.12,5.42,7,8.13,9.34,NaN,11.2,12.61,13.95
-13.3,NaN,-10.3,-9.09,-8.17,NaN,-5.46,-4.67,-3.57,-1.01,0.0500000000000007,NaN,2.37,3.54,NaN,5.49,6.72,7.99,9.37,NaN,11.2,NaN,13.95
NaN,-11.58,-10.3,NaN,-8.37,NaN,-5.34,NaN,-3.15,NaN,-0.0899999999999999,1.41,2.52,3.48,4.49,5.99,6.75,8.24,NaN,NaN,NaN,12.61,NaN
-13.3,-11.72,-10.3,-9.05,NaN,-7.03,-5.34,-4.59,-3.48,-0.809999999999999,0.0500000000000007,NaN,2.53,3.63,4.34,5.33,6.91,8.08,9.3,NaN,NaN,12.53,13.95
NaN,-11.86,-10.3,-9.03,-8.16,-6.93,-5.43,NaN,-3.1,NaN,0,NaN,2.55,3.46,4.15,5.53,6.94,NaN,NaN,10.05,NaN,12.28,13.95
NaN,-11.72,NaN,NaN,-8.26,NaN,-5.44,-4.71,-3.53,NaN,0,1.53,2.43,3.29,NaN,5.41,6.77,8.13,9.43,NaN,11.2,12.76,13.95
NaN,-11.86,-10.3,-8.95,-8.27,NaN,-5.28,NaN,-3,NaN,0.0300000000000011,NaN,2.28,3.48,4.32,5.73,7.01,8.15,NaN,NaN,11.2,12.31,13.95
-13.3,-11.86,-10.3,-8.91,-8.47,NaN,-5.32,NaN,-3.44,NaN,0.0700000000000003,1.89,NaN,3.74,4.58,5.57,6.96,7.99,9.31,NaN,11.2,12.44,13.95
NaN,-11.58,-10.3,-9.06,-8.18,NaN,NaN,-4.78,-3.34,-0.899999999999999,-0.0500000000000007,NaN,2.39,3.54,NaN,5.26,6.8,8.18,NaN,NaN,11.2,12.53,NaN
-13.3,-11.58,-10.3,-8.86,NaN,NaN,NaN,-4.78,-3.35,-0.93,0.0300000000000011,1.5,2.63,3.3,4.36,5.54,6.78,8.15,9.51,10,11.2,NaN,NaN
-13.3,-11.86,NaN,-9.02,-8.1,-6.92,-5.36,-4.66,-3.58,NaN,0.0199999999999996,1.59,2.58,3.34,4.14,5.53,6.96,8.11,9.41,NaN,11.2,12.53,13.95
NaN,-11.58,-10.3,-9.1,-8.05,-6.54,-5.5,NaN,-3.39,NaN,0.0300000000000011,NaN,2.23,3.64,4.16,5.67,6.83,8.05,NaN,10.05,NaN,12.61,NaN
-13.3,-11.86,-10.3,-8.97,-7.74,NaN,-5.38,-4.67,-3.54,NaN,0.00999999999999801,NaN,2.29,3.42,4.3,5.54,6.79,8.07,NaN,NaN,NaN,12.3,NaN
