iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
30,25,23,23,21,20,13,13,12,11,14
33,25,24,18,21,16,14,12,13,14,10
30,27,22,24,20,18,14,13,15,14,13
32,25,24,19,16,19,15,17,15,10,11
34,28,24,23,22,18,13,12,12,14,12
33,25,21,21,21,15,14,13,13,12,11
32,24,22,22,18,19,14,13,16,10,15
33,29,23,19,20,18,15,14,14,14,13
30,23,21,19,19,19,14,14,15,12,10
29,28,26,21,24,17,14,12,14,10,15
30,27,22,22,19,19,15,15,18,13,13
30,25,24,17,18,17,14,14,11,14,13
30,24,22,18,18,18,14,16,15,10,12
31,23,24,17,16,16,13,11,15,13,12
31,26,22,20,18,19,15,16,14,14,12
31,25,25,25,21,17,15,15,11,11,11
30,26,22,19,21,18,13,13,12,14,12
31,23,21,20,20,17,14,14,15,14,14
31,29,21,18,20,15,13,15,15,14,13
31,23,22,23,18,17,16,15,15,12,13
30,23,19,22,23,19,13,14,13,12,13
28,24,19,23,22,18,12,15,15,14,12
34,24,23,23,20,19,16,15,15,13,12
29,24,25,20,21,21,12,12,13,13,12
29,20,23,21,17,20,17,14,13,11,12
32,25,23,20,21,16,13,13,12,13,14
28,25,23,20,19,17,16,13,15,15,13
34,26,23,24,18,17,14,15,14,15,14
30,21,19,21,18,19,10,14,15,13,12
26,25,23,17,19,17,16,13,12,13,10
27,22,26,24,19,20,12,12,15,14,11
30,22,23,22,19,18,15,15,14,13,10
27,26,24,18,20,20,14,14,13,15,11
32,22,22,21,20,19,13,14,14,12,13
30,25,25,21,22,17,16,14,14,12,11
33,22,22,22,20,18,14,14,13,13,12
31,23,24,17,18,22,13,15,15,13,10
34,23,24,20,21,20,15,14,16,15,13
30,24,24,22,21,17,14,12,15,12,11
31,22,24,20,20,19,15,10,15,9,13
30,24,24,21,18,17,14,14,12,13,13
27,30,21,23,21,17,17,15,13,12,12
31,26,24,25,20,19,14,16,16,13,13
30,23,22,21,20,18,14,12,12,14,11
30,24,24,24,21,16,13,13,13,14,12
28,27,24,22,21,18,14,10,16,11,13
28,25,24,22,20,18,14,15,13,14,14
33,25,24,22,18,17,17,11,10,14,14
32,25,25,19,22,19,13,14,15,14,12
32,26,26,22,20,19,16,12,12,13,12
26,27,20,17,20,17,15,15,14,14,12
33,26,24,20,20,20,14,16,12,12,14
28,28,26,22,20,20,13,15,15,13,13
