-13.52,-12.41,-9.99,NaN,-7.79,NaN,-5.84,-5.11,-3.05,-1.44,0.0199999999999996,NaN,1.91,NaN,3.81,4.66,6.79,NaN,9.65,10.77,NaN,14.15
-13.52,-12.41,-9.8,NaN,NaN,-6.76,-5.81,-5.01,NaN,-1.4,0.460000000000001,NaN,NaN,NaN,3.83,5.24,6.76,NaN,9.54,10.86,NaN,14.15
-13.52,NaN,-10.11,-8.88,-7.42,NaN,-5.43,-4.7,NaN,-1.99,0.559999999999999,NaN,2.31,2.85,NaN,5.1,7.13,NaN,NaN,11.06,12,14.15
-13.52,NaN,-10.1,NaN,-7.4,NaN,-5.55,-4.75,-3.04,-1.8,0.66,NaN,1.64,NaN,NaN,4.59,NaN,8.2,9.51,10.84,NaN,14.15
NaN,-12.41,-10.08,-8.73,-7.61,-6.72,-5.68,-4.32,-3,-1.88,0.759999999999998,NaN,2.21,NaN,3.77,4.62,6.81,8.42,9.3,10.77,NaN,14.15
-13.52,NaN,-10.18,-8.99,NaN,NaN,-5.77,-4.64,-3.1,-1.98,0.449999999999999,NaN,2.21,NaN,NaN,4.6,6.65,8.25,NaN,10.78,11.93,14.15
-13.52,-12.41,-10.24,NaN,NaN,-6.55,-5.69,-4.84,-3.01,-1.57,0.0399999999999991,NaN,1.91,NaN,3.84,4.88,7.23,8.28,NaN,10.86,NaN,NaN
NaN,NaN,-10.13,NaN,-7.76,NaN,NaN,NaN,-3.06,-1.95,-0.0199999999999996,1.12,2.18,NaN,3.77,5.02,6.73,NaN,9.34,10.48,NaN,14.15
NaN,NaN,-10.18,-9.21,NaN,-6.8,-5.48,-4.54,-3.07,-1.91,0.489999999999998,NaN,1.78,NaN,NaN,4.58,6.85,8.25,9.19,11.01,NaN,14.15
-13.52,NaN,-10.19,-9.04,-7.46,-6.5,NaN,-4.77,-2.95,-1.94,0.390000000000001,1.12,NaN,NaN,3.77,4.71,6.6,8.22,9.55,10.86,NaN,14.15
NaN,-12.41,-10.04,NaN,-7.26,-6.41,-5.43,-4.76,NaN,-2.06,0.609999999999999,1.56,NaN,NaN,NaN,4.68,6.77,8.19,NaN,10.65,12,14.15
NaN,NaN,-10.18,-9.23,-7.14,NaN,-5.82,-4.78,NaN,-2.28,0.390000000000001,1.16,NaN,NaN,NaN,4.51,NaN,8.31,9.59,10.76,12,14.15
-13.52,NaN,-10.1,-9.04,NaN,-6.35,-5.38,-4.33,-2.98,-1.44,0.109999999999999,1.22,NaN,2.96,NaN,4.8,6.51,8.11,9.46,10.76,11.91,14.15
-13.52,-12.41,-9.95,-8.9,-7.57,NaN,-5.71,-4.73,-2.91,-1.55,0.640000000000001,NaN,NaN,NaN,3.9,4.59,6.79,8.32,NaN,10.86,11.93,NaN
-13.52,NaN,NaN,-9.4,NaN,-6.49,-5.79,-4.77,NaN,NaN,0.390000000000001,NaN,2.06,NaN,NaN,5.04,6.79,8.36,9.45,11.29,12.05,14.15
-13.52,-12.41,-9.87,NaN,NaN,NaN,-5.76,-5.09,-3.08,-1.59,0.359999999999999,NaN,NaN,3.02,NaN,4.84,6.81,8.37,NaN,10.8,11.83,NaN
-13.52,NaN,-10.12,NaN,NaN,-7.09,-5.67,-4.84,NaN,-2.02,0.239999999999998,NaN,2.05,NaN,3.8,4.88,6.87,8.34,NaN,10.74,12.18,14.15
