-17.81,-14.74,NaN,NaN,NaN,-9.1,-6.94,-5.94,-4.34,NaN,-2.35,-1.27,0.0500000000000007,1.97,NaN,NaN,4.92,7.05,8.42,9.92,10.72,11.93,13.87,30.45
-17.81,-14.74,-11.99,-10.78,-9.8,-8.85,-6.96,-5.95,-4.26,NaN,-2.22,NaN,0.16,NaN,2.48,NaN,4.83,NaN,8.1,NaN,10.36,12,NaN,30.45
-17.81,-14.74,NaN,-10.77,-9.81,NaN,-7.05,-5.94,-4.16,NaN,-1.85,NaN,0.0500000000000007,NaN,2.16,4.24,5.17,NaN,8.29,9.78,10.46,11.45,13.87,NaN
NaN,-14.74,NaN,NaN,-9.68,-8.9,-7.27,-5.99,-4.11,-3.67,-2.35,-1.47,0.0799999999999983,1.7,NaN,NaN,5.07,7.02,8.2,NaN,10.46,11.98,13.87,30.45
NaN,NaN,-11.99,-10.78,-9.83,-8.75,-6.97,-5.95,-4.72,-3.66,-2.62,-1.26,0.109999999999999,1.86,NaN,NaN,4.97,7.28,8.43,9.67,10.79,12.01,NaN,30.45
-17.81,-14.74,-11.99,-10.78,-9.75,-8.87,-7.12,-6,-4.22,NaN,-2.38,NaN,-0.0299999999999976,1.64,2.61,4.27,5.12,6.87,8.27,NaN,10.48,12.05,13.87,NaN
-17.81,-14.74,NaN,-10.78,-9.78,NaN,-6.95,-5.91,-4.43,-3.88,-2.03,-1.27,0.0899999999999999,1.67,2.39,4.23,4.93,7.11,8.33,NaN,10.66,11.91,13.87,30.45
NaN,NaN,-11.99,-10.78,-9.81,-8.8,-7,-5.82,-4.77,-3.45,-1.84,NaN,-0.0399999999999991,1.82,NaN,4.23,5.17,NaN,8.23,9.78,10.85,12,13.87,30.45
NaN,NaN,NaN,-10.78,-9.86,-8.99,-7.03,-5.92,-4.82,-3.58,-2.29,-1.31,0.0999999999999979,1.58,2.39,4.17,5.35,NaN,8.04,9.99,NaN,11.98,NaN,NaN
NaN,-14.74,NaN,NaN,NaN,-8.82,-7.11,-5.96,-4.12,NaN,NaN,-1.38,0.0799999999999983,NaN,2.33,NaN,4.83,7.32,NaN,NaN,10.44,NaN,13.87,NaN
-17.81,NaN,-11.99,-10.78,-9.72,-8.73,-7.01,-5.88,-4.75,NaN,-1.95,NaN,0.0899999999999999,1.72,NaN,NaN,5.22,7.27,8.3,9.86,10.68,11.84,13.87,30.45
-17.81,-14.74,-11.99,-10.77,-9.81,-8.84,-7.01,-6,-4.58,NaN,-1.86,NaN,0.00999999999999801,1.73,NaN,4.36,5.27,NaN,8.42,NaN,10.31,12.1,NaN,30.45
-17.81,-14.74,NaN,-10.78,-9.76,-8.96,-7.03,-6.08,-4.24,NaN,-2.7,-1.65,0.0899999999999999,1.59,NaN,NaN,5.16,6.92,8.31,NaN,10.37,11.84,NaN,30.45
-17.81,NaN,-11.99,-10.77,-9.78,-8.75,-6.92,-5.48,-4.55,-3.26,-2.31,NaN,0.0199999999999996,1.71,2.31,4.27,5.33,7.02,8.35,10.15,NaN,11.74,NaN,30.45
NaN,NaN,-11.99,-10.77,-9.8,-8.84,-6.99,-5.94,-4.21,NaN,-2.21,-1.46,0.0399999999999991,1.83,2.26,NaN,4.84,NaN,8.35,NaN,10.42,11.84,13.87,30.45
NaN,NaN,-11.99,-10.77,-9.8,-8.85,-7.06,-5.93,-4.79,NaN,-2.21,-1.46,0.0999999999999979,1.59,2.42,4.14,5.33,7.07,8.29,NaN,10.69,11.84,NaN,30.45
-17.81,NaN,-11.99,NaN,-9.68,-8.61,-7.02,-5.92,-4.51,-3.69,NaN,-1.35,0.0500000000000007,1.72,NaN,NaN,4.89,NaN,NaN,NaN,10.39,11.44,13.87,NaN
NaN,NaN,NaN,NaN,-9.74,NaN,-7.04,-5.94,-4.15,-3.69,-2.18,-1.48,0.0299999999999976,1.67,2.61,NaN,4.88,7.02,8.31,9.79,10.82,11.98,13.87,30.45
-17.81,-14.74,NaN,-10.78,NaN,-9.08,-6.99,-5.9,-4.19,-3.85,-1.96,NaN,0.0399999999999991,1.63,2.39,4.26,4.8,NaN,8.2,10.19,NaN,11.92,13.87,30.45
-17.81,-14.74,-11.99,NaN,-9.68,-8.75,-7.05,-5.52,-4.28,NaN,-2.65,-1.35,0.109999999999999,1.87,NaN,4.27,5.3,7.22,8.39,NaN,10.47,11.93,13.87,30.45
-17.81,-14.74,NaN,-10.78,-9.54,NaN,NaN,-5.95,-4.76,NaN,-2.14,NaN,0.0299999999999976,NaN,2.41,4.14,5.03,NaN,NaN,9.89,NaN,11.88,NaN,NaN
NaN,-14.74,-11.99,-10.76,-9.79,NaN,-6.86,-5.56,-4.72,-3.27,NaN,-1.65,0.00999999999999801,1.72,2.11,4.08,4.82,6.99,NaN,NaN,10.45,11.91,13.87,NaN
-17.81,NaN,-11.99,-10.78,NaN,-8.82,-6.96,-5.9,-4.72,-3.61,-2.27,-1.31,0.129999999999999,1.68,NaN,NaN,4.85,7.22,8.3,9.83,10.52,11.78,NaN,30.45
NaN,-14.74,-11.99,-10.77,-9.81,-8.84,-6.91,-5.88,NaN,-3.19,NaN,-1.5,0,NaN,2.33,NaN,4.84,7.15,8.34,9.95,NaN,12,13.87,30.45
-17.81,-14.74,-11.99,-10.78,-9.85,-8.88,-6.88,-5.86,-4.72,NaN,-2.19,NaN,0.0599999999999987,1.82,NaN,4.3,5.43,7.14,8.31,9.86,NaN,12.12,13.87,NaN
-17.81,NaN,NaN,-10.78,NaN,-9.08,-6.95,-6.02,-4.3,NaN,-2.17,-1.61,0.129999999999999,1.68,NaN,NaN,5.31,NaN,8.27,9.82,10.55,11.63,13.87,30.45
NaN,-14.74,NaN,NaN,-9.81,NaN,-6.9,-5.96,-4.78,-3.75,NaN,-1.59,0.0999999999999979,NaN,2.37,4.33,5.21,NaN,8.24,9.89,10.56,12.1,13.87,30.45
NaN,-14.74,-11.99,NaN,-9.71,-8.75,-6.88,-5.97,-4.37,NaN,-2.58,-1.73,0.0500000000000007,1.73,NaN,4.26,4.91,NaN,8.15,NaN,10.48,11.95,NaN,30.45
NaN,-14.74,NaN,-10.77,-9.81,-8.86,-6.79,-5.96,-4.5,-3.79,-2.21,-1.14,0.0999999999999979,1.71,NaN,4.19,4.87,7.14,8.39,10.01,10.51,11.98,NaN,30.45
-17.81,NaN,NaN,-10.78,-9.85,-8.9,-6.88,-5.77,NaN,-3.54,NaN,-1.54,0.0899999999999999,1.52,2.47,NaN,5.28,7.24,8.2,9.83,10.84,11.67,13.87,NaN
-17.81,-14.74,-11.99,-10.78,-9.73,-8.67,-7.04,-5.96,-4.56,NaN,-2.31,-1.24,0.0799999999999983,NaN,2.24,4.27,5.46,7.07,8.18,NaN,10.52,11.75,13.87,30.45
NaN,-14.74,NaN,NaN,-9.49,-8.95,-6.83,-5.87,-4.5,NaN,-2.28,-0.919999999999998,0.0599999999999987,1.81,2.6,4.15,5.36,NaN,7.97,9.77,NaN,11.96,13.87,30.45
NaN,-14.74,-11.99,NaN,-9.77,-8.83,-6.91,-5.82,-4.37,-3.4,NaN,-1.2,0.0799999999999983,NaN,2.63,4.18,5.33,7.22,8.28,9.81,10.51,11.83,13.87,30.45
-17.81,-14.74,-11.99,NaN,NaN,-8.81,NaN,-6.03,NaN,-3.93,-2.26,-1.1,0.0299999999999976,1.73,NaN,4.22,4.78,7.13,8.33,9.83,10.63,11.93,13.87,30.45
-17.81,-14.74,NaN,NaN,-9.78,NaN,-7.09,-5.99,-4.73,NaN,-2.03,NaN,0.109999999999999,1.57,2.68,4.17,5.16,7.04,8.33,9.95,NaN,11.89,13.87,30.45
NaN,-14.74,-11.99,-10.78,-9.64,-8.79,-7.05,-5.91,-4.62,-3.85,-2.33,NaN,-0.0700000000000003,1.53,2.44,NaN,5.07,6.95,8.36,9.78,NaN,11.66,NaN,NaN
-17.81,-14.74,-11.99,-10.78,-9.71,-8.83,-6.95,NaN,-4.15,NaN,-2.63,-1.47,0.0299999999999976,1.77,2.55,4.14,5.32,NaN,8.02,9.96,11,11.92,13.87,30.45
NaN,-14.74,-11.99,NaN,-9.7,-9.22,-7.03,-5.93,-4.3,-3.38,NaN,-1.81,0,1.66,NaN,4.13,5.23,6.63,8.08,9.74,10.77,11.84,13.87,30.45
-17.81,-14.74,-11.99,-10.78,-9.7,-8.88,-6.74,-5.92,-4.56,-3.59,-2.24,-1.33,0.0399999999999991,1.69,NaN,NaN,4.75,7.26,NaN,NaN,10.38,11.78,NaN,30.45
-17.81,NaN,NaN,NaN,-9.57,-8.93,-6.91,-5.94,-4.27,-3.66,NaN,-1.34,0.0999999999999979,NaN,2.36,NaN,4.95,7.09,8.42,NaN,10.57,11.79,13.87,NaN
