-8.66,-7.87,-6.37,-5.51,-4.37,NaN,-3.13,NaN,-0.93,0.149999999999999,1.61,3.04,3.92,NaN,7.83,12.23,17.37
-8.67,NaN,NaN,-5.54,NaN,-4.09,NaN,-2.29,NaN,0.120000000000001,1.74,NaN,3.99,5.82,NaN,12.23,NaN
NaN,NaN,NaN,-5.5,NaN,-4.12,-3.03,NaN,NaN,0.0599999999999987,1.71,3.1,4.31,NaN,7.83,NaN,17.37
-8.67,NaN,-6.36,-5.5,NaN,-3.69,-2.97,NaN,NaN,0.0999999999999979,1.69,NaN,NaN,NaN,7.83,12.23,17.37
-8.66,-7.87,NaN,-5.48,-4.76,NaN,-3.33,NaN,NaN,0.259999999999998,1.7,3.28,NaN,5.82,7.83,NaN,17.37
-8.67,NaN,-6.37,-5.53,-4.83,NaN,-2.94,NaN,NaN,0.0799999999999983,NaN,NaN,3.82,5.82,NaN,12.23,NaN
-8.66,-7.87,NaN,-5.4,-4.75,NaN,NaN,-2.28,-1.05,-0.0300000000000011,1.68,NaN,3.87,NaN,NaN,NaN,NaN
-8.66,-7.87,-6.37,NaN,-4.75,-3.93,-2.98,NaN,NaN,0.120000000000001,NaN,3.32,NaN,5.82,NaN,12.23,NaN
-8.66,-7.87,NaN,-5.48,NaN,-4.03,-3.18,NaN,-0.84,0.210000000000001,1.72,NaN,4.01,5.82,NaN,12.23,NaN
-8.67,NaN,-6.37,-5.46,NaN,NaN,NaN,NaN,NaN,0.109999999999999,1.76,NaN,3.98,NaN,7.83,NaN,17.37
-8.67,NaN,-6.37,-5.48,NaN,-4.16,-2.95,NaN,-1.01,0.129999999999999,NaN,3.12,NaN,5.82,7.83,12.23,17.37
-8.66,-7.87,NaN,-5.47,-4.62,-3.8,NaN,-2.2,NaN,0.210000000000001,1.74,NaN,3.94,5.82,7.83,NaN,17.37
-8.67,NaN,-6.35,-5.49,NaN,-3.98,-2.74,NaN,NaN,0.210000000000001,NaN,2.87,NaN,5.82,NaN,12.23,NaN
-8.67,NaN,-6.36,-5.54,NaN,NaN,-2.94,NaN,NaN,0.0799999999999983,NaN,3.17,NaN,NaN,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.46,-4.7,-3.97,-2.98,NaN,NaN,-0.0700000000000003,1.67,3.24,NaN,5.82,NaN,NaN,NaN
-8.66,-7.87,NaN,-5.48,NaN,NaN,-3.1,NaN,NaN,0.300000000000001,1.64,3.23,NaN,5.82,NaN,12.23,NaN
-8.67,NaN,-6.37,-5.51,NaN,NaN,-2.99,NaN,NaN,0.219999999999999,1.6,3.17,3.92,NaN,7.83,12.23,17.37
NaN,-7.86,-6.37,NaN,-4.71,NaN,-2.98,NaN,NaN,0.370000000000001,1.72,3.34,3.85,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.41,NaN,-3.93,NaN,NaN,NaN,0.169999999999998,1.76,3.2,3.92,5.82,7.83,12.23,17.37
-8.67,NaN,-6.36,-5.48,NaN,NaN,NaN,-2.06,NaN,0.0700000000000003,1.81,3.24,3.95,5.82,7.83,12.23,17.37
NaN,-7.86,-6.37,NaN,-4.83,NaN,-2.95,NaN,-0.890000000000001,0.109999999999999,1.55,NaN,NaN,5.82,7.83,NaN,17.37
