-18.02,-17.12,-16,-14.74,-13.79,-12.94,-11.95,-9.32,-7.4,NaN,-4.31,-2.52,0.0399999999999991,NaN,NaN,2.96,4.68,5.86,6.81,NaN,9.4,10.73,13.02,NaN,14.99,17.1,19.2
-18.02,-17.12,-16,-14.79,-13.75,NaN,-11.86,-9.47,-7.4,-5.64,-4.24,-2.45,0.0700000000000003,NaN,2.33,3.47,4.66,NaN,6.96,7.59,9.41,10.62,13.03,13.73,14.99,17.16,19.2
NaN,-17.12,-15.93,NaN,NaN,NaN,-11.86,-9.75,-7.37,NaN,-4.24,-2.35,-0.00999999999999801,NaN,NaN,3.27,4.77,5.63,6.93,NaN,9.42,10.54,13.03,13.73,14.99,17.15,19.2
NaN,-17.12,-15.93,-14.41,NaN,-12.95,-11.97,-9.71,-7.57,-5.9,-4.22,-2.73,-0.0799999999999983,NaN,2.15,3.32,4.68,5.7,6.81,NaN,9.24,11.11,13.02,NaN,14.99,17.1,19.2
-18.02,-17.12,-16.06,-14.79,-13.61,NaN,NaN,-9.61,-7.31,-5.51,-4.31,-2.57,0,NaN,2.34,3.1,4.74,5.68,NaN,7.61,9.44,10.57,NaN,NaN,NaN,NaN,NaN
NaN,-17.11,-15.98,-14.35,-13.64,-12.86,-11.9,-9.71,-7.51,-5.7,-4.3,-2.63,-0.00999999999999801,NaN,NaN,3.39,4.68,5.97,6.95,NaN,9.41,10.75,NaN,NaN,NaN,NaN,NaN
-18.02,-17.12,-15.98,-14.75,-13.72,-12.87,-12.1,-9.65,-7.42,NaN,-4.46,-2.52,0.0799999999999983,NaN,NaN,3.11,4.67,5.95,NaN,7.72,9.38,10.47,13.03,13.71,14.99,17.31,NaN
NaN,-17.12,-15.93,-14.38,NaN,-12.89,-12,-9.75,-7.47,NaN,-4.31,-2.22,-0.0899999999999999,NaN,NaN,3.41,4.71,6.04,6.85,NaN,9.45,11.06,13.02,NaN,14.99,17.1,19.2
-18.02,NaN,-16.17,-14.79,-13.65,NaN,-11.86,-9.67,-7.7,NaN,-4.23,-2.17,-0.0700000000000003,NaN,NaN,3.18,4.77,5.95,NaN,NaN,9.52,10.56,13.07,13.74,14.99,17.31,NaN
-18.02,-17.12,-15.93,-14.62,NaN,-12.92,-12,-9.16,-7.23,-5.37,-4.33,-2.7,-0.0300000000000011,NaN,NaN,3.11,4.77,5.99,NaN,7.88,9.38,10.58,NaN,NaN,NaN,NaN,NaN
NaN,-17.11,-16.06,-14.6,-13.68,-13.04,-11.95,-9.17,-7.36,-5.46,-4.34,-2.46,0,NaN,NaN,3.44,4.54,5.85,NaN,8.01,9.15,11.1,13.04,13.73,14.99,17.24,19.2
NaN,NaN,-16.17,NaN,-13.63,NaN,-11.86,-9.22,-7.42,NaN,-4.3,-2.4,-0.169999999999998,1.57,2.73,NaN,4.73,5.89,6.94,8.03,9.38,11.24,NaN,13.74,NaN,17.15,19.2
NaN,-17.11,-16.06,-14.35,-13.64,-12.87,-11.91,-9.56,-7.38,NaN,-4.24,-2.69,0.0300000000000011,1.47,NaN,3.11,4.81,6.01,7.01,7.76,9.25,10.6,NaN,13.74,NaN,17.22,19.2
NaN,NaN,NaN,-14.75,-13.93,-12.85,-11.91,-9.75,-7.34,NaN,-4.23,-2.71,-0.0500000000000007,NaN,2.37,3.26,4.9,5.93,NaN,NaN,9.39,10.63,13.02,NaN,14.99,NaN,NaN
-18.02,NaN,-16.17,-14.73,-13.6,-13,-11.91,-9.67,-7.54,NaN,-4.29,-2.79,0.169999999999998,1.64,NaN,3.23,4.84,5.9,NaN,7.76,9.5,11.09,13.03,13.73,14.99,17.31,NaN
-18.02,-17.12,-15.93,-14.5,NaN,-12.97,-11.93,-9.74,-7.42,NaN,-4.23,-2.72,-0.0999999999999979,NaN,2.84,NaN,4.68,5.77,6.96,NaN,NaN,11.28,NaN,13.74,NaN,17.18,19.2
-18.02,-17.11,-16.11,-14.64,-13.64,-12.89,-12.1,-9.6,-7.32,-5.54,-4.28,-2.73,-0.00999999999999801,NaN,NaN,3.23,4.71,5.79,6.99,7.87,9.33,10.52,NaN,13.74,NaN,17.18,19.2
NaN,NaN,NaN,NaN,NaN,-13.08,-11.86,-9.77,NaN,NaN,NaN,-2.33,-0.109999999999999,NaN,2.27,3.42,4.79,5.64,NaN,7.97,9.46,10.97,13.02,NaN,14.99,NaN,NaN
-18.02,NaN,-16.17,-14.53,-13.73,-12.91,-12.02,-9.34,-7.42,NaN,-4.5,-2.66,0.190000000000001,NaN,NaN,3.21,4.75,NaN,6.86,NaN,9.52,10.74,13.02,NaN,14.99,17.31,NaN
-18.02,-17.12,-15.93,-14.64,NaN,-13.01,-11.91,-9.68,-7.34,NaN,-4.32,-2.53,0.0700000000000003,NaN,2.24,3.32,4.84,5.82,NaN,7.7,9.25,11.28,NaN,13.74,NaN,17.22,19.2
-18.02,-17.12,-15.93,-14.64,NaN,-12.97,-12.1,-9.28,-7.39,NaN,-4.3,-2.83,-0.0199999999999996,1.47,2.12,3.31,4.82,5.65,6.86,7.93,9.42,11.05,13.02,NaN,14.99,NaN,NaN
-18.02,NaN,-16.17,-14.75,-13.76,-13.05,-12.1,-9.36,-7.56,NaN,-4.29,-2.44,0.140000000000001,NaN,NaN,3.03,4.78,5.87,6.87,NaN,9.43,10.86,13.02,NaN,14.99,17.31,NaN
-18.02,-17.12,-15.93,-14.72,NaN,-13.01,-12.1,-9.57,-7.51,NaN,-4.38,-2.68,0.0399999999999991,NaN,NaN,3.22,4.58,5.92,NaN,7.86,9.34,10.77,13.03,13.71,14.99,17.31,NaN
-18.02,-17.12,-15.93,-14.64,NaN,-12.97,-11.95,-9.27,-7.5,-5.54,-4.28,-2.27,0.0199999999999996,NaN,2.53,3.34,4.77,5.95,6.93,8.1,9.37,10.67,NaN,NaN,NaN,17.1,19.2
NaN,-17.11,-16.06,-14.8,-13.71,NaN,-11.86,-9.68,-7.52,-5.29,-4.3,-2.29,0.0700000000000003,NaN,NaN,3.16,4.68,NaN,6.94,NaN,9.33,10.69,13.02,NaN,14.99,17.13,19.2
NaN,-17.11,-16.01,-14.35,-13.64,-12.87,-11.95,-9.44,-7.36,-5.7,-4.3,-2.72,0.210000000000001,NaN,2.6,3.36,4.67,5.53,6.99,NaN,9.43,10.76,13.02,NaN,14.99,17.18,19.2
-18.02,NaN,NaN,-14.77,-13.95,-12.85,-11.95,-9.74,-7.44,-5.67,-4.18,-2.23,0.0399999999999991,NaN,2.54,3.33,4.71,5.59,6.89,NaN,9.43,10.83,NaN,13.74,NaN,17.31,NaN
-18.02,NaN,-16.17,-14.79,-13.79,NaN,-11.86,-9.61,-7.57,-5.78,-4.23,-2.84,-0.0300000000000011,1.57,NaN,3.28,4.69,6.01,NaN,NaN,9.47,11.09,NaN,13.74,NaN,17.31,NaN
NaN,NaN,-16.17,NaN,-13.64,-12.89,-11.9,-9.59,-7.5,NaN,-4.69,-2.47,0,1.67,NaN,3.24,4.7,5.96,6.9,NaN,9.51,11.2,13.02,NaN,14.99,17.1,19.2
-18.02,NaN,-16.17,-14.69,-13.79,-12.86,-11.95,-9.29,-7.35,NaN,-4.11,-2.29,-0.109999999999999,NaN,2.21,3.32,4.8,5.77,7.07,NaN,9.34,10.92,13.03,13.71,14.99,17.15,19.2
-18.02,NaN,-16.17,-14.79,-13.63,NaN,-11.86,-9.61,-7.59,NaN,-4.26,-2.61,-0.0300000000000011,NaN,2.03,3.29,4.86,NaN,6.96,NaN,9.42,10.85,13.02,NaN,14.99,NaN,NaN
-18.02,-17.12,-16.06,-14.53,-13.74,-12.86,-12.02,-9.53,-7.39,-5.82,-4.25,-2.48,-0.0199999999999996,NaN,2.14,3.26,4.83,5.83,6.96,NaN,9.31,10.66,13.03,13.71,14.99,17.18,19.2
-18.02,-17.12,-16,-14.77,-13.76,-13.05,-12.1,-9.55,-7.51,-5.26,-4.28,-2.64,-0.0300000000000011,1.51,NaN,3.05,4.74,6,NaN,7.91,9.25,11.18,NaN,NaN,NaN,NaN,NaN
-18.02,NaN,-16.17,-14.79,-13.76,NaN,-11.86,-9.71,-7.53,NaN,-4.17,-2.81,0.329999999999998,NaN,NaN,3.34,4.57,NaN,6.94,7.98,9.37,10.5,13.03,13.71,14.99,17.15,19.2
-18.02,NaN,-16.17,-14.72,-13.67,-12.9,-12.1,-9.2,-7.39,-5.6,NaN,-2.66,0.0599999999999987,NaN,2.47,3.46,4.7,6,NaN,8.03,NaN,10.71,13.02,NaN,14.99,17.1,19.2
NaN,-17.11,-15.98,-14.6,-13.78,-12.98,-12,-9.78,-7.37,NaN,-4.36,-2.65,-0.0799999999999983,NaN,NaN,3.3,4.66,5.5,6.89,NaN,9.47,11.02,NaN,13.74,NaN,17.15,19.2
