iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
31,26,25,17,18,20,20,17,20,19,24
33,24,23,19,19,21,16,19,15,15,18
30,28,22,17,17,19,21,19,21,16,21
31,29,25,18,20,21,18,21,18,15,23
30,28,24,20,17,21,15,16,19,17,23
27,26,24,19,19,21,20,19,17,15,24
33,29,22,16,20,19,22,20,20,16,19
31,28,24,17,19,20,20,19,20,18,23
31,30,19,20,20,18,17,18,18,13,23
31,23,26,20,17,19,22,19,20,14,22
31,25,23,18,21,23,16,18,20,15,18
28,28,25,16,22,23,21,18,19,18,22
33,26,23,17,17,19,20,17,18,14,21
30,23,22,16,16,17,22,20,19,16,21
29,25,23,20,20,20,21,19,18,15,18
31,27,22,18,18,20,20,19,19,13,23
30,29,23,18,20,20,20,18,18,17,21
30,25,22,17,22,20,20,21,17,17,21
33,27,20,16,18,23,20,18,20,13,20
26,24,22,18,21,24,20,17,16,14,18
30,25,23,16,17,17,18,17,20,14,21
27,26,21,16,20,18,21,23,20,19,22
31,29,20,19,19,20,21,20,19,19,19
33,29,28,19,22,20,17,17,21,16,21
29,25,27,20,18,20,22,18,19,18,18
36,29,27,18,18,21,20,15,19,15,20
33,26,21,16,20,22,21,19,20,18,22
29,28,23,21,22,20,20,17,17,17,19
29,29,22,18,19,20,16,18,21,16,21
29,25,23,19,18,19,21,19,18,15,17
30,28,26,18,16,23,20,19,18,16,23
30,30,24,16,17,22,19,23,22,18,25
30,28,19,17,20,20,21,16,18,15,20
29,25,23,16,19,21,19,20,21,18,17
29,27,23,17,20,19,20,18,17,16,25
30,26,21,21,17,22,20,18,18,18,20
27,26,23,17,21,22,23,19,19,16,20
31,27,26,17,21,20,19,21,19,16,24
31,30,23,19,18,19,20,16,19,17,17
27,24,21,20,16,17,20,19,17,16,22
26,20,23,19,19,22,19,20,19,15,26
31,28,22,18,20,24,21,21,20,17,25
29,28,25,20,17,20,21,20,19,16,20
30,26,21,19,22,20,21,19,18,16,23
30,26,25,17,23,21,18,18,21,18,21
31,27,23,18,21,21,24,18,16,15,19
31,25,21,18,20,19,19,19,18,18,23
28,27,22,18,23,20,23,19,23,18,16
28,28,23,19,19,19,17,22,21,15,22
29,24,22,18,20,17,22,18,18,19,20
29,19,25,17,18,19,24,20,16,15,25
29,26,19,19,17,17,21,20,22,12,19
34,27,23,19,20,19,18,18,22,15,19
28,30,25,17,19,17,20,19,20,15,22
29,28,24,18,22,20,22,18,17,15,19
31,26,24,16,20,18,19,17,17,15,21
32,28,24,19,17,21,23,19,20,14,18
31,27,27,20,18,20,19,21,20,15,20
29,28,22,20,20,18,17,19,19,18,21
31,26,23,20,19,20,18,19,18,16,21
29,28,24,21,16,19,17,20,17,19,23
35,28,23,18,16,20,23,20,20,17,22
31,28,20,18,20,17,15,17,18,19,21
25,25,22,17,19,20,23,19,21,14,22
30,29,24,17,19,19,22,18,15,15,19
26,26,24,21,19,20,22,18,19,15,26
31,25,25,17,20,20,22,18,19,18,22
31,27,25,17,20,19,20,19,20,17,21
28,29,22,22,22,19,21,18,22,18,19
28,25,23,17,19,20,19,20,18,16,21
33,27,23,18,18,20,18,21,18,18,21
28,24,24,15,20,20,17,20,19,17,23
30,28,25,20,19,20,21,22,18,17,21
28,27,23,17,21,20,20,22,15,18,23
