iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
32,26,25,20,17,19,14,15,13,12,11
28,26,23,20,24,18,13,15,12,11,12
31,26,25,19,19,18,13,13,11,13,13
30,22,24,21,17,22,17,15,13,14,12
29,24,22,19,24,22,13,11,15,9,15
28,23,20,20,18,21,14,13,11,9,13
33,24,22,16,21,18,14,13,11,13,12
29,26,21,21,20,16,13,14,15,13,12
33,23,24,19,20,19,16,14,13,11,14
32,23,25,20,22,20,18,14,14,14,14
32,23,18,17,17,20,12,16,14,12,11
30,25,25,22,17,20,14,11,13,13,14
28,23,22,20,20,20,13,15,13,12,13
27,28,21,22,22,21,17,14,12,14,12
31,27,25,21,19,17,14,12,13,12,13
30,26,25,20,20,17,12,15,13,13,10
32,24,20,20,18,18,12,14,15,11,12
33,24,23,24,19,18,14,14,13,13,10
27,26,28,19,18,18,15,12,13,13,13
33,23,21,20,16,21,14,15,13,14,11
28,26,24,22,21,20,12,15,14,16,14
29,25,24,24,20,20,15,13,13,12,11
30,25,20,20,21,18,15,15,13,13,11
29,23,25,17,17,19,15,14,13,13,13
32,24,21,20,20,20,14,14,12,12,10
32,25,24,21,20,19,16,13,10,12,15
30,29,23,19,23,21,14,12,13,13,12
33,24,19,21,19,18,14,13,15,13,12
28,22,29,22,21,19,14,13,13,10,11
28,30,23,22,18,16,14,14,13,12,14
31,28,23,18,20,19,13,14,13,12,12
31,23,24,18,16,18,13,15,14,9,11
27,25,25,23,23,19,13,15,16,12,14
31,24,20,20,20,16,14,15,13,15,12
28,24,21,21,19,18,16,12,15,12,14
30,20,22,18,16,18,15,13,12,13,12
27,22,23,20,19,16,15,14,13,11,11
33,28,22,24,18,16,13,14,15,13,11
30,30,24,19,21,21,14,13,15,12,10
33,30,26,20,17,16,14,14,13,14,11
29,24,23,19,17,20,12,13,12,14,14
32,30,24,22,21,17,11,10,13,14,14
30,22,24,21,22,19,19,14,14,14,14
32,26,18,17,19,18,15,12,15,13,14
30,27,27,22,17,17,15,11,12,13,13
31,24,24,21,19,17,14,13,13,12,13
31,24,23,20,19,20,14,13,14,10,13
29,26,24,20,20,19,15,16,15,13,16
30,22,24,20,20,22,11,14,12,12,13
30,26,24,18,19,18,16,14,13,12,11
31,23,22,20,16,17,14,14,11,15,15
32,27,23,19,20,16,15,15,14,14,13
32,26,24,22,15,18,14,14,15,11,13
32,23,23,20,19,19,16,14,12,13,15
28,23,22,23,21,19,12,13,18,11,13
30,22,24,19,18,19,13,14,15,15,13
31,27,25,22,19,21,15,15,16,16,15
33,24,24,22,20,20,13,14,13,13,15
31,22,23,22,20,18,11,12,13,11,13
31,25,22,20,19,20,14,17,14,11,12
34,28,26,21,22,18,14,11,13,12,13
32,25,26,24,19,20,14,14,13,13,15
36,22,22,21,21,19,11,14,14,14,12
31,27,24,19,20,17,13,14,13,13,13
32,26,27,19,19,17,15,14,15,13,13
31,26,23,22,20,15,14,12,12,14,13
31,20,20,19,22,19,14,12,15,13,14
33,26,26,24,20,19,15,14,12,12,14
31,28,24,22,21,16,16,12,14,13,12
28,21,22,21,22,17,17,11,13,13,14
27,22,21,22,17,16,15,11,12,11,12
31,26,24,26,19,19,12,12,18,14,14
30,22,21,23,21,19,13,11,13,13,13
27,23,23,19,20,22,13,12,17,16,11
30,24,23,19,20,20,15,14,13,11,14
33,24,23,18,17,19,14,13,14,10,12
31,27,25,22,21,22,15,15,14,13,14
32,26,20,16,19,19,11,12,9,10,13
32,23,25,24,20,18,15,13,15,14,13
34,27,26,23,21,18,12,16,13,10,12
27,25,24,23,19,17,16,14,15,13,10
31,29,23,18,19,17,14,14,17,14,13
27,25,24,21,18,19,12,15,13,12,15
26,24,25,22,19,19,17,11,13,13,12
31,29,23,19,16,18,14,14,15,13,12
36,26,24,22,18,19,12,16,12,10,11
30,21,25,20,21,17,13,12,13,11,13
30,23,23,21,22,19,13,16,13,12,10
33,22,20,19,20,18,15,12,15,13,14
