-13.06,-12.17,-10.67,-8.36,-7.17,-5.61,-3.93,-2.65,-1.88,0.0300000000000011,1.6,2.9,3.9,5.59,6.93,7.97,9.38,NaN,NaN,NaN
-12.73,-12.1,-10.62,-8.4,-6.81,NaN,-4.24,-2.62,-1.77,-0.00999999999999801,1.6,2.84,3.84,5.34,6.87,NaN,9.33,11.61,NaN,13.92
-13.08,-12,-10.71,-8.59,-6.95,-5.17,-3.9,NaN,-1.89,0.129999999999999,1.17,2.92,NaN,4.96,NaN,NaN,9.37,11.58,NaN,13.92
-13.02,-12.14,-10.7,-8.12,-7.19,-5.47,-4,-2.54,-1.88,0.00999999999999801,1.72,2.88,NaN,5.07,6.7,7.97,9.33,11.07,NaN,13.92
-12.93,NaN,-10.72,NaN,-7.16,-5.47,-4.02,-2.83,-1.85,0.0500000000000007,1.41,2.87,4.03,5.24,7,8.04,9.28,11.57,NaN,13.92
-12.78,NaN,-10.84,-8.33,-7.29,-5.94,NaN,-2.72,NaN,0.0899999999999999,1.5,3.08,4.09,5.3,6.89,7.66,9.33,11.59,NaN,13.92
-12.94,-12.15,-10.7,NaN,-7.17,-5.4,-3.5,-2.68,-1.94,0.0799999999999983,1.5,2.9,4.02,5.04,NaN,8.28,9.24,11.49,12.45,13.92
-13.08,-12.03,NaN,-8.39,-7.17,-5.84,-3.86,-2.53,-1.59,0.0399999999999991,1.57,3.08,4,5.18,6.59,7.89,9.19,11.6,NaN,13.92
-12.88,NaN,-10.57,-8.75,-6.88,NaN,-3.94,-2.68,-1.96,0.109999999999999,1.66,2.94,3.97,4.99,6.94,NaN,9.44,11.69,NaN,13.92
-12.77,NaN,-10.68,-8.59,-6.95,-5.64,-3.86,-2.88,-1.88,0.149999999999999,NaN,2.94,3.82,5.05,6.79,8.16,9.15,NaN,NaN,13.92
-13.08,NaN,-10.65,-8.11,-6.92,NaN,NaN,-3.17,NaN,0.0500000000000007,1.75,2.97,3.98,5.31,7.15,8.03,9.28,11.36,12.44,13.92
-13.08,NaN,-10.62,-8.41,-6.81,-5.88,NaN,-3.06,-1.42,0.0799999999999983,NaN,2.92,3.99,5.34,7.06,7.93,9.27,11.65,NaN,13.92
-12.76,-12.07,-10.78,NaN,-6.99,-5.46,-3.99,-2.53,NaN,0.120000000000001,NaN,2.72,3.93,5.1,6.73,NaN,NaN,11.5,12.4,13.92
-12.93,NaN,-10.51,NaN,-6.97,NaN,-3.95,-3.09,-1.95,0,1.58,2.76,3.93,5.15,6.9,NaN,9.32,11.07,NaN,NaN
-13,NaN,-10.68,-8.48,-7.07,-5.68,-3.85,-2.67,-1.45,-0.199999999999999,1.75,3,3.86,5.14,NaN,8.1,9.22,11.61,12.43,13.92
-12.95,-12.24,-10.67,-8.38,-7.26,-5.52,-3.55,NaN,-1.89,-0.109999999999999,1.77,3,3.92,5.51,6.78,7.95,9.33,11.74,NaN,13.92
