"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitch1","target_pitch2","target_pitch3","target_pitch4","target_pitch5","num_target_pitches","target_interval1","target_interval2","target_interval3","target_interval4","sung_pitch1","sung_pitch2","sung_pitch3","sung_pitch4","sung_pitch5","num_sung_pitches","sung_interval1","sung_interval2","sung_interval3","sung_interval4","in2ref_1","in2ref_2","in2ref_3","in2ref_4","in2ref_5","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","age","gender","sung_intervals_confirm","pitch_RMSE","interval_RMSE","int_class"
5,119,1,"custom_trial",96,52,"high",0,60.8378205399526,59.4259003639304,60.5914961037728,60.4296501569612,52.5766647361032,56.9269270223349,5,1.1655957398424,-0.161845946811589,-7.85298542085805,4.35026228623171,58.1407458632487,60.2286514390463,53.3343015260125,57.5109474426856,55.4122754310242,5,2.08790557579759,-6.89434991303387,4.17664591667314,-2.09867201166141,-2.69707467670383,-0.609169100906243,-7.50351901394011,-3.32687309726698,-5.42554510892838,TRUE,"5,5,-1.28515450068167,-0.362844664726474,-7.09534863094876,4.93428270658244,-1.51465159131068,-1.06474333621703,7.09534863094876,3.96909475340632,0.922309835955197,-6.73250396622228,12.0296313375312,-6.44893429789312,-0.0573742726572526,12.0296313375312,7.62361542813108,25",7.09534863094876,12.0296313375312,25,3.96909475340632,7.62361542813108,TRUE,"singing_block1",11,1,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","2.08790557579759,-6.89434991303387,4.17664591667314,-2.09867201166141","3.96909475340631","7.62361542813108","first3"
5,98,1,"custom_trial",22,15,"high",0,62.7815730969474,57.145070521149,63.4646707590231,62.0016321545246,65.2035235247969,65.5152781916119,5,6.31960023787413,-1.46303860449856,3.20189137027231,0.31175466681502,54.3212187687199,64.498280071659,54.4047695542408,68.7964803452915,65.9370503033225,5,10.1770613029391,-10.0935105174181,14.3917107910506,-2.85943004196902,-8.46035432822753,1.71670697471154,-8.37680354270659,6.01490724834406,3.15547720637504,TRUE,"5,5,-2.82385175242912,1.03360931263583,-7.59686260028374,3.59295682049459,0.421772111710553,-1.07447522157438,7.59686260028374,3.99604901688179,3.85746106506495,-8.63047191291957,11.1898194207783,-3.17118470878404,0.811405966034918,11.1898194207783,7.49388955141186,75",7.59686260028374,11.1898194207783,75,3.99604901688179,7.49388955141186,TRUE,"singing_block1",10,0,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","10.1770613029391,-10.0935105174181,14.3917107910506,-2.85943004196902","3.99604901688179","7.49388955141186","first3"
5,103,1,"custom_trial",329,141,"high",0,63.2713736194565,69.8316489607978,55.1417098061084,70.2299052484094,60.909081848912,70.9116553094498,5,-14.6899391546894,15.088195442301,-9.32082339949741,10.0025734605378,63.0868198739976,56.4943502569702,68.3290475004043,59.291691754831,70.7479600278454,5,-6.59246961702734,11.834697243434,-9.03735574557329,11.4562682730144,-0.18455374545897,-6.77702336248631,5.05767388094772,-3.97968186462557,7.47658640838888,TRUE,"5,5,-6.74482908680023,1.35264045086182,-1.90085774800509,-1.61739009408097,-0.163695281604333,-1.81482635192576,6.74482908680023,3.27348018595671,8.09746953766205,-3.25349819886691,0.28346765392412,1.45369481247664,1.64528345129897,8.09746953766205,4.42571592971233,100",6.74482908680023,8.09746953766205,100,3.27348018595671,4.42571592971233,TRUE,"singing_block1",16,6,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","-6.59246961702734,11.834697243434,-9.03735574557329,11.4562682730144","3.27348018595671","4.42571592971233","first3"
5,106,1,"custom_trial",88,48,"high",0,62.3864019803034,68.4053305158122,70.8138627343217,58.5418123508217,65.4762242538515,64.8599633707005,5,2.40853221850949,-12.2720503835,6.93441190302977,-0.616260883151014,57.7184770694363,70.7586096563339,57.830969408057,62.8546473108852,59.8118597288349,5,13.0401325868975,-12.9276402482769,5.02367790282821,-3.04278758205034,-4.66792491086711,8.37220767603043,-4.55543257224645,0.468245330581766,-2.57454225146858,TRUE,"5,5,-10.6868534463759,-0.055253077987814,-0.710842942764728,-2.62157694296629,-5.04810364186562,-3.82452601039206,10.6868534463759,5.42352658743609,10.631600368388,-0.655589864776914,-1.91073400020156,-2.42652669889933,1.40968745112756,10.631600368388,5.54526060487478,100",10.6868534463759,10.631600368388,100,5.42352658743609,5.54526060487478,TRUE,"singing_block1",12,2,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","13.0401325868975,-12.9276402482769,5.02367790282821,-3.04278758205034","5.42352658743609","5.54526060487478","first3"
5,113,1,"custom_trial",369,161,"high",0,61.6122928312039,65.6517234313735,62.9986139036606,67.8830365717775,56.9213615673676,69.3601735387747,5,-2.65310952771296,4.88442266811688,-10.9616750044099,12.4388119714071,65.8633621441311,56.3377182636073,68.281390279614,57.135914356031,58.9082686941321,5,-9.52564388052382,11.9436720160067,-11.145475923583,1.77235433810115,4.25106931292725,-5.27457456759657,6.66909744841011,-4.47637847517286,-2.70402413707171,TRUE,"5,5,0.211638712757562,-6.66089564005329,0.398353707836506,0.214552788663411,-10.4519048446425,-3.25765105508767,10.4519048446425,5.54723994666809,-6.87253435281085,7.0592493478898,-0.183800919173095,-10.666457633306,-2.66588588935003,10.666457633306,7.26071330874673,100",10.4519048446425,10.666457633306,100,5.54723994666809,7.26071330874673,TRUE,"singing_block1",14,4,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","-9.52564388052382,11.9436720160067,-11.145475923583,1.77235433810115","5.54723994666809","7.26071330874673","first3"
20,272,2,"custom_trial",408,52,"low",0,62.595784058009,59.8987093813052,61.9866149571027,55.0922650440689,59.268910960742,57.1702389490806,5,2.08790557579759,-6.89434991303387,4.17664591667314,-2.09867201166141,62.3474156343435,63.4937712138819,59.0351205246957,63.1350134394847,60.1874732822431,5,1.14635557953834,-4.45865068918621,4.099892914789,-2.94754015724152,-0.248368423665454,0.897987155872883,-3.56066353331333,0.539229381475671,-2.40831077576585,TRUE,"5,5,2.44870625303838,1.50715625677913,3.94285548062678,3.86610247874265,3.01723433316253,2.95641096046989,3.94285548062678,3.09400203731288,-0.941549996259255,2.43569922384766,-0.0767530018841356,-0.848868145580113,0.142132020031038,2.43569922384766,1.37346416556701,100",3.94285548062678,2.43569922384766,100,3.09400203731288,1.37346416556701,TRUE,"singing_block1",11,1,NA,NA,53.3820449627012,"low","low",9,1.428571,1,26,"male","1.14635557953834,-4.45865068918621,4.099892914789,-2.94754015724152","3.09400203731288","1.37346416556701","first3"
5,94,1,"custom_trial",249,101,"high",0,58.6893249912858,57.1899633194125,57.384508140578,53.1008813970517,51.1664715311327,57.2972429260682,5,0.194544821165579,-4.28362674352638,-1.93440986591902,6.13077139493549,56.7025633089139,51.1720364792026,56.078469721877,49.0280812896551,57.3821856743236,5,-5.53052682971128,4.90643324267446,-7.05038843222191,8.35410438466846,-1.98676168237193,-7.51728851208322,-2.61085526940876,-9.66124370163067,-1.30713931696221,TRUE,"5,5,-0.487400010498618,-6.21247166137548,2.97758832482535,-2.13839024147754,0.084942748255429,-1.15514616805417,6.21247166137548,3.23352201913305,-5.72507165087686,9.19005998620084,-5.11597856630289,2.22333298973297,0.143085689688512,9.19005998620084,6.08995267288156,50",6.21247166137548,9.19005998620084,50,3.23352201913305,6.08995267288156,TRUE,"singing_block1",13,3,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","-5.53052682971128,4.90643324267446,-7.05038843222191,8.35410438466846","3.23352201913305","6.08995267288156","first3"
5,91,1,"custom_trial",110,59,"high",0,58.7745867639972,64.9261468018123,55.6126440143565,52.3884360674613,59.256963923493,61.0690028926474,5,-9.3135027874558,-3.22420794689518,6.8685278560317,1.81203896915436,64.2322161592234,58.3320944550879,53.0725672845644,48.6150373870928,63.0764633042774,5,-5.90012170413548,-5.2595271705235,-4.4575298974716,14.4614259171847,5.45762939522611,-0.442492308909365,-5.70201947943287,-10.1595493769045,4.3018765402802,TRUE,"5,5,-0.693930642588953,2.71945044073137,0.684131217103051,-10.6419265364002,2.00746041163007,-1.18496302190494,10.6419265364002,5.01249406321713,3.41338108332032,-2.03531922362832,-11.3260577535033,12.6493869480303,0.675347763554756,12.6493869480303,8.71894874911437,75",10.6419265364002,12.6493869480303,75,5.01249406321713,8.71894874911437,TRUE,"singing_block1",11,1,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","-5.90012170413548,-5.2595271705235,-4.4575298974716,14.4614259171847","5.01249406321713","8.71894874911437","first3"
5,114,1,"custom_trial",279,116,"high",0,59.2787916568969,65.5281316023596,55.0106306709171,57.4203160823155,55.4232622209678,65.2978356580034,5,-10.5175009314424,2.40968541139839,-1.9970538613477,9.87457343703561,64.5220190903912,55.0073682680411,55.1963649232755,54.6988565468663,64.7384291736208,5,-9.51465082235005,0.18899665523432,-0.497508376409129,10.0395726267545,5.2432274334943,-4.27142338885575,-4.08242673362143,-4.57993511003056,5.45963751672393,TRUE,"5,5,-1.00611251196835,-0.00326240287596846,-2.22395115904004,-0.724405674101469,-0.559406484382592,-0.903427646473685,2.22395115904004,1.165841411449,1.00285010909239,-2.22068875616407,1.49954548493857,0.164999189718877,0.11167650689644,2.22068875616407,1.43291907369779,50",2.22395115904004,2.22068875616407,50,1.165841411449,1.43291907369779,TRUE,"singing_block1",13,3,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","-9.51465082235005,0.18899665523432,-0.497508376409129,10.0395726267545","1.165841411449","1.43291907369779","first3"
5,121,1,"custom_trial",98,53,"high",0,59.3542252057741,64.0459897203959,62.0144093704857,62.95436543543,63.0257975292266,59.0971374138448,5,-2.03158034991029,0.939956064944319,0.0714320937966733,-3.92866011538184,63.0166027820128,65.6575518206791,57.4750391385274,61.3376019912258,55.1238727732072,5,2.64094903866622,-8.18251268215164,3.86256285269837,-6.21372921801856,3.66237757623878,6.303326614905,-1.87918606724664,1.98337678545172,-4.23035243256684,TRUE,"5,5,-1.0293869383831,3.64314245019341,-5.47932629690255,-1.68819553800085,-3.97326464063758,-1.70540619274613,5.47932629690255,3.54942184385879,4.67252938857651,-9.12246874709596,3.79113075890169,-2.28506910263673,-0.735969425563621,9.12246874709596,5.58225268515698,25",5.47932629690255,9.12246874709596,25,3.54942184385879,5.58225268515698,TRUE,"singing_block1",10,0,NA,NA,57.096379276982,"high","high",8,2.714286,3.571429,59,"female","2.64094903866622,-8.18251268215164,3.86256285269837,-6.21372921801856","3.54942184385879","5.58225268515698","first3"
