bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-28742_ses-1_task-rest_run-1_bold	0.003749868421052632	0.012694255263157895	0	31.458905744238393	1.073031873046358	1.036899916225165	0.5649309289545271	682.2327880859375	0.1218318209506884	18	11.842105263157896	2.6384322222222223	2.5448333333333335	2.8272933333333334	2.54317	0.013549	0.0021114787086844444	0.03568187355995178	152	64	64	43	3.7788467325441206	2.0	3.0	3.0	3.0	29.160909290991455	15.216179175273643	64.90223929556646	36.0	126513.0	1.0	210.0	90.2122203564448	1.4909798047458445	183.98899881218264	918.1088380530082	953.0	49615.0	376.0	1275.0	252.1908040868292	40.92157591448631
sub-28743_ses-1_task-rest_run-1_bold	0.002189078947368421	0.019953363815789476	0	34.189879588145686	1.1042321974172185	0.9980564935761596	0.5410456896141849	992.421630859375	0.13550814242097703	22	14.473684210526315	2.274192222222222	2.2561033333333333	2.5205800000000003	2.0458933333333333	0.00756154	0.0011080221738666296	0.03609291464090347	152	64	64	43	4.303866433719377	2.0	3.0	3.0	3.0	36.233443008419826	11.977864845110103	56.05069138759702	34.0	128582.0	1.0	176.0	81.54445723546168	2.7272733327857566	164.14457986609304	1018.0130610356287	1066.0	47546.0	445.0	1314.0	247.68166163172324	42.27398584596813
sub-28744_ses-1_task-rest_run-1_bold	0.0022927631578947365	0.02017105592105263	0	39.26825825245033	1.2318094365562908	1.1439096590066222	0.5845157704862861	788.473388671875	0.18730015173287853	35	23.026315789473685	2.5337622222222222	2.4597166666666666	2.7712833333333333	2.3702866666666664	0.00456166	-0.0013985632685944438	0.047735415399074554	152	64	64	43	4.463675353630575	2.0	3.0	3.0	3.0	35.96868906044027	20.161439528117064	80.09871396095103	41.0	121847.0	7.0	276.0	134.4482716526353	3.2618177870221157	184.57420319127664	1127.9280963873177	1163.0	54281.0	590.0	1463.0	260.5452222756985	41.777580343186855
sub-28746_ses-1_task-rest_run-1_bold	0.0005819736842105264	0.01193163947368421	0	30.942540629933763	1.0453264521192054	1.0008900906622515	0.5808043343405749	681.785400390625	0.0573194567849639	0	0.0	2.2524355555555555	2.22424	2.4110666666666667	2.122	0.0064037	0.0048738201148808	0.05153683200478554	152	64	64	43	4.633738957252008	2.0	3.0	3.0	3.0	34.08669050986739	23.233940672237257	86.3747813528043	45.0	124630.0	1.0	305.0	142.49937255980555	3.430672049345663	177.60495926669	1130.796361023729	1163.0	51498.0	622.0	1450.0	250.98278495477297	47.4741498142248
sub-28747_ses-1_task-rest_run-1_bold	0.000962763157894737	0.016509067763157893	0	39.12402224980132	1.117205645827814	1.0116665674172187	0.5654888267305276	665.0807495117188	0.09084178102349166	4	2.6315789473684212	2.509387777777778	2.5490766666666667	2.7532933333333336	2.2257933333333333	0.0117218	-0.00038408031105063856	0.04646831005811691	152	64	64	43	3.73843022603366	2.0	3.0	3.0	3.0	40.3448946973976	19.51767625249901	77.41820919525732	41.0	126848.0	3.0	256.0	127.50854495416075	1.6417014588500862	195.85461257570483	1019.1615665584416	1055.0	49280.0	410.5	1427.0	282.201146475694	43.316399769857526
sub-28748_ses-1_task-rest_run-1_bold	0.0012608552631578947	0.016049777631578947	0	36.056133143642384	1.0761920679470198	1.0002894350331124	0.5824503832173136	615.6282348632812	0.09163274458431843	4	2.6315789473684212	2.2927455555555554	2.2180933333333335	2.4650666666666665	2.1950766666666666	0.00847689	-0.0008833470055833459	0.05247630178928375	152	64	64	43	4.527265171031391	2.0	3.0	3.0	3.0	28.731163519982598	20.64913717980875	80.65407285959931	43.0	125035.0	4.0	272.0	115.92621228646979	2.692280137697498	182.55517116617304	1059.994637230149	1077.0	51093.0	608.0	1400.0	237.8896352781608	40.704717735759914
sub-28749_ses-1_task-rest_run-1_bold	0.000835	0.02146156315789474	0	42.30381939092716	1.104268261854305	0.9949425193377484	0.5508552316386424	624.7501220703125	0.11494031961010796	7	4.605263157894737	2.2843655555555555	2.3174366666666666	2.5487699999999998	1.98689	0.00659976	-0.01399254985153675	0.050817254930734634	152	64	64	43	4.1220751636755715	2.0	3.0	3.0	3.0	29.448556687807432	17.761964140841073	73.73682059046178	41.0	132100.0	2.0	257.0	103.74294173782707	2.697796358298075	160.755018550195	996.6430907604251	1037.0	44028.0	408.0	1316.0	251.56946008033404	38.64260287815705
sub-28750_ses-1_task-rest_run-1_bold	0.0011974342105263158	0.02190105460526316	0	42.84776547403971	1.0786285725827809	0.985065619536424	0.6152726305690093	349.1682434082031	0.22224085707648697	73	48.026315789473685	2.53654	2.526186666666667	2.7378766666666667	2.3455566666666665	0.0112367	-0.004936918616294861	0.08061789721250534	152	64	64	43	4.021172179245884	2.0	3.0	3.0	3.0	21.09893689842899	36.908992666553	119.29973148717285	59.0	123644.0	5.0	463.0	177.8284480294705	2.2266295261030518	191.87020960432906	1067.4863577471228	1099.0	52484.0	491.0	1450.0	273.30078919892156	33.525815438479185
sub-28752_ses-1_task-rest_run-1_bold	0.0011967763157894739	0.01466126052631579	0	37.19372601523179	1.1241111825827814	1.0853304462913904	0.6363694405727777	517.0263671875	0.09178627506899631	7	4.605263157894737	2.3728022222222225	2.2777233333333333	2.640546666666667	2.200136666666667	0.00581189	-0.009828793816268444	0.08045950531959534	152	64	64	43	4.519777844219865	2.0	3.0	3.0	3.0	28.776889213465854	28.530339488437225	104.28719952613758	51.0	113113.0	1.0	369.0	168.02303855341972	2.5296678475885646	186.66155581421785	1128.9408077441879	1149.0	63015.0	651.0	1498.0	254.21401730093606	42.20731343328953
sub-28753_ses-1_task-rest_run-1_bold	0.0021298684210526316	0.016517506578947367	0	33.15463049715231	1.1037537284105965	1.0133761106622519	0.5678942792788801	827.3820190429688	0.09446307344270387	12	7.894736842105263	2.377961111111111	2.324736666666667	2.67292	2.136226666666667	0.0205764	-0.009619619697332382	0.05061149224638939	152	64	64	43	4.266266828858009	2.0	3.0	3.0	3.0	47.316877791247315	17.420576067440823	74.93708370692968	41.0	124912.0	8.0	237.0	112.92704581757842	2.788643110608648	189.23665416211907	1142.5748008434864	1192.0	51216.0	509.0	1485.0	279.39845555178863	45.1752831361955
