,TIME_FRAME,FUNDAMENTAL_FREQUENCY,MIDI_NOTE,NG_type,NG_ID,NG,PARTICIPANT_ID,SONG_ID
0,0.0,,,,,,777,Dance_1
1,0.023229813664596276,,,,,,777,Dance_1
2,0.04645962732919255,,,,,,777,Dance_1
3,0.06968944099378882,,,,,,777,Dance_1
4,0.0929192546583851,,,,,,777,Dance_1
5,0.11614906832298139,,,,,,777,Dance_1
6,0.13937888198757764,,,,,,777,Dance_1
7,0.16260869565217392,,,,,,777,Dance_1
8,0.1858385093167702,,,,,,777,Dance_1
9,0.2090683229813665,,,,,,777,Dance_1
10,0.23229813664596277,,,,,,777,Dance_1
11,0.255527950310559,,,,,,777,Dance_1
12,0.2787577639751553,,,,,,777,Dance_1
13,0.3019875776397516,,,,,,777,Dance_1
14,0.32521739130434785,,,,,,777,Dance_1
15,0.34844720496894416,,,,,,777,Dance_1
16,0.3716770186335404,,,,,,777,Dance_1
17,0.39490683229813667,,,,,,777,Dance_1
18,0.418136645962733,,,,,,777,Dance_1
19,0.44136645962732923,,,,,,777,Dance_1
20,0.46459627329192554,,,,,,777,Dance_1
21,0.4878260869565218,,,,,,777,Dance_1
22,0.511055900621118,,,,,,777,Dance_1
23,0.5342857142857144,261.6255653005986,60.0,,,,777,Dance_1
24,0.5575155279503106,254.17759331190007,59.5,note,0.0,59.5,777,Dance_1
25,0.5807453416149069,251.25811464836974,59.3,note,0.0,59.5,777,Dance_1
26,0.6039751552795032,254.17759331190007,59.5,note,0.0,59.5,777,Dance_1
27,0.6272049689440995,258.62053938239393,59.79999999999999,note,0.0,59.5,777,Dance_1
28,0.6504347826086957,260.1187129259726,59.900000000000006,note,0.0,59.5,777,Dance_1
29,0.673664596273292,258.62053938239393,59.79999999999999,note,0.0,59.5,777,Dance_1
30,0.6968944099378883,254.17759331190007,59.5,glide,1.0,59.900000000000006,777,Dance_1
31,0.7201242236024845,251.25811464836974,59.3,glide,1.0,59.46666666666667,777,Dance_1
32,0.7433540372670808,241.30149553281768,58.599999999999994,glide,1.0,59.03333333333333,777,Dance_1
33,0.7665838509316771,,,glide,1.0,58.599999999999994,777,Dance_1
34,0.7898136645962733,302.26980244077964,62.50000000000001,note,2.0,62.19999999999998,777,Dance_1
35,0.8130434782608696,297.0769881570017,62.19999999999998,note,2.0,62.19999999999998,777,Dance_1
36,0.836273291925466,297.0769881570017,62.19999999999998,note,2.0,62.19999999999998,777,Dance_1
37,0.8595031055900622,297.0769881570017,62.19999999999998,note,2.0,62.19999999999998,777,Dance_1
38,0.8827329192546585,298.79793764201077,62.3,note,2.0,62.19999999999998,777,Dance_1
39,0.9059627329192548,309.33502415691686,62.900000000000006,note,2.0,62.19999999999998,777,Dance_1
40,0.9291925465838511,318.3992322368831,63.4,note,2.0,62.19999999999998,777,Dance_1
41,0.9524223602484473,307.5533855193843,62.79999999999999,glide,3.0,62.900000000000006,777,Dance_1
42,0.9756521739130436,295.3659506116579,62.09999999999999,glide,3.0,62.48333333333334,777,Dance_1
43,0.9988819875776399,277.1826309768721,60.999999999999986,glide,3.0,62.06666666666667,777,Dance_1
44,1.022111801242236,273.99891691894106,60.8,glide,3.0,61.650000000000006,777,Dance_1
45,1.0453416149068324,272.42079928303684,60.7,glide,3.0,61.23333333333334,777,Dance_1
46,1.0685714285714287,266.19869962824436,60.300000000000004,glide,3.0,60.81666666666667,777,Dance_1
47,1.091801242236025,255.65002913072473,59.6,glide,3.0,60.400000000000006,777,Dance_1
48,1.1150310559006211,242.6993408760242,58.7,glide,3.0,59.98333333333334,777,Dance_1
49,1.1382608695652174,,,glide,3.0,59.56666666666667,777,Dance_1
50,1.1614906832298137,297.0769881570017,62.19999999999998,glide,3.0,59.150000000000006,777,Dance_1
51,1.18472049689441,245.51937137864908,58.9,glide,3.0,58.73333333333334,777,Dance_1
52,1.2079503105590064,231.7394279100639,57.900000000000006,glide,3.0,58.31666666666667,777,Dance_1
53,1.2311801242236027,225.14225623929048,57.4,glide,3.0,57.900000000000006,777,Dance_1
54,1.254409937888199,222.55627686642293,57.2,note,4.0,57.4,777,Dance_1
55,1.277639751552795,225.14225623929048,57.4,note,4.0,57.4,777,Dance_1
56,1.3008695652173914,227.758283245103,57.59999999999999,note,4.0,57.4,777,Dance_1
57,1.3240993788819877,226.44649206156822,57.49999999999999,note,4.0,57.4,777,Dance_1
58,1.347329192546584,222.55627686642293,57.2,note,4.0,57.4,777,Dance_1
59,1.3705590062111803,214.9751930555341,56.599999999999994,glide,5.0,57.49999999999999,777,Dance_1
60,1.3937888198757766,202.90956258890662,55.599999999999994,glide,5.0,57.77499999999999,777,Dance_1
61,1.4170186335403727,254.17759331190007,59.5,glide,5.0,58.05,777,Dance_1
62,1.440248447204969,241.30149553281768,58.599999999999994,glide,5.0,58.324999999999996,777,Dance_1
63,1.4634782608695653,233.08188075904496,58.0,glide,5.0,58.599999999999994,777,Dance_1
64,1.4867080745341616,230.4047070205379,57.8,note,6.0,58.1,777,Dance_1
65,1.509937888198758,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
66,1.5331677018633543,239.91170118635668,58.5,note,6.0,58.1,777,Dance_1
67,1.5563975155279506,242.6993408760242,58.7,note,6.0,58.1,777,Dance_1
68,1.5796273291925467,241.30149553281768,58.599999999999994,note,6.0,58.1,777,Dance_1
69,1.602857142857143,238.52991146631203,58.39999999999999,note,6.0,58.1,777,Dance_1
70,1.6260869565217393,235.7901617579845,58.199999999999996,note,6.0,58.1,777,Dance_1
71,1.6493167701863356,235.7901617579845,58.199999999999996,note,6.0,58.1,777,Dance_1
72,1.672546583850932,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
73,1.6957763975155282,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
74,1.7190062111801243,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
75,1.7422360248447206,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
76,1.765465838509317,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
77,1.7886956521739132,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
78,1.8119254658385096,233.08188075904496,58.0,note,6.0,58.1,777,Dance_1
79,1.8351552795031059,231.7394279100639,57.900000000000006,note,6.0,58.1,777,Dance_1
80,1.8583850931677022,233.08188075904496,58.0,note,6.0,58.1,777,Dance_1
81,1.8816149068322983,235.7901617579845,58.199999999999996,note,6.0,58.1,777,Dance_1
82,1.9048447204968946,235.7901617579845,58.199999999999996,note,6.0,58.1,777,Dance_1
83,1.9280745341614909,234.43211035826656,58.1,note,6.0,58.1,777,Dance_1
84,1.9513043478260872,233.08188075904496,58.0,glide,7.0,58.199999999999996,777,Dance_1
85,1.9745341614906835,251.25811464836974,59.3,glide,7.0,58.879999999999995,777,Dance_1
86,1.9977639751552798,283.6614678567074,61.400000000000006,glide,7.0,59.559999999999995,777,Dance_1
87,2.020993788819876,283.6614678567074,61.400000000000006,glide,7.0,60.239999999999995,777,Dance_1
88,2.044223602484472,286.9574553484241,61.599999999999994,glide,7.0,60.919999999999995,777,Dance_1
89,2.0674534161490685,295.3659506116579,62.09999999999999,glide,7.0,61.599999999999994,777,Dance_1
