bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-28990_ses-1_task-rest_run-3_bold	0.0013885833333333332	0.002730984833333333	0	18.174166374873952	1.355745410672269	0.9956074070588239	0.4442	4020.6306	0.05885359410826838	1	0.8333333333333334	2.5553606837826455	2.4386851782859056	2.759573157884397	2.4678237151776328	0.0541005	-0.0193774476647377	0.024902183562517166	120	64	64	36	4.096917059861702	2.5	3.750000238418579	3.750000238418579	3.799999952316284	55.8614	7.3883	46.2035	16.0	120678.0	2.0	172.0	121.7457	1.6512	187.4503	990.7318	1001.0	26778.0	544.0	1381.0	244.3255	112.0577237023972
sub-28993_ses-1_task-rest_run-1_bold	0.002207881355932204	0.002348769915254238	2	19.54944818444445	1.3692441941025646	1.0422712011965811	0.4478	3453.7358	0.07828347681091377	4	3.389830508474576	2.45222927696132	2.4484291776663984	2.655042835469744	2.2532158177478165	0.0237995	-0.013013157062232494	0.0159602127969265	118	64	64	36	3.9284842334498515	2.5	3.750000238418579	3.749999761581421	3.799999952316284	86.0551	7.1492	36.9427	16.0	119317.0	2.0	126.0	81.7908	1.6413	187.1722	912.6382	936.0	28139.0	426.0	1252.0	238.2556	110.73150646220893
sub-28993_ses-1_task-rest_run-2_bold	0.0023431666666666666	0.002301113333333333	0	18.734476393529402	1.302665038235294	1.0127698331932775	0.4474	3482.2942	0.09826565055016298	5	4.166666666666667	2.4061520370916596	2.3946878477498466	2.602773498813216	2.220994764711917	0.0712572	-0.012879420071840286	0.016353778541088104	120	64	64	36	4.006727231496866	2.5	3.750000238418579	3.749999761581421	3.799999952316284	82.9629	7.1906	37.0776	16.0	119462.0	4.0	127.0	81.5816	1.6402	185.9615	921.2099	942.0	27994.0	454.0	1260.0	235.1004	107.00704658590257
sub-28993_ses-1_task-rest_run-3_bold	0.0020300833333333334	0.002199542583333333	0	18.248067037647065	1.2448333454621845	1.0114316195798316	0.447	3507.571	0.08903937588867925	4	3.3333333333333335	2.404505346998176	2.3925198478876846	2.5986961652206526	2.22230002788619	0.0276605	-0.012642305344343185	0.016789665445685387	120	64	64	36	4.019779313656745	2.5	3.750000238418579	3.749999761581421	3.799999952316284	83.8799	7.24	36.8524	16.0	119480.0	4.0	126.0	80.7693	1.668	185.5663	922.9428	943.0	27976.0	462.0	1263.0	234.5858	110.70219977980014
sub-28994_ses-1_task-rest_run-1_bold	0.0016384166666666667	0.004053667666666667	0	16.404266742521006	1.1310253112605038	0.9807720321848739	0.4222	3583.0308	0.1393657860853174	22	18.333333333333332	2.4761607101597125	2.4262131790788537	2.6830398294169218	2.3192291219833616	0.0254053	-0.016017546877264977	0.020718704909086227	120	64	64	36	3.7455461879017946	2.5	3.750000238418579	3.750000238418579	3.799999713897705	47.5444	7.0176	38.3289	16.0	124035.0	1.0	141.0	78.7983	1.2582	198.4463	915.3901	948.0	23421.0	375.0	1262.0	253.0952	82.99884799891151
sub-28994_ses-1_task-rest_run-2_bold	0.0024860833333333336	0.0030977619166666663	0	17.1404363807563	1.2312559257983198	1.0042717952100835	0.4221	3647.6086	0.12341474885293754	12	10.0	2.440785155663635	2.4003171807252768	2.628509166217221	2.2935291200484067	0.0312037	-0.015333673916757107	0.01958576776087284	120	64	64	36	3.7665639473789105	2.5	3.750000238418579	3.750000238418579	3.799999713897705	46.3582	6.9188	38.2534	16.0	124063.0	0.0	142.0	78.3349	1.2695	199.027	916.6054	948.0	23393.0	387.0	1261.0	251.6829	94.13192634889856
sub-28994_ses-1_task-rest_run-3_bold	0.0016581666666666665	0.003283390833333333	0	16.49494229630251	1.1824297594117648	0.9904746694117644	0.4223	3621.1023	0.11163216587957121	9	7.5	2.4728061839076094	2.4195945128329903	2.6828264960971517	2.315997542792687	0.0341294	-0.01455776672810316	0.019068660214543343	120	64	64	36	3.665988460539277	2.5	3.750000238418579	3.750000238418579	3.799999713897705	44.3079	6.9682	37.4422	16.0	123816.0	2.0	139.0	74.3437	1.1983	202.2145	911.0913	945.0	23640.0	357.0	1261.0	257.7695	91.15228497912176
sub-28995_ses-1_task-rest_run-1_bold	0.001515	0.002691315583333333	0	15.066175677478991	1.1974814494117645	0.9871122611764708	0.4907	3253.6118	0.07018881301440144	3	2.5	2.4556145480509124	2.284794666666667	2.68192	2.400128977486071	0.0148709	-0.022394588217139244	0.021049154922366142	120	64	64	36	4.676853640778724	2.5	3.75	3.75	3.799999952316284	35.5607	8.2037	53.3374	17.0	115183.0	1.0	226.0	133.5855	1.6607	174.1811	942.7612	952.0	32273.0	604.0	1253.0	203.5525	106.46674727415666
sub-28995_ses-1_task-rest_run-2_bold	0.0011031666666666666	0.0029806073333333333	0	16.106433883949574	1.2351529041176474	0.9759649949579825	0.4923	3198.2693	0.07564186666309758	4	3.3333333333333335	2.436713074258082	2.28328	2.6526986666666668	2.3741605561075785	0.0226627	-0.023898862302303314	0.0199067872017622	120	64	64	36	4.718467520872808	2.5	3.75	3.75	3.799999952316284	34.6407	8.2408	54.1654	17.0	115147.0	0.0	235.0	134.3133	1.4147	173.7733	942.7814	952.0	32309.0	603.0	1256.0	201.7573	109.67191882617772
sub-28995_ses-1_task-rest_run-3_bold	0.0010379166666666668	0.00303421525	0	15.036596258403355	1.154235163193277	0.9656772010924369	0.4917	3193.3147	0.08107334240696566	9	7.5	2.4506918579581556	2.292781333333333	2.66736	2.3919342405411346	0.0211693	-0.024477815255522728	0.020844047889113426	120	64	64	36	4.730229778036402	2.5	3.75	3.75	3.799999952316284	36.1071	8.142	53.5175	17.0	115132.0	1.0	223.0	133.7393	1.3798	173.3965	941.1741	949.0	32324.0	608.0	1254.0	200.6214	103.68925322405994
