"boot","degree","RMSE_interval","abs_int_size","melcon","entropy_0.25"
1,0,NA,6.28731976106963,4.00323158618588,6.71995934320955
1,1,1.5338288738372,5.97370562892419,4.04390412325303,6.70583084141829
1,2,0.926541809702041,5.80245403593218,4.03551653354101,6.62088043099927
1,3,0.83068701553942,5.72039879952513,4.04923718856127,6.61148525203075
1,4,0.794913603503267,5.67629479560969,4.05371895980531,6.59364816034976
1,5,0.734025920958055,5.65368173087293,4.07642483097712,6.55155658783871
1,6,0.689001028206263,5.54178467113883,4.10193315439959,6.554441768566
1,7,0.677626637783242,5.52439970295477,4.07462514684182,6.54246008364569
1,8,0.647019892644423,5.434809362438,4.14383696887332,6.5433159147197
1,9,0.6470246361085,5.41149801720369,4.10007832700365,6.52450525378754
1,10,0.635593114848323,5.36928234576062,4.11075607746754,6.50912197774381
2,0,NA,6.40828036296084,4.01658576767744,6.80135031613314
2,1,1.60918736799599,6.03690957793278,4.0520806708904,6.70437277776992
2,2,0.984194805814882,5.95978714326801,4.04730405007381,6.63324283654976
2,3,0.826413184924608,5.91599004569604,4.06257277985825,6.61214711595488
2,4,0.768553714088788,5.89094870265422,4.0661484630881,6.61084092064542
2,5,0.756921812469621,5.76612850553946,4.0653372192276,6.56076152212496
2,6,0.726303283275687,5.64801314578146,4.10827805501326,6.57816183355413
2,7,0.72544349771451,5.63920163795536,4.07471637816044,6.55802258802058
2,8,0.6884906508178,5.63084781334484,4.10230981382269,6.58467869860131
2,9,0.70447030323095,5.63632940988255,4.08459305027968,6.53746888478667
2,10,0.680960736532563,5.56173397631598,4.10405550106144,6.56153584067268
3,0,NA,6.26574317433554,4.02841273479345,6.79247336367713
3,1,1.50963162325498,5.98556634278419,4.03366405554776,6.66614162669232
3,2,0.945867912833896,5.90491946304235,4.01414110195357,6.66022315364742
3,3,0.784808627494541,5.88313013751739,4.0370976622812,6.65464947374119
3,4,0.728794673527368,5.77688714456371,4.06951760971709,6.65047769743027
3,5,0.715980970097962,5.75646647016211,4.05721011002926,6.59643913857325
3,6,0.708649193900048,5.58180166315732,4.09293901978199,6.59290086620158
3,7,0.661368433872802,5.54092535070904,4.06536435259127,6.5800621919041
3,8,0.648920260127027,5.53784841824972,4.10717708198222,6.56640065069503
3,9,0.653200701983262,5.52088741408465,4.08451991389352,6.55870032159604
3,10,0.639827233734634,5.49017619875729,4.08111439450405,6.57475372768139
4,0,NA,6.32492922226678,4.00159845713897,6.77254608577598
4,1,1.49478490177973,5.97409339217072,4.05745561330353,6.68013099549976
4,2,0.954871094306681,5.82121958561012,4.06325648050269,6.61495802579477
4,3,0.78302887705047,5.80543495767902,4.0646733528944,6.60837292859957
4,4,0.713059052000332,5.75630622061323,4.07048640517038,6.59321118736974
4,5,0.730019001582035,5.69235923124733,4.06881463521588,6.5809426825707
4,6,0.71006199883119,5.58256469881774,4.1027701996069,6.56113473406917
4,7,0.699565931003857,5.59239881033726,4.09108002352387,6.57075958796671
4,8,0.681055360262154,5.56336270472444,4.09736007970859,6.56510233508949
4,9,0.671983173085678,5.55126423135993,4.06765932856672,6.54930115992273
4,10,0.627672648964971,5.48512216137144,4.09419282784068,6.56856073881702
5,0,NA,6.19687536259583,4.01990510274725,6.76620475799896
5,1,1.48904419290714,5.91962062971529,4.02664305448841,6.67490337190645
5,2,0.953143306544458,5.80459185160928,4.04538682279165,6.62477577171612
5,3,0.814125866303517,5.80810055567008,4.06871851473231,6.6432754229192
5,4,0.753349292839121,5.73380262846586,4.08358444745002,6.60422950622534
5,5,0.720864544763012,5.67815602204667,4.06337556601119,6.53245404448026
5,6,0.720522304094491,5.59940625845431,4.09980015821205,6.55678988332769
5,7,0.724683936869524,5.66168104727398,4.07078324500217,6.56582119323502
5,8,0.666549917384951,5.65375531177163,4.10039443764507,6.58650371977902
5,9,0.676962804269943,5.61970802308456,4.08750054624514,6.55597466509379
5,10,0.634483378465711,5.56564968966191,4.08106849425004,6.58114807474089
6,0,NA,6.43959201170463,4.01003571434515,6.80110837136348
6,1,1.53565342040506,6.1108076358699,4.05034100760152,6.70895668031521
6,2,0.97787239490205,5.97662815164422,4.01686628785195,6.63366706361886
6,3,0.825667121855763,5.96884655187909,4.04615734715892,6.64299626120984
6,4,0.790699703161885,5.91673625657828,4.05563537664817,6.59573950371809
6,5,0.746513305065225,5.86261247326724,4.06158735381909,6.57561138665079
6,6,0.717554154542919,5.71765758731838,4.07625984898687,6.59284254965099
6,7,0.720763153524617,5.70319607492424,4.06259069538724,6.58139024609581
6,8,0.683221693322742,5.69760704983414,4.09610045860228,6.59420702718123
6,9,0.711275560710037,5.63411039969408,4.06016144369938,6.53879989756244
6,10,0.665878396982267,5.60154455005017,4.06320018040364,6.55077238534077
7,0,NA,6.28494329794059,4.00727215147271,6.79783881489225
7,1,1.55153786921479,5.91191812303961,4.05740089775154,6.68284778380798
7,2,0.935478531015591,5.78305798618306,4.03102715863619,6.6500162090683
7,3,0.784905922153827,5.72370072958113,4.06154536591975,6.63270603837015
7,4,0.763524817171607,5.68504218513979,4.05724266966011,6.62348096834946
7,5,0.756341734300261,5.63196827024986,4.08942411216522,6.56222402425812
7,6,0.715088078126484,5.52501848523125,4.12070465244676,6.56606619058131
7,7,0.684644694019306,5.49260903220523,4.07881143466527,6.57448955442366
7,8,0.691105247324343,5.5049985847152,4.11597098758929,6.56975900192439
7,9,0.687311388946062,5.45594329917017,4.08167998561094,6.53964028913232
7,10,0.647439501824377,5.39627466193078,4.11076512459099,6.56366027165191
8,0,NA,6.07051157263353,4.0246121608203,6.72929501904512
8,1,1.41961943223012,5.85344270262543,4.03178142369262,6.68127877212817
8,2,0.955892422004476,5.78538464718121,4.01276361766794,6.64701297763164
8,3,0.785619759169246,5.82352251725301,4.0203870490649,6.65983024263143
8,4,0.769725253503313,5.72405029026294,4.07092086152567,6.60401120396813
8,5,0.749940078104227,5.70742886813109,4.05076606459658,6.5880680143172
8,6,0.757578998090275,5.57441222720096,4.09614062290797,6.56743517834246
8,7,0.717425409226051,5.55889571594694,4.08297473120285,6.57402660831475
8,8,0.664988040038676,5.58056730867339,4.12348052766614,6.58289511623375
8,9,0.676016267416361,5.52302932633394,4.09187175536546,6.51679013361743
8,10,0.640643053047967,5.44399179646184,4.09316447615231,6.53402630438691
9,0,NA,6.6016196846436,3.97643498875125,6.83565038072621
9,1,1.52485145818105,6.23100494716328,4.03450925987863,6.72121057673085
9,2,0.967359688696735,6.10552067946555,3.99182282293535,6.6766338369584
9,3,0.839388087057342,6.03197612935085,4.04439279511719,6.68654557930541
9,4,0.748858469053996,5.99869602499838,4.04850138985336,6.67818745258696
9,5,0.76834453215643,5.91691187093517,4.0457143378079,6.62448413292074
9,6,0.744254648058086,5.7542841428344,4.08028371451238,6.62926580173252
9,7,0.73000742030672,5.79296372371673,4.09070482252932,6.61767631021154
9,8,0.707970948491845,5.78888606789858,4.09318825998212,6.63687226600145
9,9,0.695517052371805,5.7900140798465,4.09117633288718,6.60042566806039
9,10,0.642951835017747,5.70283166192476,4.09728140986172,6.62220465314225
10,0,NA,6.29763286743375,4.02692752282257,6.79473679191679
10,1,1.51444946313412,5.9778873558896,4.03506687730779,6.68822308186063
10,2,0.976791343633363,5.80259790597526,4.03991137757144,6.59166928229399
10,3,0.829934343951374,5.80588841267114,4.05785384175473,6.61885843689856
10,4,0.795270062437748,5.77939547907032,4.05360716963678,6.60908862527773
10,5,0.766765369580264,5.75334893918279,4.02684906067774,6.52915087177679
10,6,0.73859357091834,5.60079985175056,4.11368875898798,6.57440465802559
10,7,0.730778302169131,5.5898269341426,4.06419028642135,6.5527717127928
10,8,0.709963666612479,5.56659719869693,4.11364541079913,6.55793820786461
10,9,0.670765827952138,5.53112664664515,4.08791044788438,6.54148029793992
10,10,0.650943428615372,5.47727812165095,4.08763701597283,6.52228510500332
11,0,NA,6.43105260382761,3.99362565781959,6.81073188537909
11,1,1.51705189629556,6.12604953738745,4.02646969389609,6.73633626094092
11,2,0.9915669300011,5.94875065269624,4.00969232466709,6.63082453818815
11,3,0.833495486090999,5.9261114260375,4.05017084138518,6.66226855641087
11,4,0.79260775500877,5.93860264532281,4.05731419532759,6.6395978442317
11,5,0.756493070961233,5.91384554056591,4.04436736080775,6.64082398004191
11,6,0.724612925933403,5.73908195813709,4.10329806916707,6.62069110227492
11,7,0.724433145515051,5.72492341831362,4.0913496974421,6.59463457942169
11,8,0.692708392923763,5.73540722350457,4.08436717093069,6.60076856070571
11,9,0.65445720178942,5.6956502755051,4.06624327111953,6.5747347472777
11,10,0.646170922718086,5.66943741209038,4.08900629239414,6.61050891180636
12,0,NA,6.24836695011774,4.00999526322369,6.75756363585111
12,1,1.46539577398576,5.94262639225358,4.0370147505479,6.68674425493153
12,2,0.908214440154319,5.81082640040479,4.03695584349319,6.58227556809145
12,3,0.815209966244491,5.81122866704012,4.05680518589727,6.62427473090342
12,4,0.776434706492148,5.73694963089261,4.07149206275056,6.55807719224993
12,5,0.734167697904785,5.70950282589008,4.06005386307453,6.49999687788401
12,6,0.700833808855496,5.58360709931442,4.08963505647801,6.53174382431179
12,7,0.69307742777575,5.55848167435204,4.06163265885015,6.56038055325147
12,8,0.654770284828706,5.56186394218272,4.08270347915652,6.55752410244443
12,9,0.625677679328223,5.53264024651405,4.06548772273361,6.53052671374155
12,10,0.637232885415157,5.50417219077018,4.08329271046509,6.52320510545133
13,0,NA,6.12834675256688,4.03352188136907,6.75465814001675
13,1,1.5465474159101,5.89761760267224,4.06146182474811,6.67905595174413
13,2,0.916094457024593,5.82409955780093,4.0407309535295,6.61729155819992
13,3,0.819191856205512,5.88896723364941,4.04166381985517,6.64273589363312
13,4,0.842565652742211,5.79853172648947,4.06461252340513,6.62086238796586
13,5,0.754146962458191,5.77151771433367,4.07237386550374,6.59324706694084
13,6,0.762561719411528,5.61014429256195,4.10223687781909,6.59718162380147
13,7,0.718359727968734,5.58463326616525,4.07497398056446,6.56762415037069
13,8,0.694063977019985,5.60807721751157,4.09026775987606,6.58680529705759
13,9,0.721468446183059,5.5703826871874,4.07943603347557,6.58839068961592
13,10,0.691268292465156,5.52754709092221,4.08290339070645,6.54392846479103
14,0,NA,6.41575489905654,4.00211883433615,6.77585339942101
14,1,1.59693626816842,5.97755705056312,4.03515169805575,6.6682577772351
14,2,0.934729287661995,5.84648463203627,4.02585393187228,6.60205189040993
14,3,0.78288756629255,5.86030503675886,4.06600729136468,6.64096876141978
14,4,0.759477414437789,5.73589761529129,4.08031607732692,6.56301506553492
14,5,0.705093549428676,5.69672529419218,4.06517857481231,6.52947648838197
14,6,0.724367467808923,5.53446744591461,4.10156351694096,6.53522758558973
14,7,0.696918145472547,5.57955395284795,4.08043193033855,6.53132626965463
14,8,0.650131891650814,5.56891726866263,4.09215643266026,6.53717712312924
14,9,0.677613848633349,5.51312884197293,4.08641063340063,6.55292450776186
14,10,0.669167407474655,5.44936513539966,4.10366766693535,6.5018097044567
15,0,NA,6.35418488300537,3.99533775516707,6.75005955324491
15,1,1.57392033364021,6.00933395719824,4.04557854522179,6.69546657492665
15,2,0.961616201348208,5.81006201078602,4.04500703632224,6.5977114377593
15,3,0.768569016994608,5.79129349795179,4.061011896365,6.62400407158101
15,4,0.75786907276315,5.75693573176149,4.08405741582979,6.589373743273
15,5,0.720896602659715,5.75983348899608,4.08369603017751,6.57205688413649
15,6,0.733141014423408,5.62209946857311,4.09127305772117,6.5753356599495
15,7,0.663235046983168,5.62144006470973,4.06701818155062,6.57095214564693
15,8,0.677807441273406,5.66245774849546,4.11249737529822,6.602871661599
15,9,0.692689152428495,5.64070049681837,4.11176977787467,6.56911931004098
15,10,0.658091236552824,5.60327281202123,4.08719056027001,6.56346719470129
16,0,NA,6.21990641737537,4.03212002613909,6.7756090037822
16,1,1.53195820170568,5.91130620549804,4.04000251517686,6.67829345220936
16,2,0.954335127369335,5.79105735045259,4.05087013628914,6.61055171940918
16,3,0.812471818935445,5.79716809644129,4.07173741867416,6.62662110502434
16,4,0.732024841416138,5.761768438298,4.07329752843655,6.6125313391533
16,5,0.775135760741881,5.71935445838035,4.0717429226471,6.60586625442842
16,6,0.747011628447711,5.58991599777027,4.11704007199192,6.59559092391122
16,7,0.690448310790706,5.55272342785972,4.08390033616262,6.58697159284522
16,8,0.659279374644832,5.51495259084731,4.1043254749641,6.56688906949771
16,9,0.696809120693942,5.51183978591213,4.1109524012028,6.51662161152604
16,10,0.653940692600619,5.40806648189182,4.10890419735147,6.53386775938365
17,0,NA,6.11594782018941,4.01781936340469,6.75622592680573
17,1,1.43193546958697,5.7528207119551,4.03576680444079,6.65700652694313
17,2,0.971509386822513,5.67910277706359,4.04702706103335,6.60099310032926
17,3,0.815761355508003,5.68971419943215,4.07426633788632,6.6086568968938
17,4,0.719122574521251,5.60533584566611,4.10537450077727,6.56813405506568
17,5,0.707788145826833,5.55977406969168,4.07740969561817,6.52185519147051
17,6,0.742395326288334,5.40275886240943,4.11873166962828,6.50241373448821
17,7,0.670843372751673,5.41747685769993,4.11706446172282,6.51718723827405
17,8,0.644376276660364,5.42551917914015,4.13711490210919,6.55948569569672
17,9,0.658166310680689,5.41492574634203,4.11238157518965,6.50338052389993
17,10,0.642146384268617,5.36129705453399,4.12168076548096,6.51474687918729
18,0,NA,6.34509125364394,4.00434992181981,6.80900871596118
18,1,1.47988445788103,6.10283750442953,4.0387390609893,6.7335575060135
18,2,0.962557055010925,6.02360784691437,4.01292794953798,6.69153510176021
18,3,0.787690646995444,6.01096697608452,4.04331819958905,6.6971854842966
18,4,0.767537247176286,5.92920856357436,4.0576192899452,6.61112595271124
18,5,0.71924926891055,5.86312192441586,4.03318322424239,6.59932449101555
18,6,0.740432451669727,5.71809610070387,4.09699907214198,6.58723342755058
18,7,0.742366162956029,5.69209858063265,4.06780286557635,6.58409477214588
18,8,0.672538123876929,5.68445236213393,4.08260003898719,6.58033402372329
18,9,0.685197279053579,5.66099064222086,4.08318229404208,6.58332300109381
18,10,0.693899326823969,5.62045161935161,4.074908816408,6.59348780127963
19,0,NA,6.43582842975943,4.00739406062918,6.80267199988358
19,1,1.57897348799258,6.05823251258542,4.02260712930729,6.71859993037249
19,2,0.961343124600406,5.95635536321665,4.03972073712215,6.65381824319171
19,3,0.856685274653016,5.89731791506866,4.05135944107458,6.64842952862018
19,4,0.764263761725939,5.80115021119938,4.07860521556195,6.56585032530011
19,5,0.745363002771251,5.75259323563109,4.0647632339636,6.55289334188758
19,6,0.712214304104302,5.6945430507535,4.09909068727253,6.59235393768097
19,7,0.74020995168788,5.69547874115447,4.06662578290712,6.5793212044235
19,8,0.657784900498694,5.69552555114043,4.09717618388647,6.60366550549703
19,9,0.697952953686068,5.71289255671156,4.07898942372903,6.59199573447896
19,10,0.703604210034694,5.61368680141967,4.08088593863365,6.56004007063805
20,0,NA,6.34730975497644,4.01530126692646,6.8180800309414
20,1,1.47688043668098,6.00911785323784,4.01926578496019,6.69928289467829
20,2,0.978964914493857,5.90427296502752,4.02052041037225,6.61807486935492
20,3,0.81673187548974,5.83775132786382,4.06441139055945,6.66163690512225
20,4,0.731799534890046,5.80218605763704,4.07128972987722,6.61924220967344
20,5,0.749437902244051,5.73300911342167,4.05748704293911,6.55959803985295
20,6,0.745260077761131,5.56348229319548,4.09612655713498,6.60760123611127
20,7,0.726414654513053,5.60180059311792,4.09224673482447,6.56224670803746
20,8,0.676111942523919,5.62551445307151,4.08612675625586,6.60260483946845
20,9,0.696647844534925,5.65718315092145,4.06649379559539,6.60361085061747
20,10,0.694856736901055,5.617237892737,4.0735114971049,6.57756337286702
21,0,NA,6.31335732897875,4.032994779672,6.74014731592268
21,1,1.48613456545179,6.01564566981609,4.04485512010864,6.70723881437662
21,2,0.985630027535165,5.85944779220525,4.05523378694592,6.64075386469428
21,3,0.8114896986709,5.83743482585905,4.08115462244882,6.64837459705556
21,4,0.764952395143968,5.79264123907344,4.06430692858312,6.58619517325703
21,5,0.702779340991401,5.70272873870418,4.07929784427462,6.54240574574983
21,6,0.71667130332935,5.62630394896337,4.12092656356992,6.56477705240152
21,7,0.698105394022774,5.61681057891746,4.06363907066766,6.56474943652903
21,8,0.657103257938731,5.59102421336137,4.0832787132466,6.61171303765093
21,9,0.660107666725385,5.59472328294247,4.09045839396005,6.56221886734646
