"boot","degree","RMSE_interval","abs_int_size","melcon","entropy_0.25"
1,0,NA,6.28666404593523,3.959159374174,6.09237167364424
1,1,1.79242254717477,5.41172389868329,4.01405536707537,5.9951126049035
1,2,1.92371734633769,4.99262002390455,4.13215905805439,5.8719134528432
1,3,1.53586194538161,5.12251373970849,4.11403834905965,5.89330331029889
1,4,1.43961788081563,5.18532841790583,4.13074398193959,5.73638097246609
1,5,1.38919970387189,4.80650482854138,4.06586300350633,5.82515570354171
1,6,1.49236512137911,4.2231951188527,4.17860577573179,5.70746442807159
1,7,1.28828373662974,4.02672918687253,4.12827972298312,5.52163333279885
1,8,1.14995096135413,3.78587778122482,4.28375600893429,5.57931906347924
1,9,1.30215083045401,3.37403303168216,4.30721527818763,5.37870422883007
1,10,1.32305391624698,3.14060402391924,4.26605546195877,5.34440160970885
2,0,NA,6.26901502955925,3.92528807275801,6.20386204436229
2,1,1.8295949130905,5.20050310675873,4.03097195802093,5.98949709685931
2,2,1.74385686964699,4.76692046421765,4.09771252286119,5.81411591694674
2,3,1.5667599407546,4.74198914503212,4.10776651705975,5.65811085722824
2,4,1.26341448022145,4.87956960801003,4.07462472769436,5.80880825689434
2,5,1.27803506712707,4.76239841458377,4.11121752462906,5.72507662445694
2,6,1.41542865049293,4.22880834078603,4.21116700477522,5.69984722887026
2,7,1.26047167897503,4.0301124339362,4.19317940506691,5.68660192138787
2,8,1.32461967025781,3.5665382502605,4.38568015874555,5.52359509955924
2,9,1.19260068352533,3.26432574619791,4.36700669918379,5.48363459480771
2,10,1.27121686121956,3.29628950165658,4.32087650844264,5.30192054640211
3,0,NA,6.08819268739676,3.96359626823955,6.04367188997459
3,1,1.88032610297493,5.22393747054375,4.02677279253682,5.85026476185955
3,2,1.66179919986309,4.85909094890327,4.12621698761929,5.71463396851246
3,3,1.43009534309411,4.64509514792806,4.13168583276831,5.75884916988584
3,4,1.34768397356042,4.703816267634,4.13881972959877,5.80779094937905
3,5,1.38977722357752,4.48205995233176,4.12706278198877,5.60244006389928
