"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitch1","target_pitch2","target_pitch3","num_target_pitches","target_interval1","target_interval2","sung_pitch1","sung_pitch2","sung_pitch3","num_sung_pitches","sung_interval1","sung_interval2","in2ref_1","in2ref_2","in2ref_3","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","age","gender","mt","confirm_sung_intervals","pitch_RMSE","interval_RMSE","int_class","net_n_trials_good"
"167india1",2335,10,"custom_trial",688,"140india1","low",0,58.6596312512672,59.7392062378067,55.330332643032,59.0859876110063,3,-4.40887359477468,3.75565496797427,62.4332892905256,58.3926103684109,61.1241250174703,3,-4.04067892211473,2.73151464905941,3.77365803925837,-0.267020882856357,2.46449376620305,TRUE,"3,3,2.69408305271893,3.06227772537888,2.03813740646402,2.59816606152061,3.06227772537888,2.63246604599356,0.368194672659953,-1.02414031891486,-0.327972823127453,1.02414031891486,0.769555296844288,100",3.06227772537888,1.02414031891486,100,2.63246604599356,0.769555296844288,TRUE,"singing_block1",10,0,NA,NA,49.4526013420614,"low","low",7,6.285714,4.857143,36,"male",6,"-4.04067892211473,2.73151464905941","2.63246604599356","0.769555296844288","last3",11
"184india1",2472,7,"custom_trial",749,"166india1","low",0,59.3084463276691,64.9491040137594,58.8549078748977,61.9705744133126,3,-6.09419613886164,3.11566653841486,65.7269278324969,59.9071127612716,62.5550192557624,3,-5.81981507122529,2.64790649449078,6.41848150482778,0.598666433602489,3.24657292809327,TRUE,"3,3,0.777823818737573,1.05220488637392,0.584444842449848,0.804824515853781,1.05220488637392,0.827389628041285,0.274381067636348,-0.467760043924073,-0.0966894881438627,0.467760043924073,0.383460838267165,100",1.05220488637392,0.467760043924073,100,0.827389628041285,0.383460838267165,TRUE,"singing_block1",10,0,NA,NA,50.4183212798442,"low","low",7,NA,NA,36,"male",7,"-5.81981507122529,2.64790649449078","0.827389628041285","0.383460838267165","middle",11
"167india1",2334,8,"custom_trial",684,"143india1","low",0,62.6934228775217,63.6755555275546,59.9501631863343,63.3928761183815,3,-3.72539234122033,3.44271293204726,62.3865458031991,58.4151230739078,62.1861025504731,3,-3.97142272929138,3.77097947656537,-0.3068770743226,-4.27829980361398,-0.50732032704861,TRUE,"3,3,-1.28900972435545,-1.53504011242651,-1.2067735679084,-1.34360780156345,1.53504011242651,1.35082649520502,-0.246030388071055,0.328266544518108,0.0411180782235263,0.328266544518108,0.290077469052884,100",1.53504011242651,0.328266544518108,100,1.35082649520502,0.290077469052884,TRUE,"singing_block1",13,3,NA,NA,49.4526013420614,"low","low",7,6.285714,4.857143,36,"male",6,"-3.97142272929138,3.77097947656537","1.35082649520502","0.290077469052884","last3",11
"206india1",2883,9,"custom_trial",951,"209india1","low",0,59.654835191509,54.0807476104958,54.8419764192784,52.5566276194175,3,0.761228808782676,-2.28534879986096,55.3602708114641,56.7461550411126,54.1773494730691,3,1.38588422964848,-2.56880556804347,-4.29456438004485,-2.90868015039637,-5.47748571843984,TRUE,"3,3,1.27952320096834,1.90417862183415,1.62072185365165,1.60147455881805,1.90417862183415,1.62170847899887,0.624655420865807,-0.283456768182504,0.170599326341652,0.624655420865807,0.48504748955412,100",1.90417862183415,0.624655420865807,100,1.62170847899887,0.48504748955412,TRUE,"singing_block1",11,1,NA,NA,44.7243649670951,"low","low",5,NA,NA,29,"male",0,"1.38588422964848,-2.56880556804347","1.62170847899887","0.48504748955412","last3",11
"116india1",1301,3,"custom_trial",262,"55india1","low",0,60.7574958936214,61.8318643450059,57.9235743521192,64.8449357750542,3,-3.90828999288668,6.92136142293496,62.5525590173965,57.2536039890003,67.3349715740125,3,-5.29895502839624,10.0813675850122,1.79506312377509,-3.50389190462114,6.57747568039107,TRUE,"3,3,0.7206946723906,-0.669970363118956,2.4900357989583,0.846920036076649,2.4900357989583,1.54580500908791,-1.39066503550956,3.16000616207726,0.884670563283851,3.16000616207726,2.44126895131969,100",2.4900357989583,3.16000616207726,100,1.54580500908791,2.44126895131969,FALSE,"singing_block1",13,4,NA,NA,49.3786762775039,"low","low",6,NA,NA,45,"male",0,"-5.29895502839624,10.0813675850122","1.54580500908791","2.44126895131969","first3",10
"149india1",1909,1,"custom_trial",518,"119india1","high",0,61.5225544322134,70.1323919350154,69.9253204060409,68.6875219250856,3,-0.207071528974495,-1.23779848095526,67.4242046620239,68.4900564434416,65.5596962032899,3,1.06585178141771,-2.93036024015169,5.90165022981046,6.96750201122817,4.03714177107648,TRUE,"3,3,-2.70818727299152,-1.43526396259932,-3.12782572179574,-2.42375898579553,3.12782572179574,2.52834298133887,1.2729233103922,-1.69256175919642,-0.209819224402111,1.69256175919642,1.49751445115463,50",3.12782572179574,1.69256175919642,50,2.52834298133887,1.49751445115463,TRUE,"singing_block1",10,0,NA,NA,58.2551048497808,"high","high",10,5.714286,2.428571,42,"female",0,"1.06585178141771,-2.93036024015169","2.52834298133887","1.49751445115463","first3",11
"149india1",1911,1,"custom_trial",516,"118india1","high",0,60.4525037537976,54.8910073642853,64.1573751191502,68.4812269145083,3,9.26636775486491,4.32385179535804,54.838230953324,63.0810319193491,69.6032883863064,3,8.24280096602513,6.52225646695729,-5.61427280047355,2.62852816555158,9.15078463250887,TRUE,"3,3,-0.0527764109613358,-1.07634319980112,1.12206147179813,-0.00235271298810602,1.12206147179813,0.898205985990195,-1.02356678883978,2.19840467159925,0.587418941379735,2.19840467159925,1.71474080713751,100",1.12206147179813,2.19840467159925,100,0.898205985990195,1.71474080713751,TRUE,"singing_block1",11,1,NA,NA,58.2551048497808,"high","high",10,5.714286,2.428571,42,"female",0,"8.24280096602513,6.52225646695729","0.898205985990195","1.71474080713751","first3",11
"184india1",2433,1,"custom_trial",736,"166india1","low",0,63.0987161598134,62.7435605363021,58.8649275281173,56.9713908944716,3,-3.8786330081848,-1.89353663364574,64.7795046457358,60.182853360442,58.7849895575505,3,-4.59665128529387,-1.39786380289151,1.68078848592246,-2.91586279937142,-4.31372660226292,TRUE,"3,3,2.03594410943373,1.31792583232465,1.81359866307889,1.72248953494576,2.03594410943373,1.74844092712794,-0.718018277109074,0.495672830754238,-0.111172723177418,0.718018277109074,0.616944811717629,100",2.03594410943373,0.718018277109074,100,1.74844092712794,0.616944811717629,TRUE,"singing_block1",10,0,NA,NA,50.4183212798442,"low","low",7,NA,NA,36,"male",7,"-4.59665128529387,-1.39786380289151","1.74844092712794","0.616944811717629","first3",11
"167india1",2337,10,"custom_trial",689,"142india1","low",0,60.4525807371171,61.997233178745,57.1023420252231,60.515632773212,3,-4.89489115352194,3.41329074798891,63.1863263495202,58.0044714195877,61.2725411032385,3,-5.1818549299325,3.26806968365084,2.73374561240306,-2.44810931752944,0.8199603661214,TRUE,"3,3,1.18909317077515,0.902129394364593,0.756908330026519,0.949376965055421,1.18909317077515,0.966210852251251,-0.286963776410559,-0.145221064338074,-0.216092420374316,0.286963776410559,0.227417420725955,100",1.18909317077515,0.286963776410559,100,0.966210852251251,0.227417420725955,TRUE,"singing_block1",10,0,NA,NA,49.4526013420614,"low","low",7,6.285714,4.857143,36,"male",6,"-5.1818549299325,3.26806968365084","0.966210852251251","0.227417420725955","last3",11
"120india1",1452,3,"custom_trial",320,"69india1","low",0,58.6552924517733,60.6600303982763,57.4947409534616,52.3206719747922,3,-3.16528944481475,-5.17406897866934,60.0482870413981,59.5524514323308,56.4932882404278,3,-0.495835609067342,-3.05916319190292,1.39299458962475,0.897158980557407,-2.16200421134551,TRUE,"3,3,-0.611743356878208,2.0577104788692,4.17261626563562,1.87286112920887,4.17261626563562,2.70918984506314,2.6694538357474,2.11490578676642,2.39217981125691,2.6694538357474,2.40819541026934,50",4.17261626563562,2.6694538357474,50,2.70918984506314,2.40819541026934,TRUE,"singing_block1",10,0,NA,NA,48.6817555920859,"low","low",6,NA,NA,27,"male",0,"-0.495835609067342,-3.05916319190292","2.70918984506314","2.40819541026934","first3",11
